STRING	INT	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING
PingTai	Id	Type	Slot	Condition	Reward	IconId	MaxCondition	LoadUrl	Pic1	Pic2	Desc	PicBut	BtnBg	RewardPic	uiType	TitlePic
tanwan	0	1	1	1	567:1:1:1|13:1:1:1|153:1:1:1|9:1:1:1|575:1:2:1	1085	1	http://ms.tanwan.com/client.php	12	28_1	1	But1	BtnBg	-1	1	dt_2
tanwan	1	2	1	1	13:1:1:1|575:1:4:1|9:1:2:1	1085	9999	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，连续登陆1天可领取	But2	BtnBg	-1	1	dt_2
tanwan	2	2	2	2	13:1:2:1|567:1:1:1|507:1:7:1	1085	9999	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，连续登陆2天可领取	But2	BtnBg	-1	1	dt_2
tanwan	3	2	3	3	13:1:3:1|567:1:2:1|153:1:2:1|16:1:1:1	1085	9999	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，连续登陆3天可领取	But2	BtnBg	-1	1	dt_2
tanwan	4	2	4	4	13:1:3:1|568:1:1:1|153:1:2:1|16:1:1:1	1085	9999	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，连续登陆4天可领取	But2	BtnBg	-1	1	dt_2
tanwan	5	2	5	5	13:1:5:1|568:1:1:1|153:1:3:1|505:1:3:1	1085	9999	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，连续登陆5天可领取	But2	BtnBg	-1	1	dt_2
tanwan	6	2	6	6	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	1085	9999	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，连续登陆6天可领取	But2	BtnBg	-1	1	dt_2
tanwan	7	2	7	7	13:1:10:1|570:1:1:1|505:1:10:1|647:1:30:1|16:1:3:1	1085	9999	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，连续登陆7天可领取	But2	BtnBg	-1	1	dt_2
tanwan	8	3	1	60	13:1:1:1|9:1:1:1|575:1:3:1	1085	700	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，且游戏角色达60级可领取	But3	BtnBg	-1	1	dt_2
tanwan	9	3	2	150	13:1:2:1|9:1:2:1|575:1:5:1|16:1:1:1	1085	700	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，且游戏角色达150级可领取	But3	BtnBg	-1	1	dt_2
tanwan	10	3	3	230	13:1:3:1|153:1:1:1|502:1:10:1|16:1:2:1	1085	700	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，且游戏角色达230级可领取	But3	BtnBg	-1	1	dt_2
tanwan	11	3	4	310	13:1:4:1|158:1:1:1|502:1:40:1|16:1:2:1|601:1:5:1	1085	700	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，且游戏角色达310级可领取	But3	BtnBg	-1	1	dt_2
tanwan	12	3	5	360	13:1:6:1|158:1:1:1|502:1:60:1|635:1:4:1|601:1:15:1	1085	700	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，且游戏角色达360级可领取	But3	BtnBg	-1	1	dt_2
tanwan	13	3	6	410	13:1:10:1|568:1:1:1|505:1:20:1|635:1:5:1|601:1:18:1	1085	700	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，且游戏角色达410级可领取	But3	BtnBg	-1	1	dt_2
tanwan	14	3	7	450	13:1:15:1|568:1:1:1|505:1:25:1|635:1:6:1|601:1:22:1	1085	700	http://ms.tanwan.com/client.php	12	28_1	使用微端登陆，且游戏角色达450级可领取	But3	BtnBg	-1	1	dt_2
iwan4399	0	1	1	1	567:1:1:1|13:1:1:1|153:1:1:1|9:1:1:1|575:1:2:1	1185	1	-1	4399_1	4399_2	1	But10	BtnBg	-1	1	dt_6
iwan4399	1	2	1	1	13:1:1:1|575:1:4:1|9:1:2:1	1185	9999	-1	4399_1	-1	使用微端登陆，连续登陆1天可领取	But2	BtnBg	-1	1	dt_6
