INT	INT	STRING	STRING	INT	INT	INT
Slot	Level	Attr	CostItem	Money	SuitId	GongGao
44	1	1:2230|6:19|7:48	758:1:3	30000	0	0
44	2	1:4860|6:42|7:104	758:1:4	30000	0	0
44	3	1:7890|6:68|7:169	758:1:5	40000	0	0
44	4	1:11320|6:97|7:242	758:1:6	40000	0	0
44	5	1:15150|6:130|7:324	758:1:7	50000	1	507
44	6	1:19380|6:166|7:415	758:1:8	50000	1	0
44	7	1:24010|6:206|7:514	758:1:9	60000	1	0
44	8	1:29040|6:249|7:622	758:1:10	70000	1	0
44	9	1:34470|6:296|7:738	758:1:12	70000	1	0
44	10	1:40300|6:346|7:863	758:1:13	80000	2	507
44	11	1:46540|6:399|7:997	758:1:15	90000	2	0
44	12	1:53180|6:456|7:1139	758:1:16	90000	2	0
44	13	1:60220|6:516|7:1290	758:1:18	100000	2	0
44	14	1:67660|6:580|7:1449	758:1:20	100000	2	0
44	15	1:75500|6:647|7:1617	758:1:23	110000	3	507
44	16	1:83740|6:718|7:1794	758:1:25	120000	3	0
44	17	1:92380|6:792|7:1979	758:1:28	120000	3	0
44	18	1:101420|6:869|7:2173	758:1:30	130000	3	0
44	19	1:110860|6:950|7:2375	758:1:33	140000	3	0
44	20	1:120700|6:1034|7:2586	758:1:37	140000	4	507
44	21	1:130940|6:1122|7:2805	758:1:40	150000	4	0
44	22	1:141580|6:1213|7:3033	758:1:44	160000	4	0
44	23	1:152620|6:1308|7:3270	758:1:48	170000	4	0
44	24	1:164070|6:1406|7:3515	758:1:52	170000	4	0
44	25	1:175920|6:1508|7:3769	758:1:57	180000	5	507
44	26	1:188170|6:1613|7:4031	758:1:62	190000	5	0
44	27	1:200820|6:1721|7:4302	758:1:67	190000	5	0
44	28	1:213870|6:1833|7:4582	758:1:73	200000	5	0
44	29	1:227320|6:1948|7:4870	758:1:79	210000	5	0
44	30	1:241170|6:2067|7:5167	758:1:85	220000	6	507
44	31	1:255420|6:2189|7:5472	758:1:93	220000	6	0
44	32	1:270070|6:2315|7:5786	758:1:100	230000	6	0
44	33	1:285120|6:2444|7:6109	758:1:108	240000	6	0
44	34	1:300570|6:2576|7:6440	758:1:117	250000	6	0
44	35	1:316420|6:2712|7:6780	758:1:126	260000	7	507
44	36	1:332680|6:2851|7:7128	758:1:136	260000	7	0
44	37	1:349340|6:2994|7:7485	758:1:147	270000	7	0
44	38	1:366400|6:3140|7:7851	758:1:158	280000	7	0
44	39	1:383860|6:3290|7:8225	758:1:170	290000	7	0
44	40	1:401720|6:3443|7:8608	758:1:183	300000	8	507
44	41	1:419980|6:3600|7:8999	758:1:197	300000	8	0
44	42	1:438640|6:3760|7:9399	758:1:212	310000	8	0
44	43	1:457700|6:3923|7:9807	758:1:227	320000	8	0
44	44	1:477160|6:4090|7:10224	758:1:244	330000	8	0
44	45	1:497020|6:4260|7:10650	758:1:262	340000	9	507
44	46	1:517280|6:4434|7:11084	758:1:281	350000	9	0
44	47	1:537940|6:4611|7:11527	758:1:302	360000	9	0
44	48	1:559010|6:4792|7:11978	758:1:324	360000	9	0
44	49	1:580480|6:4976|7:12438	758:1:347	370000	9	0
44	50	1:602350|6:5163|7:12907	758:1:372	380000	10	507
44	51	1:624620|6:5354|7:13384	758:1:398	390000	10	0
44	52	1:647290|6:5548|7:13870	758:1:427	400000	10	0
44	53	1:670360|6:5746|7:14364	758:1:457	410000	10	0
44	54	1:693830|6:5947|7:14867	758:1:489	420000	10	0
44	55	1:717700|6:6152|7:15379	758:1:523	430000	11	507
44	56	1:741970|6:6360|7:15899	758:1:560	440000	11	0
44	57	1:766640|6:6571|7:16428	758:1:598	450000	11	0
44	58	1:791710|6:6786|7:16965	758:1:640	460000	11	0
44	59	1:817180|6:7004|7:17511	758:1:684	470000	11	0
44	60	1:843060|6:7226|7:18065	758:1:731	480000	12	507
45	1	4:24|5:60|6:14|7:36	758:1:3	30000	0	0
45	2	4:52|5:130|6:31|7:78	758:1:4	30000	0	0
45	3	4:84|5:211|6:50|7:127	758:1:5	40000	0	0
45	4	4:121|5:303|6:72|7:182	758:1:6	40000	0	0
45	5	4:162|5:406|6:97|7:244	758:1:7	50000	1	507
45	6	4:207|5:519|6:124|7:312	758:1:8	50000	1	0
45	7	4:257|5:643|6:154|7:386	758:1:9	60000	1	0
45	8	4:311|5:778|6:186|7:467	758:1:10	70000	1	0
45	9	4:369|5:924|6:221|7:554	758:1:12	70000	1	0
45	10	4:432|5:1080|6:259|7:648	758:1:13	80000	2	507
45	11	4:499|5:1247|6:299|7:748	758:1:15	90000	2	0
45	12	4:570|5:1425|6:342|7:855	758:1:16	90000	2	0
45	13	4:645|5:1613|6:387|7:968	758:1:18	100000	2	0
45	14	4:725|5:1812|6:435|7:1088	758:1:20	100000	2	0
45	15	4:809|5:2022|6:485|7:1214	758:1:23	110000	3	507
45	16	4:897|5:2243|6:538|7:1346	758:1:25	120000	3	0
45	17	4:990|5:2474|6:594|7:1485	758:1:28	120000	3	0
45	18	4:1087|5:2716|6:652|7:1630	758:1:30	130000	3	0
45	19	4:1188|5:2969|6:713|7:1782	758:1:33	140000	3	0
45	20	4:1293|5:3233|6:776|7:1940	758:1:37	140000	4	507
45	21	4:1403|5:3507|6:842|7:2105	758:1:40	150000	4	0
45	22	4:1517|5:3792|6:910|7:2276	758:1:44	160000	4	0
45	23	4:1635|5:4088|6:981|7:2454	758:1:48	170000	4	0
45	24	4:1758|5:4395|6:1055|7:2638	758:1:52	170000	4	0
45	25	4:1885|5:4712|6:1131|7:2828	758:1:57	180000	5	507
45	26	4:2016|5:5040|6:1210|7:3025	758:1:62	190000	5	0
45	27	4:2152|5:5379|6:1291|7:3228	758:1:67	190000	5	0
45	28	4:2292|5:5729|6:1375|7:3438	758:1:73	200000	5	0
45	29	4:2436|5:6089|6:1461|7:3654	758:1:79	210000	5	0
45	30	4:2584|5:6460|6:1550|7:3877	758:1:85	220000	6	507
45	31	4:2737|5:6842|6:1642|7:4106	758:1:93	220000	6	0
45	32	4:2894|5:7234|6:1736|7:4341	758:1:100	230000	6	0
45	33	4:3055|5:7637|6:1833|7:4583	758:1:108	240000	6	0
45	34	4:3221|5:8051|6:1932|7:4831	758:1:117	250000	6	0
45	35	4:3391|5:8476|6:2034|7:5086	758:1:126	260000	7	507
45	36	4:3565|5:8911|6:2139|7:5347	758:1:136	260000	7	0
45	37	4:3743|5:9357|6:2246|7:5615	758:1:147	270000	7	0
45	38	4:3926|5:9814|6:2356|7:5889	758:1:158	280000	7	0
45	39	4:4113|5:10282|6:2468|7:6170	758:1:170	290000	7	0
45	40	4:4304|5:10760|6:2583|7:6457	758:1:183	300000	8	507
45	41	4:4500|5:11249|6:2700|7:6750	758:1:197	300000	8	0
45	42	4:4700|5:11749|6:2820|7:7050	758:1:212	310000	8	0
45	43	4:4904|5:12260|6:2943|7:7356	758:1:227	320000	8	0
45	44	4:5113|5:12781|6:3068|7:7669	758:1:244	330000	8	0
45	45	4:5326|5:13313|6:3196|7:7988	758:1:262	340000	9	507
45	46	4:5543|5:13856|6:3326|7:8314	758:1:281	350000	9	0
45	47	4:5764|5:14410|6:3459|7:8646	758:1:302	360000	9	0
45	48	4:5990|5:14974|6:3594|7:8985	758:1:324	360000	9	0
45	49	4:6220|5:15549|6:3732|7:9330	758:1:347	370000	9	0
45	50	4:6454|5:16135|6:3873|7:9681	758:1:372	380000	10	507
45	51	4:6693|5:16731|6:4016|7:10039	758:1:398	390000	10	0
45	52	4:6936|5:17338|6:4162|7:10403	758:1:427	400000	10	0
45	53	4:7183|5:17956|6:4310|7:10774	758:1:457	410000	10	0
45	54	4:7434|5:18585|6:4461|7:11151	758:1:489	420000	10	0
45	55	4:7690|5:19224|6:4614|7:11535	758:1:523	430000	11	507
45	56	4:7950|5:19874|6:4770|7:11925	758:1:560	440000	11	0
45	57	4:8214|5:20535|6:4929|7:12322	758:1:598	450000	11	0
45	58	4:8483|5:21207|6:5090|7:12725	758:1:640	460000	11	0
45	59	4:8756|5:21889|6:5254|7:13134	758:1:684	470000	11	0
45	60	4:9033|5:22582|6:5420|7:13550	758:1:731	480000	12	507
46	1	1:2230|4:19|5:48	758:1:3	30000	0	0
46	2	1:4860|4:42|5:104	758:1:4	30000	0	0
46	3	1:7890|4:68|5:169	758:1:5	40000	0	0
46	4	1:11320|4:97|5:242	758:1:6	40000	0	0
46	5	1:15150|4:130|5:324	758:1:7	50000	1	507
46	6	1:19380|4:166|5:415	758:1:8	50000	1	0
46	7	1:24010|4:206|5:514	758:1:9	60000	1	0
46	8	1:29040|4:249|5:622	758:1:10	70000	1	0
46	9	1:34470|4:296|5:738	758:1:12	70000	1	0
46	10	1:40300|4:346|5:863	758:1:13	80000	2	507
46	11	1:46540|4:399|5:997	758:1:15	90000	2	0
46	12	1:53180|4:456|5:1139	758:1:16	90000	2	0
46	13	1:60220|4:516|5:1290	758:1:18	100000	2	0
46	14	1:67660|4:580|5:1449	758:1:20	100000	2	0
46	15	1:75500|4:647|5:1617	758:1:23	110000	3	507
46	16	1:83740|4:718|5:1794	758:1:25	120000	3	0
46	17	1:92380|4:792|5:1979	758:1:28	120000	3	0
46	18	1:101420|4:869|5:2173	758:1:30	130000	3	0
46	19	1:110860|4:950|5:2375	758:1:33	140000	3	0
46	20	1:120700|4:1034|5:2586	758:1:37	140000	4	507
46	21	1:130940|4:1122|5:2805	758:1:40	150000	4	0
46	22	1:141580|4:1213|5:3033	758:1:44	160000	4	0
46	23	1:152620|4:1308|5:3270	758:1:48	170000	4	0
46	24	1:164070|4:1406|5:3515	758:1:52	170000	4	0
46	25	1:175920|4:1508|5:3769	758:1:57	180000	5	507
46	26	1:188170|4:1613|5:4031	758:1:62	190000	5	0
46	27	1:200820|4:1721|5:4302	758:1:67	190000	5	0
46	28	1:213870|4:1833|5:4582	758:1:73	200000	5	0
46	29	1:227320|4:1948|5:4870	758:1:79	210000	5	0
46	30	1:241170|4:2067|5:5167	758:1:85	220000	6	507
46	31	1:255420|4:2189|5:5472	758:1:93	220000	6	0
46	32	1:270070|4:2315|5:5786	758:1:100	230000	6	0
46	33	1:285120|4:2444|5:6109	758:1:108	240000	6	0
46	34	1:300570|4:2576|5:6440	758:1:117	250000	6	0
46	35	1:316420|4:2712|5:6780	758:1:126	260000	7	507
46	36	1:332680|4:2851|5:7128	758:1:136	260000	7	0
46	37	1:349340|4:2994|5:7485	758:1:147	270000	7	0
46	38	1:366400|4:3140|5:7851	758:1:158	280000	7	0
46	39	1:383860|4:3290|5:8225	758:1:170	290000	7	0
46	40	1:401720|4:3443|5:8608	758:1:183	300000	8	507
46	41	1:419980|4:3600|5:8999	758:1:197	300000	8	0
46	42	1:438640|4:3760|5:9399	758:1:212	310000	8	0
46	43	1:457700|4:3923|5:9807	758:1:227	320000	8	0
46	44	1:477160|4:4090|5:10224	758:1:244	330000	8	0
46	45	1:497020|4:4260|5:10650	758:1:262	340000	9	507
46	46	1:517280|4:4434|5:11084	758:1:281	350000	9	0
46	47	1:537940|4:4611|5:11527	758:1:302	360000	9	0
46	48	1:559010|4:4792|5:11978	758:1:324	360000	9	0
46	49	1:580480|4:4976|5:12438	758:1:347	370000	9	0
46	50	1:602350|4:5163|5:12907	758:1:372	380000	10	507
46	51	1:624620|4:5354|5:13384	758:1:398	390000	10	0
46	52	1:647290|4:5548|5:13870	758:1:427	400000	10	0
46	53	1:670360|4:5746|5:14364	758:1:457	410000	10	0
46	54	1:693830|4:5947|5:14867	758:1:489	420000	10	0
46	55	1:717700|4:6152|5:15379	758:1:523	430000	11	507
46	56	1:741970|4:6360|5:15899	758:1:560	440000	11	0
46	57	1:766640|4:6571|5:16428	758:1:598	450000	11	0
46	58	1:791710|4:6786|5:16965	758:1:640	460000	11	0
46	59	1:817180|4:7004|5:17511	758:1:684	470000	11	0
46	60	1:843060|4:7226|5:18065	758:1:731	480000	12	507
47	1	1:2230|6:19|7:48	758:1:3	30000	0	0
47	2	1:4860|6:42|7:104	758:1:4	30000	0	0
47	3	1:7890|6:68|7:169	758:1:5	40000	0	0
47	4	1:11320|6:97|7:242	758:1:6	40000	0	0
47	5	1:15150|6:130|7:324	758:1:7	50000	1	507
47	6	1:19380|6:166|7:415	758:1:8	50000	1	0
47	7	1:24010|6:206|7:514	758:1:9	60000	1	0
47	8	1:29040|6:249|7:622	758:1:10	70000	1	0
47	9	1:34470|6:296|7:738	758:1:12	70000	1	0
47	10	1:40300|6:346|7:863	758:1:13	80000	2	507
47	11	1:46540|6:399|7:997	758:1:15	90000	2	0
47	12	1:53180|6:456|7:1139	758:1:16	90000	2	0
47	13	1:60220|6:516|7:1290	758:1:18	100000	2	0
47	14	1:67660|6:580|7:1449	758:1:20	100000	2	0
47	15	1:75500|6:647|7:1617	758:1:23	110000	3	507
47	16	1:83740|6:718|7:1794	758:1:25	120000	3	0
47	17	1:92380|6:792|7:1979	758:1:28	120000	3	0
47	18	1:101420|6:869|7:2173	758:1:30	130000	3	0
47	19	1:110860|6:950|7:2375	758:1:33	140000	3	0
47	20	1:120700|6:1034|7:2586	758:1:37	140000	4	507
47	21	1:130940|6:1122|7:2805	758:1:40	150000	4	0
47	22	1:141580|6:1213|7:3033	758:1:44	160000	4	0
47	23	1:152620|6:1308|7:3270	758:1:48	170000	4	0
47	24	1:164070|6:1406|7:3515	758:1:52	170000	4	0
47	25	1:175920|6:1508|7:3769	758:1:57	180000	5	507
47	26	1:188170|6:1613|7:4031	758:1:62	190000	5	0
47	27	1:200820|6:1721|7:4302	758:1:67	190000	5	0
47	28	1:213870|6:1833|7:4582	758:1:73	200000	5	0
47	29	1:227320|6:1948|7:4870	758:1:79	210000	5	0
47	30	1:241170|6:2067|7:5167	758:1:85	220000	6	507
47	31	1:255420|6:2189|7:5472	758:1:93	220000	6	0
47	32	1:270070|6:2315|7:5786	758:1:100	230000	6	0
47	33	1:285120|6:2444|7:6109	758:1:108	240000	6	0
47	34	1:300570|6:2576|7:6440	758:1:117	250000	6	0
47	35	1:316420|6:2712|7:6780	758:1:126	260000	7	507
47	36	1:332680|6:2851|7:7128	758:1:136	260000	7	0
47	37	1:349340|6:2994|7:7485	758:1:147	270000	7	0
47	38	1:366400|6:3140|7:7851	758:1:158	280000	7	0
47	39	1:383860|6:3290|7:8225	758:1:170	290000	7	0
47	40	1:401720|6:3443|7:8608	758:1:183	300000	8	507
47	41	1:419980|6:3600|7:8999	758:1:197	300000	8	0
47	42	1:438640|6:3760|7:9399	758:1:212	310000	8	0
47	43	1:457700|6:3923|7:9807	758:1:227	320000	8	0
47	44	1:477160|6:4090|7:10224	758:1:244	330000	8	0
47	45	1:497020|6:4260|7:10650	758:1:262	340000	9	507
47	46	1:517280|6:4434|7:11084	758:1:281	350000	9	0
47	47	1:537940|6:4611|7:11527	758:1:302	360000	9	0
47	48	1:559010|6:4792|7:11978	758:1:324	360000	9	0
47	49	1:580480|6:4976|7:12438	758:1:347	370000	9	0
47	50	1:602350|6:5163|7:12907	758:1:372	380000	10	507
47	51	1:624620|6:5354|7:13384	758:1:398	390000	10	0
47	52	1:647290|6:5548|7:13870	758:1:427	400000	10	0
47	53	1:670360|6:5746|7:14364	758:1:457	410000	10	0
47	54	1:693830|6:5947|7:14867	758:1:489	420000	10	0
47	55	1:717700|6:6152|7:15379	758:1:523	430000	11	507
47	56	1:741970|6:6360|7:15899	758:1:560	440000	11	0
47	57	1:766640|6:6571|7:16428	758:1:598	450000	11	0
47	58	1:791710|6:6786|7:16965	758:1:640	460000	11	0
47	59	1:817180|6:7004|7:17511	758:1:684	470000	11	0
47	60	1:843060|6:7226|7:18065	758:1:731	480000	12	507
48	1	1:2230|10:134	758:1:3	30000	0	0
48	2	1:4860|10:292	758:1:4	30000	0	0
48	3	1:7890|10:474	758:1:5	40000	0	0
48	4	1:11320|10:680	758:1:6	40000	0	0
48	5	1:15150|10:910	758:1:7	50000	1	507
48	6	1:19380|10:1164	758:1:8	50000	1	0
48	7	1:24010|10:1442	758:1:9	60000	1	0
48	8	1:29040|10:1744	758:1:10	70000	1	0
48	9	1:34470|10:2070	758:1:12	70000	1	0
48	10	1:40300|10:2420	758:1:13	80000	2	507
48	11	1:46540|10:2794	758:1:15	90000	2	0
48	12	1:53180|10:3192	758:1:16	90000	2	0
48	13	1:60220|10:3614	758:1:18	100000	2	0
48	14	1:67660|10:4060	758:1:20	100000	2	0
48	15	1:75500|10:4530	758:1:23	110000	3	507
48	16	1:83740|10:5024	758:1:25	120000	3	0
48	17	1:92380|10:5542	758:1:28	120000	3	0
48	18	1:101420|10:6084	758:1:30	130000	3	0
48	19	1:110860|10:6650	758:1:33	140000	3	0
48	20	1:120700|10:7241	758:1:37	140000	4	507
48	21	1:130940|10:7856	758:1:40	150000	4	0
48	22	1:141580|10:8495	758:1:44	160000	4	0
48	23	1:152620|10:9158	758:1:48	170000	4	0
48	24	1:164070|10:9845	758:1:52	170000	4	0
48	25	1:175920|10:10556	758:1:57	180000	5	507
48	26	1:188170|10:11291	758:1:62	190000	5	0
48	27	1:200820|10:12050	758:1:67	190000	5	0
48	28	1:213870|10:12833	758:1:73	200000	5	0
48	29	1:227320|10:13640	758:1:79	210000	5	0
48	30	1:241170|10:14471	758:1:85	220000	6	507
48	31	1:255420|10:15326	758:1:93	220000	6	0
48	32	1:270070|10:16205	758:1:100	230000	6	0
48	33	1:285120|10:17108	758:1:108	240000	6	0
48	34	1:300570|10:18035	758:1:117	250000	6	0
48	35	1:316420|10:18986	758:1:126	260000	7	507
48	36	1:332680|10:19961	758:1:136	260000	7	0
48	37	1:349340|10:20960	758:1:147	270000	7	0
48	38	1:366400|10:21983	758:1:158	280000	7	0
48	39	1:383860|10:23030	758:1:170	290000	7	0
48	40	1:401720|10:24102	758:1:183	300000	8	507
48	41	1:419980|10:25198	758:1:197	300000	8	0
48	42	1:438640|10:26318	758:1:212	310000	8	0
48	43	1:457700|10:27462	758:1:227	320000	8	0
48	44	1:477160|10:28630	758:1:244	330000	8	0
48	45	1:497020|10:29822	758:1:262	340000	9	507
48	46	1:517280|10:31038	758:1:281	350000	9	0
48	47	1:537940|10:32278	758:1:302	360000	9	0
48	48	1:559010|10:33542	758:1:324	360000	9	0
48	49	1:580480|10:34830	758:1:347	370000	9	0
48	50	1:602350|10:36142	758:1:372	380000	10	507
48	51	1:624620|10:37478	758:1:398	390000	10	0
48	52	1:647290|10:38838	758:1:427	400000	10	0
48	53	1:670360|10:40222	758:1:457	410000	10	0
48	54	1:693830|10:41630	758:1:489	420000	10	0
48	55	1:717700|10:43062	758:1:523	430000	11	507
48	56	1:741970|10:44518	758:1:560	440000	11	0
48	57	1:766640|10:45998	758:1:598	450000	11	0
48	58	1:791710|10:47502	758:1:640	460000	11	0
48	59	1:817180|10:49030	758:1:684	470000	11	0
48	60	1:843060|10:50583	758:1:731	480000	12	507
49	1	4:19|5:48|33:134	758:1:3	30000	0	0
49	2	4:42|5:104|33:292	758:1:4	30000	0	0
49	3	4:68|5:169|33:474	758:1:5	40000	0	0
49	4	4:97|5:242|33:680	758:1:6	40000	0	0
49	5	4:130|5:324|33:910	758:1:7	50000	1	507
49	6	4:166|5:415|33:1164	758:1:8	50000	1	0
49	7	4:206|5:514|33:1442	758:1:9	60000	1	0
49	8	4:249|5:622|33:1744	758:1:10	70000	1	0
49	9	4:296|5:738|33:2070	758:1:12	70000	1	0
49	10	4:346|5:863|33:2420	758:1:13	80000	2	507
49	11	4:399|5:997|33:2794	758:1:15	90000	2	0
49	12	4:456|5:1139|33:3192	758:1:16	90000	2	0
49	13	4:516|5:1290|33:3614	758:1:18	100000	2	0
49	14	4:580|5:1449|33:4060	758:1:20	100000	2	0
49	15	4:647|5:1617|33:4530	758:1:23	110000	3	507
49	16	4:718|5:1794|33:5024	758:1:25	120000	3	0
49	17	4:792|5:1979|33:5542	758:1:28	120000	3	0
49	18	4:869|5:2173|33:6084	758:1:30	130000	3	0
49	19	4:950|5:2375|33:6650	758:1:33	140000	3	0
49	20	4:1034|5:2586|33:7241	758:1:37	140000	4	507
49	21	4:1122|5:2805|33:7856	758:1:40	150000	4	0
49	22	4:1213|5:3033|33:8495	758:1:44	160000	4	0
49	23	4:1308|5:3270|33:9158	758:1:48	170000	4	0
49	24	4:1406|5:3515|33:9845	758:1:52	170000	4	0
49	25	4:1508|5:3769|33:10556	758:1:57	180000	5	507
49	26	4:1613|5:4031|33:11291	758:1:62	190000	5	0
49	27	4:1721|5:4302|33:12050	758:1:67	190000	5	0
