INT	INT	STRING	INT	INT	INT
Slot	Level	CostItem	Attr	SuitId	GongGao
44	1	564:1:10|931:1:3	50	0	0
44	2	564:1:12|931:1:4	100	0	0
44	3	564:1:14|931:1:5	150	0	0
44	4	564:1:17|931:1:6	200	0	0
44	5	564:1:20|931:1:7	250	1	543
44	6	564:1:23|931:1:8	320	1	0
44	7	564:1:27|931:1:9	390	1	0
44	8	564:1:32|931:1:11	460	1	0
44	9	564:1:38|931:1:13	530	1	0
44	10	564:1:45|931:1:15	600	2	543
44	11	564:1:53|931:1:18	690	2	0
44	12	564:1:62|931:1:21	780	2	0
44	13	564:1:74|931:1:25	870	2	0
44	14	564:1:87|931:1:29	960	2	0
44	15	564:1:102|931:1:34	1050	3	543
44	16	564:1:121|931:1:40	1160	3	0
44	17	564:1:143|931:1:48	1270	3	0
44	18	564:1:168|931:1:56	1380	3	0
44	19	564:1:199|931:1:66	1490	3	0
44	20	564:1:234|931:1:78	1600	4	543
44	21	564:1:277|931:1:92	1730	4	0
44	22	564:1:326|931:1:109	1860	4	0
44	23	564:1:385|931:1:128	1990	4	0
44	24	564:1:455|931:1:152	2120	4	0
44	25	564:1:536|931:1:179	2250	5	543
44	26	564:1:633|931:1:211	2400	5	0
44	27	564:1:747|931:1:249	2550	5	0
44	28	564:1:881|931:1:294	2700	5	0
44	29	564:1:1040|931:1:347	2850	5	0
44	30	564:1:1227|931:1:409	3000	6	543
45	1	564:1:10|931:1:3	50	0	0
45	2	564:1:12|931:1:4	100	0	0
45	3	564:1:14|931:1:5	150	0	0
45	4	564:1:17|931:1:6	200	0	0
45	5	564:1:20|931:1:7	250	1	543
45	6	564:1:23|931:1:8	320	1	0
45	7	564:1:27|931:1:9	390	1	0
45	8	564:1:32|931:1:11	460	1	0
45	9	564:1:38|931:1:13	530	1	0
45	10	564:1:45|931:1:15	600	2	543
45	11	564:1:53|931:1:18	690	2	0
45	12	564:1:62|931:1:21	780	2	0
45	13	564:1:74|931:1:25	870	2	0
45	14	564:1:87|931:1:29	960	2	0
45	15	564:1:102|931:1:34	1050	3	543
45	16	564:1:121|931:1:40	1160	3	0
45	17	564:1:143|931:1:48	1270	3	0
45	18	564:1:168|931:1:56	1380	3	0
45	19	564:1:199|931:1:66	1490	3	0
45	20	564:1:234|931:1:78	1600	4	543
45	21	564:1:277|931:1:92	1730	4	0
45	22	564:1:326|931:1:109	1860	4	0
45	23	564:1:385|931:1:128	1990	4	0
45	24	564:1:455|931:1:152	2120	4	0
45	25	564:1:536|931:1:179	2250	5	543
45	26	564:1:633|931:1:211	2400	5	0
45	27	564:1:747|931:1:249	2550	5	0
45	28	564:1:881|931:1:294	2700	5	0
45	29	564:1:1040|931:1:347	2850	5	0
45	30	564:1:1227|931:1:409	3000	6	543
