INT	INT	INT	INT	INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	STRING	STRING	INT	INT	INT	STRING	INT	INT
Id	Lv	Type	Quality1	Gain_condition	Attr	TalentId	TalentLevel	Name	url	drop_url	acquire	auction	QualityShow	desc	Price	overlay	grade	ColorName	Quality	WearLevel
1	1	2	1	0	1:2897	-1	-1	一品·生命武魂[普通]	631	631	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|97'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|一品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|一品·生命武魂[普通]	3	200
2	1	2	2	0	1:4345	-1	-1	一品·生命武魂[良好]	631	631	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|98'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|一品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|一品·生命武魂[良好]	4	200
3	1	2	3	0	1:6518	-1	-1	一品·生命武魂[优秀]	631	631	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|99'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|一品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|一品·生命武魂[优秀]	5	200
4	1	2	4	0	1:9776	-1	-1	一品·生命武魂[卓越]	631	631	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|100'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|一品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|一品·生命武魂[卓越]	6	200
5	1	2	5	0	1:14665	-1	-1	一品·生命武魂[完美]	631	631	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|101'>前往</a></u></font>	-1	-1	#f7ab00|【生命武魂】|n|#debc6a|只能装备到|#00ff00|一品·生命武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#e60012|一品·生命武魂[完美]	7	200
6	1	2	1	0	4:24|5:60	-1	-1	一品·攻击武魂[普通]	632	632	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|102'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|一品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#00afec|一品·攻击武魂[普通]	3	200
7	1	2	2	0	4:36|5:90	-1	-1	一品·攻击武魂[良好]	632	632	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|103'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|一品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#a54bfa|一品·攻击武魂[良好]	4	200
8	1	2	3	0	4:54|5:136	-1	-1	一品·攻击武魂[优秀]	632	632	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|104'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|一品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#f7ab00|一品·攻击武魂[优秀]	5	200
9	1	2	4	0	4:80|5:204	-1	-1	一品·攻击武魂[卓越]	632	632	击杀指定BOSS有几率获得&<u><a href='event:kill|80004|103|275'>前往</a></u></font>#击杀副本BOSS有几率获得&<u><a href='event:NPC|371004'>前往</a></u></font>#从其他玩家摊位上购买获得&<u><a href='event:openPanel|petPanel|105'>前往</a></u></font>	-1	-1	#f7ab00|【攻击武魂】|n|#debc6a|只能装备到|#00ff00|一品·攻击武魂|#debc6a|界面中|n|#debc6a|双击可自动装备到|#00ff00|【武魂】|#debc6a|系统|n|#debc6a|多余的武魂可以前往|#00ff00|锻造分解	-1	999	100	#ff3399|一品·攻击武魂[卓越]	6	200
