INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING
Id	Lv	Type	NeedItem	GainItem	NpcID	WuHunID	Name	NeedItem1	GainItem1
1	1	1	-1	-1	-1	1000	-1	-1	-1
2	1	2	-1	-1	-1	1005	-1	-1	-1
3	1	3	-1	-1	-1	1010	-1	-1	-1
4	1	4	-1	-1	-1	1015	-1	-1	-1
5	2	1	602:1:12|603:1:14|619:1:1	21:8:1:1:6388:0|22:8:1:1:2280:0|23:8:1:1:848:0|24:8:1:1:337:460|25:8:1:1:147:460	1124	1001	-1	722:1:1	23:8:1:1:6500:0|24:8:1:1:2500:460|25:8:1:1:1000:460
6	2	2	603:1:12|604:1:14|620:1:1	26:8:1:1:6388:0|27:8:1:1:2280:0|28:8:1:1:848:0|29:8:1:1:337:460|30:8:1:1:147:460	1124	1006	-1	722:1:1	28:8:1:1:6500:0|29:8:1:1:2500:460|30:8:1:1:1000:460
7	2	3	604:1:12|602:1:15|621:1:1	31:8:1:1:6388:0|32:8:1:1:2280:0|33:8:1:1:848:0|34:8:1:1:337:460|35:8:1:1:147:460	1124	1011	-1	722:1:1	33:8:1:1:6500:0|34:8:1:1:2500:460|35:8:1:1:1000:460
8	2	4	640:1:3	36:8:1:1:10000:460	1124	36	#00afec|合成二品·极品武魂[普通]	-1	-1
9	2	4	36:8:3	37:8:1:1:10000:460	1124	37	#a54bfa|合成二品·极品武魂[良好]	-1	-1
10	2	4	37:8:3|645:1:20	38:8:1:1:10000:460	1124	38	#f7ab00|合成二品·极品武魂[优秀]	-1	-1
11	2	4	38:8:3|645:1:45	39:8:1:1:10000:460	1124	39	#ff3399|合成二品·极品武魂[卓越]	-1	-1
12	2	4	39:8:3|645:1:90	40:8:1:1:10000:460	1124	40	#e60012|合成二品·极品武魂[完美]	-1	-1
13	3	1	602:1:12|603:1:14|605:1:13|623:1:1	41:8:1:1:6737:0|42:8:1:1:2163:0|43:8:1:1:727:0|44:8:1:1:265:460|45:8:1:1:108:460	1125	1002	-1	722:1:2	43:8:1:1:6700:0|44:8:1:1:2400:460|45:8:1:1:900:460
14	3	2	603:1:12|604:1:14|606:1:13|624:1:1	46:8:1:1:6737:0|47:8:1:1:2163:0|48:8:1:1:727:0|49:8:1:1:265:460|50:8:1:1:108:460	1125	1007	-1	722:1:2	48:8:1:1:6400:0|49:8:1:1:2700:460|50:8:1:1:900:460
15	3	3	602:1:12|604:1:14|607:1:14|625:1:1	51:8:1:1:6737:0|52:8:1:1:2163:0|53:8:1:1:727:0|54:8:1:1:265:460|55:8:1:1:108:460	1125	1012	-1	722:1:2	53:8:1:1:6700:0|54:8:1:1:2400:460|55:8:1:1:900:460
16	3	4	641:1:3	56:8:1:1:10000:460	1125	56	#00afec|合成三品·极品武魂[普通]	-1	-1
17	3	4	56:8:3	57:8:1:1:10000:460	1125	57	#a54bfa|合成三品·极品武魂[良好]	-1	-1
18	3	4	57:8:3|645:1:40	58:8:1:1:10000:460	1125	58	#f7ab00|合成三品·极品武魂[优秀]	-1	-1
19	3	4	58:8:3|645:1:90	59:8:1:1:10000:460	1125	59	#ff3399|合成三品·极品武魂[卓越]	-1	-1
20	3	4	59:8:3|645:1:180	60:8:1:1:10000:460	1125	60	#e60012|合成三品·极品武魂[完美]	-1	-1
21	4	1	605:1:11|606:1:13|608:1:13|609:1:12|627:1:1	61:8:1:1:7203:0|62:8:1:1:1979:0|63:8:1:1:570:0|64:8:1:1:181:460|65:8:1:1:67:460	1126	1003	-1	722:1:5	63:8:1:1:6800:0|64:8:1:1:2300:460|65:8:1:1:900:460
22	4	2	605:1:11|607:1:13|609:1:13|610:1:12|628:1:1	66:8:1:1:7203:0|67:8:1:1:1979:0|68:8:1:1:570:0|69:8:1:1:181:460|70:8:1:1:67:460	1126	1008	-1	722:1:5	68:8:1:1:6800:0|69:8:1:1:2300:460|70:8:1:1:900:460
23	4	3	606:1:11|607:1:13|608:1:13|610:1:12|629:1:1	71:8:1:1:7203:0|72:8:1:1:1979:0|73:8:1:1:570:0|74:8:1:1:181:460|75:8:1:1:67:460	1126	1013	-1	722:1:5	73:8:1:1:6800:0|74:8:1:1:2300:460|75:8:1:1:900:460
24	4	4	642:1:3	76:8:1:1:10000:460	1126	76	#00afec|合成四品·极品武魂[普通]	-1	-1
25	4	4	76:8:3	77:8:1:1:10000:460	1126	77	#a54bfa|合成四品·极品武魂[良好]	-1	-1
26	4	4	77:8:3|645:1:80	78:8:1:1:10000:460	1126	78	#f7ab00|合成四品·极品武魂[优秀]	-1	-1
27	4	4	78:8:3|645:1:180	79:8:1:1:10000:460	1126	79	#ff3399|合成四品·极品武魂[卓越]	-1	-1
28	4	4	79:8:3|645:1:360	80:8:1:1:10000:460	1126	80	#e60012|合成四品·极品武魂[完美]	-1	-1
29	5	1	608:1:13|609:1:16|610:1:15|612:1:14|631:1:1	81:8:1:1:7423:0|82:8:1:1:1914:0|83:8:1:1:482:0|84:8:1:1:135:460|85:8:1:1:46:460	1131	1004	-1	722:1:10	83:8:1:1:7300:0|84:8:1:1:2000:460|85:8:1:1:700:460
30	5	2	609:1:13|610:1:16|611:1:15|613:1:14|632:1:1	86:8:1:1:7423:0|87:8:1:1:1914:0|88:8:1:1:482:0|89:8:1:1:135:460|90:8:1:1:46:460	1131	1009	-1	722:1:10	88:8:1:1:7300:0|89:8:1:1:2000:460|90:8:1:1:700:460
