INT	INT	INT	INT	INT	INT
TaskId	Star	MinLevel	MaxLevel	Rate	Pic
27001	1	230	299	313	2044
27002	1	230	299	313	2048
27003	1	230	299	313	5
27004	1	230	299	313	33
27005	1	230	299	313	3
27006	1	230	299	313	12
27007	1	230	299	313	2059
27008	1	230	299	313	2058
27009	2	230	299	357	5
27010	2	230	299	357	33
27011	2	230	299	357	3
27012	2	230	299	357	12
27013	2	230	299	357	2059
27014	2	230	299	357	2058
27015	2	230	299	357	2015
27016	2	230	299	0	2034
27017	3	230	299	357	33
27018	3	230	299	357	3
27019	3	230	299	357	12
27020	3	230	299	357	2059
27021	3	230	299	357	2058
27022	3	230	299	357	2015
27023	3	230	299	357	2034
27024	3	230	299	0	2070
27025	4	230	299	357	3
27026	4	230	299	357	12
27027	4	230	299	357	2059
27028	4	230	299	357	2058
27029	4	230	299	357	2015
27030	4	230	299	357	2034
27031	4	230	299	356	2070
27032	4	230	299	0	2055
27033	1	300	399	331	5
27034	1	300	399	330	33
27035	1	300	399	330	3
27036	1	300	399	330	12
27037	1	300	399	330	2059
27038	1	300	399	330	2058
27039	1	300	399	330	2015
27040	1	300	399	330	2034
27041	2	300	399	330	33
27042	2	300	399	330	3
27043	2	300	399	330	12
27044	2	300	399	330	2059
27045	2	300	399	330	2058
27046	2	300	399	330	2015
27047	2	300	399	330	2034
27048	2	300	399	330	2070
27049	3	300	399	330	3
27050	3	300	399	330	12
27051	3	300	399	330	2059
27052	3	300	399	330	2058
27053	3	300	399	330	2015
27054	3	300	399	330	2034
27055	3	300	399	330	2070
27056	3	300	399	330	2055
27057	4	300	399	231	12
27058	4	300	399	231	2059
27059	4	300	399	231	2058
27060	4	300	399	231	2015
27061	4	300	399	231	2034
27062	4	300	399	231	2070
27063	4	300	399	231	2055
27064	4	300	399	231	8
27065	4	300	399	231	2
27066	1	400	499	301	3
27067	1	400	499	301	12
27068	1	400	499	301	2059
27069	1	400	499	301	2058
27070	1	400	499	301	2015
27071	1	400	499	301	2034
27072	1	400	499	300	2070
27073	1	400	499	300	2055
27074	2	400	499	260	3
27075	2	400	499	260	12
27076	2	400	499	260	2059
27077	2	400	499	260	2058
27078	2	400	499	260	2015
27079	2	400	499	260	2034
27080	2	400	499	260	2070
27081	2	400	499	260	2055
27082	2	400	499	260	8
27083	2	400	499	260	2
27084	3	400	499	260	3
27085	3	400	499	260	12
27086	3	400	499	260	2059
27087	3	400	499	260	2058
27088	3	400	499	260	2015
27089	3	400	499	260	2034
27090	3	400	499	260	2070
27091	3	400	499	260	2055
27092	3	400	499	260	8
27093	3	400	499	260	2
27094	3	400	499	260	6
27095	4	400	499	194	12
27096	4	400	499	194	2059
27097	4	400	499	194	2058
27098	4	400	499	194	2015
27099	4	400	499	194	2034
27100	4	400	499	194	2070
27101	4	400	499	194	2055
27102	4	400	499	194	8
27103	4	400	499	194	2
27104	4	400	499	194	6
27105	4	400	499	194	13
27106	1	500	999	300	12
27107	1	500	999	300	2059
27108	1	500	999	300	2058
27109	1	500	999	300	2015
27110	1	500	999	300	2034
27111	1	500	999	300	2070
27112	1	500	999	300	2055
27113	1	500	999	300	8
27114	2	500	999	300	12
27115	2	500	999	300	2059
27116	2	500	999	300	2058
27117	2	500	999	300	2015
27118	2	500	999	300	2034
27119	2	500	999	300	2070
27120	2	500	999	300	2055
27121	2	500	999	300	8
27122	2	500	999	300	2
27123	3	500	999	300	2059
27124	3	500	999	300	2058
27125	3	500	999	300	2015
27126	3	500	999	300	2034
27127	3	500	999	300	2070
27128	3	500	999	300	2055
27129	3	500	999	300	8
27130	3	500	999	300	2
27131	3	500	999	300	6
27132	4	500	999	220	2058
27133	4	500	999	220	2015
27134	4	500	999	220	2034
27135	4	500	999	220	2070
27136	4	500	999	220	2055
27137	4	500	999	220	8
27138	4	500	999	220	2
27139	4	500	999	220	6
27140	4	500	999	220	13
27141	4	500	999	220	32
