INT	STRING	STRING
Id	NeedRes	Attr
60001	932:1:1	60011:169|60021:186|60031:204|60041:184|60051:110|60061:66|60071:40|60081:23|60091:12|60101:6
60002	932:1:1	60012:169|60022:186|60032:204|60042:184|60052:110|60062:66|60072:40|60082:23|60092:12|60102:6
60003	932:1:1	60013:169|60023:186|60033:204|60043:184|60053:110|60063:66|60073:40|60083:23|60093:12|60103:6
60004	932:1:1	60014:169|60024:186|60034:204|60044:184|60054:110|60064:66|60074:40|60084:23|60094:12|60104:6
60005	932:1:1	60015:169|60025:186|60035:204|60045:184|60055:110|60065:66|60075:40|60085:23|60095:12|60105:6
60006	932:1:1	60016:169|60026:186|60036:204|60046:184|60056:110|60066:66|60076:40|60086:23|60096:12|60106:6
60007	932:1:1	60017:169|60027:186|60037:204|60047:184|60057:110|60067:66|60077:40|60087:23|60097:12|60107:6
60008	932:1:1	60018:169|60028:186|60038:204|60048:184|60058:110|60068:66|60078:40|60088:23|60098:12|60108:6
60009	932:1:1	60019:169|60029:186|60039:204|60049:184|60059:110|60069:66|60079:40|60089:23|60099:12|60109:6
60010	932:1:1	60020:169|60030:186|60040:204|60050:184|60060:110|60070:66|60080:40|60090:23|60100:12|60110:6
60111	932:1:2	60121:178|60131:196|60141:216|60151:194|60161:97|60171:53|60181:32|60191:19|60201:10|60211:5
60112	932:1:2	60122:178|60132:196|60142:216|60152:194|60162:97|60172:53|60182:32|60192:19|60202:10|60212:5
60113	932:1:2	60123:178|60133:196|60143:216|60153:194|60163:97|60173:53|60183:32|60193:19|60203:10|60213:5
60114	932:1:2	60124:178|60134:196|60144:216|60154:194|60164:97|60174:53|60184:32|60194:19|60204:10|60214:5
60115	932:1:2	60125:178|60135:196|60145:216|60155:194|60165:97|60175:53|60185:32|60195:19|60205:10|60215:5
60116	932:1:2	60126:178|60136:196|60146:216|60156:194|60166:97|60176:53|60186:32|60196:19|60206:10|60216:5
60117	932:1:2	60127:178|60137:196|60147:216|60157:194|60167:97|60177:53|60187:32|60197:19|60207:10|60217:5
60118	932:1:2	60128:178|60138:196|60148:216|60158:194|60168:97|60178:53|60188:32|60198:19|60208:10|60218:5
60119	932:1:2	60129:178|60139:196|60149:216|60159:194|60169:97|60179:53|60189:32|60199:19|60209:10|60219:5
60120	932:1:2	60130:178|60140:196|60150:216|60160:194|60170:97|60180:53|60190:32|60200:19|60210:10|60220:5
60221	932:1:3	60231:185|60241:204|60251:224|60261:191|60271:95|60281:48|60291:26|60301:16|60311:8|60321:3
60222	932:1:3	60232:185|60242:204|60252:224|60262:191|60272:95|60282:48|60292:26|60302:16|60312:8|60322:3
60223	932:1:3	60233:185|60243:204|60253:224|60263:191|60273:95|60283:48|60293:26|60303:16|60313:8|60323:3
60224	932:1:3	60234:185|60244:204|60254:224|60264:191|60274:95|60284:48|60294:26|60304:16|60314:8|60324:3
60225	932:1:3	60235:185|60245:204|60255:224|60265:191|60275:95|60285:48|60295:26|60305:16|60315:8|60325:3
60226	932:1:3	60236:185|60246:204|60256:224|60266:191|60276:95|60286:48|60296:26|60306:16|60316:8|60326:3
60227	932:1:3	60237:185|60247:204|60257:224|60267:191|60277:95|60287:48|60297:26|60307:16|60317:8|60327:3
60228	932:1:3	60238:185|60248:204|60258:224|60268:191|60278:95|60288:48|60298:26|60308:16|60318:8|60328:3
60229	932:1:3	60239:185|60249:204|60259:224|60269:191|60279:95|60289:48|60299:26|60309:16|60319:8|60329:3
60230	932:1:3	60240:185|60250:204|60260:224|60270:191|60280:95|60290:48|60300:26|60310:16|60320:8|60330:3
60331	932:1:4	60341:193|60351:212|60361:234|60371:187|60381:93|60391:42|60401:21|60411:11|60421:5|60431:2
60332	932:1:4	60342:193|60352:212|60362:234|60372:187|60382:93|60392:42|60402:21|60412:11|60422:5|60432:2
60333	932:1:4	60343:193|60353:212|60363:234|60373:187|60383:93|60393:42|60403:21|60413:11|60423:5|60433:2
60334	932:1:4	60344:193|60354:212|60364:234|60374:187|60384:93|60394:42|60404:21|60414:11|60424:5|60434:2
60335	932:1:4	60345:193|60355:212|60365:234|60375:187|60385:93|60395:42|60405:21|60415:11|60425:5|60435:2
60336	932:1:4	60346:193|60356:212|60366:234|60376:187|60386:93|60396:42|60406:21|60416:11|60426:5|60436:2
60337	932:1:4	60347:193|60357:212|60367:234|60377:187|60387:93|60397:42|60407:21|60417:11|60427:5|60437:2
60338	932:1:4	60348:193|60358:212|60368:234|60378:187|60388:93|60398:42|60408:21|60418:11|60428:5|60438:2
60339	932:1:4	60349:193|60359:212|60369:234|60379:187|60389:93|60399:42|60409:21|60419:11|60429:5|60439:2
60340	932:1:4	60350:193|60360:212|60370:234|60380:187|60390:93|60400:42|60410:21|60420:11|60430:5|60440:2
60441	932:1:5	60451:198|60461:217|60471:239|60481:179|60491:90|60501:40|60511:20|60521:10|60531:5|60541:2
60442	932:1:5	60452:198|60462:217|60472:239|60482:179|60492:90|60502:40|60512:20|60522:10|60532:5|60542:2
60443	932:1:5	60453:198|60463:217|60473:239|60483:179|60493:90|60503:40|60513:20|60523:10|60533:5|60543:2
60444	932:1:5	60454:198|60464:217|60474:239|60484:179|60494:90|60504:40|60514:20|60524:10|60534:5|60544:2
60445	932:1:5	60455:198|60465:217|60475:239|60485:179|60495:90|60505:40|60515:20|60525:10|60535:5|60545:2
60446	932:1:5	60456:198|60466:217|60476:239|60486:179|60496:90|60506:40|60516:20|60526:10|60536:5|60546:2
60447	932:1:5	60457:198|60467:217|60477:239|60487:179|60497:90|60507:40|60517:20|60527:10|60537:5|60547:2
60448	932:1:5	60458:198|60468:217|60478:239|60488:179|60498:90|60508:40|60518:20|60528:10|60538:5|60548:2
60449	932:1:5	60459:198|60469:217|60479:239|60489:179|60499:90|60509:40|60519:20|60529:10|60539:5|60549:2
60450	932:1:5	60460:198|60470:217|60480:239|60490:179|60500:90|60510:40|60520:20|60530:10|60540:5|60550:2
60551	932:1:6	60561:204|60571:224|60581:247|60591:173|60601:86|60611:39|60621:16|60631:7|60641:3|60651:1
60552	932:1:6	60562:204|60572:224|60582:247|60592:173|60602:86|60612:39|60622:16|60632:7|60642:3|60652:1
