INT	INT	INT	INT	INT	STRING	INT	STRING	STRING
Level	Money	ShengYaoBi	Exp	QiQing	Attr	GongGao	EffectName	AddAttr
0	20000000	200000	0	0	-1	0	XinMo	-1
1	0	0	50000	0	1:4000|41:100|42:60	544	XinMo	1:4000|41:100|42:60
2	0	0	60000	0	1:5200|41:130|42:78	0	XinMo	1:1200|41:30|42:18
3	0	0	71000	0	1:6600|41:165|42:99	0	XinMo	1:1400|41:35|42:21
4	0	0	82000	0	1:8300|41:207|42:124	0	XinMo	1:1700|41:42|42:25
5	0	0	94000	0	1:10200|41:255|42:153	0	XinMo	1:1900|41:48|42:29
6	0	0	106000	0	1:12400|41:310|42:186	0	XinMo	1:2200|41:55|42:33
7	0	0	119000	0	1:14800|41:371|42:223	0	XinMo	1:2400|41:61|42:37
8	0	0	133000	0	1:17500|41:439|42:264	0	XinMo	1:2700|41:68|42:41
9	0	0	147000	0	1:20500|41:514|42:309	0	XinMo	1:3000|41:75|42:45
10	0	0	162000	0	1:23800|41:597|42:358	545	XinMo	1:3300|41:83|42:49
11	0	0	178000	0	1:27400|41:687|42:412	0	XinMo	1:3600|41:90|42:54
12	0	0	195000	0	1:31300|41:785|42:471	0	XinMo	1:3900|41:98|42:59
13	0	0	212000	0	1:35500|41:891|42:534	0	XinMo	1:4200|41:106|42:63
14	0	0	231000	0	1:40100|41:1005|42:603	0	XinMo	1:4600|41:114|42:69
15	0	0	250000	0	1:45000|41:1127|42:676	0	XinMo	1:4900|41:122|42:73
16	0	0	271000	0	1:50200|41:1258|42:755	0	XinMo	1:5200|41:131|42:79
17	0	0	292000	0	1:55800|41:1399|42:839	0	XinMo	1:5600|41:141|42:84
18	0	0	315000	0	1:61800|41:1548|42:929	0	XinMo	1:6000|41:149|42:90
19	0	0	339000	0	1:68200|41:1707|42:1024	0	XinMo	1:6400|41:159|42:95
20	0	0	364000	0	1:75000|41:1876|42:1125	545	XinMo	1:6800|41:169|42:101
21	0	0	390000	0	1:82200|41:2055|42:1233	0	XinMo	1:7200|41:179|42:108
22	0	0	418000	0	1:89800|41:2244|42:1346	0	XinMo	1:7600|41:189|42:113
23	0	0	447000	0	1:97800|41:2444|42:1466	0	XinMo	1:8000|41:200|42:120
24	0	0	478000	0	1:106200|41:2655|42:1593	0	XinMo	1:8400|41:211|42:127
25	0	0	511000	0	1:115100|41:2878|42:1727	0	XinMo	1:8900|41:223|42:134
26	0	0	545000	0	1:124500|41:3112|42:1867	0	XinMo	1:9400|41:234|42:140
27	0	0	581000	0	1:134400|41:3358|42:2015	0	XinMo	1:9900|41:246|42:148
28	0	0	618000	0	1:144700|41:3617|42:2170	0	XinMo	1:10300|41:259|42:155
29	0	0	658000	0	1:155600|41:3889|42:2333	0	XinMo	1:10900|41:272|42:163
30	0	0	700000	0	1:167000|41:4173|42:2504	545	XinMo	1:11400|41:284|42:171
31	0	0	744000	1	1:178900|41:4472|42:2683	0	XinMo	1:11900|41:299|42:179
32	0	0	790000	1	1:191400|41:4784|42:2870	0	XinMo	1:12500|41:312|42:187
33	0	0	839000	1	1:204500|41:5111|42:3066	0	XinMo	1:13100|41:327|42:196
34	0	0	890000	1	1:218200|41:5452|42:3271	0	XinMo	1:13700|41:341|42:205
35	0	0	944000	1	1:232500|41:5809|42:3486	0	XinMo	1:14300|41:357|42:215
