INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT
Index	Type	Slot	ItemId	Condition	Value	BuyLimit	Desc	Table	Title	YuanShiValue
1	1	1	5306:1:1:1	1	0	1	超玩VIP1-3新服豪礼	1	33	0
2	1	2	7045:1:1:1	1	0	1	超玩VIP1-3新服豪礼称号	1	0	0
3	2	1	5307:1:1:1	4	0	1	超玩VIP4-6新服豪礼	1	34	0
4	2	2	7046:1:1:1	4	0	1	超玩VIP4-6新服豪礼称号	1	0	0
5	3	1	5308:1:1:1	7	0	1	超玩VIP7-9新服豪礼	1	35	0
6	3	2	7047:1:1:1	7	0	1	超玩VIP7-9新服豪礼称号	1	0	0
7	4	1	601:1:100:1	1	1700	1	超玩VIP1-3日常折扣礼包	2	0	2000
8	4	2	601:1:100:1	4	1600	1	超玩VIP4-6日常折扣礼包	2	0	2000
9	4	3	601:1:100:1	7	1500	1	超玩VIP7-9日常折扣礼包	2	0	2000
10	5	1	16:1:20:1	1	1600	2	超玩VIP1-3周常折扣礼包	2	0	2000
11	5	2	16:1:20:1	4	1500	2	超玩VIP4-6周常折扣礼包	2	0	2000
12	5	3	16:1:20:1	7	1400	2	超玩VIP7-9周常折扣礼包	2	0	2000
