INT	INT	STRING	STRING	INT
Index	Level	Reward	YearVipReward	Pic
0	1	13:1:1:1|575:1:4:1|9:1:2:1	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	1
1	2	13:1:2:1|567:1:1:1|507:1:7:1	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	2
2	3	13:1:3:1|567:1:2:1|153:1:2:1|16:1:1:1	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	3
3	4	13:1:3:1|568:1:1:1|153:1:2:1|16:1:1:1	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	4
4	5	13:1:5:1|568:1:1:1|153:1:3:1|505:1:3:1	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	5
5	6	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	6
6	7	13:1:10:1|570:1:1:1|505:1:10:1|647:1:30:1	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	7
7	8	13:1:10:1|570:1:1:1|505:1:15:1|647:1:40:1	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	8
8	9	13:1:10:1|570:1:1:1|505:1:15:1|647:1:40:1	13:1:10:1|568:1:1:1|505:1:5:1|647:1:20:1|16:1:2:1	9
