INT	INT	INT	STRING	STRING	STRING	STRING	INT	STRING
Level	Money	Syb	Attr	Name	NamePic	JiePic	NoticeID	Res
1	50000	0	4:40|5:100|6:18|7:45	黑铁战魂	101	1	0	0
2	100000	0	4:51|5:129|6:23|7:58	黑铁战魂	101	1	0	0
3	150000	0	4:66|5:165|6:29|7:74	黑铁战魂	101	1	0	0
4	200000	0	4:82|5:206|6:37|7:92	黑铁战魂	101	1	0	0
5	250000	0	4:101|5:253|6:45|7:114	黑铁战魂	101	1	0	0
6	300000	0	4:123|5:307|6:55|7:138	黑铁战魂	101	1	0	0
7	350000	0	4:147|5:369|6:66|7:166	黑铁战魂	101	1	0	0
8	400000	0	4:175|5:438|6:78|7:197	黑铁战魂	101	1	0	0
9	450000	0	4:206|5:515|6:92|7:231|20:0	黑铁战魂	101	1	0	0
10	500000	0	4:240|5:601|6:108|7:270|20:3	战狂战魂	102	2	0	0
11	570000	0	4:278|5:695|6:125|7:313|20:4	战狂战魂	102	2	0	0
12	640000	0	4:320|5:800|6:144|7:360|20:4	战狂战魂	102	2	0	0
13	710000	0	4:365|5:914|6:164|7:411|20:5	战狂战魂	102	2	0	0
14	780000	0	4:415|5:1038|6:186|7:467|20:5	战狂战魂	102	2	0	0
15	850000	0	4:469|5:1173|6:211|7:528|20:6	战狂战魂	102	2	0	0
16	920000	0	4:528|5:1320|6:237|7:594|20:7	战狂战魂	102	2	0	0
17	990000	0	4:591|5:1478|6:266|7:665|20:7	战狂战魂	102	2	0	0
18	1060000	0	4:659|5:1649|6:296|7:742|20:8	战狂战魂	102	2	0	0
19	1130000	0	4:732|5:1832|6:329|7:824|20:8	战狂战魂	102	2	0	0
20	1200000	0	4:811|5:2028|6:365|7:912|20:9	雷霆战魂	103	3	0	0
21	1300000	0	4:895|5:2238|6:402|7:1007|20:10	雷霆战魂	103	3	0	0
22	1400000	0	4:984|5:2461|6:443|7:1107|20:10	雷霆战魂	103	3	0	0
23	1500000	0	4:1080|5:2700|6:486|7:1215|20:11	雷霆战魂	103	3	0	0
24	1600000	0	4:1181|5:2952|6:531|7:1328|20:11	雷霆战魂	103	3	0	0
25	1700000	0	4:1288|5:3221|6:579|7:1449|20:12	雷霆战魂	103	3	0	0
26	1800000	0	4:1402|5:3505|6:630|7:1577|20:13	雷霆战魂	103	3	0	0
27	1900000	0	4:1522|5:3805|6:685|7:1712|20:13	雷霆战魂	103	3	0	0
28	2000000	0	4:1649|5:4122|6:742|7:1855|20:14	雷霆战魂	103	3	0	0
29	2100000	0	4:1782|5:4456|6:802|7:2005|20:14	雷霆战魂	103	3	0	0
30	2200000	0	4:1923|5:4808|6:865|7:2163|20:15	火龙战魂	104	4	0	0
31	2340000	0	4:2071|5:5178|6:932|7:2330|20:16	火龙战魂	104	4	0	0
32	2480000	0	4:2226|5:5566|6:1001|7:2504|20:17	火龙战魂	104	4	0	0
33	2620000	0	4:2389|5:5973|6:1075|7:2688|20:19	火龙战魂	104	4	0	0
34	2760000	0	4:2560|5:6400|6:1152|7:2880|20:20	火龙战魂	104	4	0	0
35	2900000	0	4:2738|5:6846|6:1232|7:3080|20:21	火龙战魂	104	4	0	0
36	3040000	0	4:2925|5:7312|6:1316|7:3290|20:22	火龙战魂	104	4	0	0
37	3180000	0	4:3120|5:7800|6:1404|7:3510|20:23	火龙战魂	104	4	0	0
38	3320000	0	4:3323|5:8308|6:1495|7:3739|20:25	火龙战魂	104	4	0	0
39	3460000	0	4:3535|5:8839|6:1591|7:3977|20:26	火龙战魂	104	4	0	0
40	3600000	0	4:3756|5:9391|6:1690|7:4226|20:27|21:0	魔云战魂	105	5	0	0
