INT	INT	STRING	INT	STRING	INT
Level	SlotType	Item	BasicAttr	AttribDesc	GongGao
0	50	776:1:6	0	#00afec|【注能lv0】巨眼魔符属性提升0%	-1
1	50	776:1:6	20	#00afec|【注能lv1】巨眼魔符属性提升2%	-1
2	50	776:1:6	40	#00afec|【注能lv2】巨眼魔符属性提升4%	-1
3	50	776:1:7	60	#00afec|【注能lv3】巨眼魔符属性提升6%	-1
4	50	776:1:8	80	#00afec|【注能lv4】巨眼魔符属性提升8%	-1
5	50	776:1:8	100	#00afec|【注能lv5】巨眼魔符属性提升10%	532
6	50	776:1:9	120	#00afec|【注能lv6】巨眼魔符属性提升12%	-1
7	50	776:1:10	140	#00afec|【注能lv7】巨眼魔符属性提升14%	-1
8	50	776:1:11	160	#00afec|【注能lv8】巨眼魔符属性提升16%	-1
9	50	776:1:12	180	#00afec|【注能lv9】巨眼魔符属性提升18%	-1
10	50	776:1:13	200	#00afec|【注能lv10】巨眼魔符属性提升20%	532
11	50	776:1:14	230	#00afec|【注能lv11】巨眼魔符属性提升23%	-1
12	50	776:1:16	260	#00afec|【注能lv12】巨眼魔符属性提升26%	-1
13	50	776:1:17	290	#00afec|【注能lv13】巨眼魔符属性提升29%	-1
14	50	776:1:19	320	#00afec|【注能lv14】巨眼魔符属性提升32%	-1
15	50	776:1:21	350	#00afec|【注能lv15】巨眼魔符属性提升35%	532
16	50	776:1:23	380	#00afec|【注能lv16】巨眼魔符属性提升38%	-1
17	50	776:1:25	410	#00afec|【注能lv17】巨眼魔符属性提升41%	-1
18	50	776:1:27	440	#00afec|【注能lv18】巨眼魔符属性提升44%	-1
19	50	776:1:30	470	#00afec|【注能lv19】巨眼魔符属性提升47%	-1
20	50	776:1:33	500	#00afec|【注能lv20】巨眼魔符属性提升50%	532
21	50	776:1:36	540	#00afec|【注能lv21】巨眼魔符属性提升54%	-1
22	50	776:1:40	580	#00afec|【注能lv22】巨眼魔符属性提升58%	-1
23	50	776:1:44	620	#00afec|【注能lv23】巨眼魔符属性提升62%	-1
24	50	776:1:48	660	#00afec|【注能lv24】巨眼魔符属性提升66%	-1
25	50	776:1:53	700	#00afec|【注能lv25】巨眼魔符属性提升70%	532
26	50	776:1:58	740	#00afec|【注能lv26】巨眼魔符属性提升74%	-1
27	50	776:1:64	780	#00afec|【注能lv27】巨眼魔符属性提升78%	-1
28	50	776:1:70	820	#00afec|【注能lv28】巨眼魔符属性提升82%	-1
29	50	776:1:77	860	#00afec|【注能lv29】巨眼魔符属性提升86%	-1
30	50	776:1:85	900	#00afec|【注能lv30】巨眼魔符属性提升90%	532
31	50	776:1:93	950	#00afec|【注能lv31】巨眼魔符属性提升95%	-1
32	50	776:1:102	1000	#00afec|【注能lv32】巨眼魔符属性提升100%	-1
33	50	776:1:113	1050	#00afec|【注能lv33】巨眼魔符属性提升105%	-1
34	50	776:1:124	1100	#00afec|【注能lv34】巨眼魔符属性提升110%	-1
35	50	776:1:136	1150	#00afec|【注能lv35】巨眼魔符属性提升115%	532
36	50	776:1:150	1200	#00afec|【注能lv36】巨眼魔符属性提升120%	-1
37	50	776:1:165	1250	#00afec|【注能lv37】巨眼魔符属性提升125%	-1
38	50	776:1:181	1300	#00afec|【注能lv38】巨眼魔符属性提升130%	-1
39	50	776:1:199	1350	#00afec|【注能lv39】巨眼魔符属性提升135%	-1
40	50	776:1:219	1400	#00afec|【注能lv40】巨眼魔符属性提升140%	532
41	50	776:1:241	1470	#00afec|【注能lv41】巨眼魔符属性提升147%	-1
42	50	776:1:265	1540	#00afec|【注能lv42】巨眼魔符属性提升154%	-1
43	50	776:1:291	1610	#00afec|【注能lv43】巨眼魔符属性提升161%	-1
44	50	776:1:320	1680	#00afec|【注能lv44】巨眼魔符属性提升168%	-1
45	50	776:1:352	1750	#00afec|【注能lv45】巨眼魔符属性提升175%	532
46	50	776:1:387	1820	#00afec|【注能lv46】巨眼魔符属性提升182%	-1
47	50	776:1:426	1890	#00afec|【注能lv47】巨眼魔符属性提升189%	-1
48	50	776:1:468	1960	#00afec|【注能lv48】巨眼魔符属性提升196%	-1
49	50	776:1:515	2030	#00afec|【注能lv49】巨眼魔符属性提升203%	-1
50	50	776:1:567	2100	#00afec|【注能lv50】巨眼魔符属性提升210%	532
51	50	776:1:623	2190	#00afec|【注能lv51】巨眼魔符属性提升219%	-1
52	50	776:1:685	2280	#00afec|【注能lv52】巨眼魔符属性提升228%	-1
53	50	776:1:754	2370	#00afec|【注能lv53】巨眼魔符属性提升237%	-1
54	50	776:1:829	2460	#00afec|【注能lv54】巨眼魔符属性提升246%	-1
55	50	776:1:912	2550	#00afec|【注能lv55】巨眼魔符属性提升255%	532
56	50	776:1:1003	2640	#00afec|【注能lv56】巨眼魔符属性提升264%	-1
57	50	776:1:1104	2730	#00afec|【注能lv57】巨眼魔符属性提升273%	-1
58	50	776:1:1214	2820	#00afec|【注能lv58】巨眼魔符属性提升282%	-1
59	50	776:1:1335	2910	#00afec|【注能lv59】巨眼魔符属性提升291%	-1
60	50	-1	3000	#00afec|【注能lv60】巨眼魔符属性提升300%	532
0	51	776:1:6	0	#00afec|【注能lv0】猎首魔符属性提升0%	-1
1	51	776:1:6	20	#00afec|【注能lv1】猎首魔符属性提升2%	-1
2	51	776:1:6	40	#00afec|【注能lv2】猎首魔符属性提升4%	-1
3	51	776:1:7	60	#00afec|【注能lv3】猎首魔符属性提升6%	-1
4	51	776:1:8	80	#00afec|【注能lv4】猎首魔符属性提升8%	-1
5	51	776:1:8	100	#00afec|【注能lv5】猎首魔符属性提升10%	532
6	51	776:1:9	120	#00afec|【注能lv6】猎首魔符属性提升12%	-1
7	51	776:1:10	140	#00afec|【注能lv7】猎首魔符属性提升14%	-1
8	51	776:1:11	160	#00afec|【注能lv8】猎首魔符属性提升16%	-1
9	51	776:1:12	180	#00afec|【注能lv9】猎首魔符属性提升18%	-1
10	51	776:1:13	200	#00afec|【注能lv10】猎首魔符属性提升20%	532
11	51	776:1:14	230	#00afec|【注能lv11】猎首魔符属性提升23%	-1
12	51	776:1:16	260	#00afec|【注能lv12】猎首魔符属性提升26%	-1
13	51	776:1:17	290	#00afec|【注能lv13】猎首魔符属性提升29%	-1
