INT	INT	STRING	STRING	STRING	INT	STRING	STRING	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	INT	STRING	STRING
id	npc	name	sub_name	time_des	level	content_des	description	pathing	weekday	begin_date	end_date	line	maps	start_hour	duration	true_duration	position	awards	items	star	typeid	navigation	exp_add_interval	IconId	Language	DailyAwards	Dialogue	Rule	TimerRule	OpenWorldEvent	EndSccessDesc	EndFailDesc
1	-1	金猪送礼	-1	10:30-10:50	100	哥布林又来入侵了	1	1	1234567	20140101	20990731	1	50001	630	20	20	20001:20001	-1	-1	-1	4	-1	1	5	-1	-1				-1	-1	-1
4	-1	极限挑战	-1	14:30-14:40	200	哥布林又来入侵了	1	1	1234567	20140101	20990731	1	50041:50043:50044:50045:50046:50047:50048:50049:50050:50051:50135:50136:50137	870	60	60	50041:30001	-1	-1	-1	19	-1	1	18	-1	-1	    在极限挑战中，必须要有足够的勇气，才能不被怪物的魔气所污染。要有真正强大的力量才能走到最后一层，完成自身的追求。	#f5e8bf|1. 活动时间：|#00ff00|14:30-14:40/n|#f5e8bf|2. 参与等级：|#00ff00|200级/n|#f5e8bf|3. 获取足够的极限令才可以进入下一层。/n4. 每通关1层都可以获得不菲的奖励(每天1次)/n5. 极限挑战更高概率掉落武器和衣服/n|#00afec|6. 特殊：活动场景中死亡|#e60012|掉落|#00afec|自身装备/n7. 特殊：开服前3天高层必掉|#e60012|极品装备		-1	-1	-1
6	-1	天下第一	-1	15:30-16:00	200	天下第一活动开启了	1	1	1234567	20140101	20990731	1	50054	930	30	30	50054:50001|50000|49999	7021:7020:7018:7019	-1	-1	13	-1	1	36	-1	-1	    这是一个最好的世界，这是一个最坏的世界。这是一个激情澎湃的世界，这是一个阴冷灰暗的世界。只有成为最强的人，才能主导整个世界。	#f5e8bf|1. 活动时间：|#00ff00|15:30-16:00/n|#f5e8bf|2. 参与等级：|#00ff00|200级/n|#f5e8bf|3. 玩法说明：活动开始5分钟内可随意进场PK，开始5分钟后将开启|#e60012|淘汰模式|#f5e8bf|，淘汰模式开启后死亡复活将消耗|#00ff00|复活次数|#f5e8bf|，复活次数为0时再次死亡将被淘汰出局。/n4. 胜利条件：活动开始5分钟后，当地图中剩余为1人时，此人将获得胜利成为新的|#00ff00|天下第一|#f5e8bf|。/n|#00afec|5. 特殊：活动场景中死亡|#00ff00|不掉落|#00afec|自身装备	#f5e8bf|1.活动开始|#00ff00|5分钟内|#f5e8bf|可入场，且地图中可无限复活|n2.|#00ff00|5分钟后|#f5e8bf|开启|#e60012|淘汰模式|#f5e8bf|，此时复活将消耗复活次数。次数用尽后死亡将被淘汰出局。|n3.地图内只剩|#00ff00|1名玩家|#f5e8bf|时活动结束，此玩家将成为最终胜利者！|n4.活动截止时间地图内还有多名玩家，则无人获胜	-1	#f5e8bf|恭喜您在天下第一活动中获得了第一名奖励，成为了|#e60012|天下第一|#f5e8bf|。本次活动奖励如下(奖励通过邮件发放):	#f5e8bf|很遗憾，您在本次天下第一活动中被淘汰出局。本次活动奖励如下(奖励通过邮件发放):
2	-1	金猪送礼	-1	16:30-16:50	100	哥布林又来入侵了	1	1	1234567	20140101	20990731	1	50001	990	20	20	20001:20001	-1	-1	-1	4	-1	1	6	-1	-1				-1	-1	-1
5	-1	决战风云碑	-1	19:30-19:50	200	天下风云碑活动开启了	1	1	1234567	20140101	20990731	1	50053	1170	20	20	50053:40001	7013:7014:7015:7016:7017	-1	-1	12	-1	1	35	-1	-1	    在风云界中，敌我随时可能变换。保持本真，只有相信自己的力量才能真正的成为胜者。在群雄争霸中，闪耀出属于自己的光芒。	#f5e8bf|1. 活动时间：|#00ff00|19:30-19:50/n|#f5e8bf|2. 参与等级：|#00ff00|200级/n|#f5e8bf|3. 玩法说明：进入活动后，玩家|#00ff00|随机|#f5e8bf|加入两个对立阵营，每5分钟阵营重新分配。/n4. 击杀玩家、助攻都可以获得积分，个人积分越高，奖励越丰厚。/n|#00afec|5. 特殊：活动场景中死亡|#00ff00|不掉落|#00afec|自身装备	#f5e8bf|1. 玩家|#00ff00|随机|#f5e8bf|加入两个对立阵营，每5分钟阵营重新分配。|n2. 击杀玩家、怪物都可以获得积分，积分越高，奖励越丰厚。|n3. 若是有玩家积分率先达到2000，那么活动提早结束。|n|#00afec|4. 特殊：活动场景中死亡|#00ff00|不掉落|#00afec|自身装备。|n|#00afec|5. 离开活动地图，会扣除当前积分的20%。	-1	#f5e8bf|决战风云碑活动已经圆满结束，您在本次活动中获得了|#e60012|第{1}名|#f5e8bf|。本次活动奖励如下(奖励通过邮件发放):	-1
3	-1	金猪送礼	-1	23:00-23:20	100	哥布林又来入侵了	1	1	1234567	20140101	20990731	1	50001	1380	20	20	20001:20001	-1	-1	-1	4	-1	1	7	-1	-1				-1	-1	-1
7	-1	圣域争霸	-1	20:00-21:00	200	谁主沉浮	1	1	36	20140101	20990731	1	50129:50130	1200	60	60	50129:50002:50003	7013:7014:7015:7016:7017	-1	-1	18	-1	1	3	-1	-1	    这是一个最好的世界，这是一个最坏的世界。这是一个激情澎湃的世界，这是一个阴冷灰暗的世界。只有成为最强的人，才能主导整个世界。	#f5e8bf|1.只有击毁城主雕像，才能进入皇宫|n|#f5e8bf|2.联盟方胜利，积分最高的成为城主|n|#f5e8bf|3.月黑风高杀人夜，抢城夺名好时节|n|#f5e8bf|4.活动最后|#00ff00|5分钟|#f5e8bf|后不能进入皇宫|n|#00afec|5.特殊：活动场景中死亡|#e60012|掉落|#00afec|自身装备		-1	圣域争霸活动结束，您在本次活动的奖励如下：	-1
8	-1	极限挑战	-1	22:00-22:10	200	哥布林又来入侵了	1	1	1234567	20140101	20990731	1	50041:50043:50044:50045:50046:50047:50048:50049:50050:50051:50135:50136:50137	1320	60	60	50041:30001	-1	-1	-1	19	-1	1	110	-1	-1	    在极限挑战中，必须要有足够的勇气，才能不被怪物的魔气所污染。要有真正强大的力量才能走到最后一层，完成自身的追求。	#f5e8bf|1. 活动时间：|#00ff00|22:00-22:10/n|#f5e8bf|2. 参与等级：|#00ff00|200级/n|#f5e8bf|3. 获取足够的极限令才可以进入下一层。/n4. 每通关1层都可以获得不菲的奖励(每天1次)/n5. 极限挑战更高概率掉落武器和衣服/n|#00afec|6. 特殊：活动场景中死亡|#e60012|掉落|#00afec|自身装备/n7. 特殊：开服前3天高层必掉|#e60012|极品装备		-1	-1	-1
9	-1	双倍押镖	-1	11:00-11:30	130	哥布林又来入侵了	1	1	1234567	20140101	20990731	1	50001	660	30	30	20001:20001	-1	-1	-1	20	-1	1	111	-1	-1				-1	-1	-1
