INT	INT	INT	INT	INT	STRING	INT	STRING	STRING
activity_id	map_id	trigger_id	type	trigger_type	trigger_param	event_type	event_effect	dialog
29	3010	1	0	1	1	1	10001	快跑啊小朋友
30	3010	1	0	1	1	1	10002	快跑啊小朋友
31	3010	1	0	1	1	1	10003	快跑啊小朋友
32	3010	1	0	1	1	1	10004	快跑啊小朋友
33	3010	1	0	1	1	1	10005	快跑啊小朋友
34	3010	1	0	1	1	1	10006	快跑啊小朋友
35	4001	1	0	1	0	1	10007	痛苦女王亵渎者已经出现了，击败他！
35	4001	2	0	1	0	1	10018:10019:10020:10021:10022:10023:10024:10025:10026:10027:10028:10029:10030:10031:10032:10033:10034:10035:10036:10037:10038:10039:10040:10041:10042:10043:10044:10045:10046:10047:10048:10049:10050:10051:10052:10053:10054:10019:10055:10056:10057:10058:10059:10060:10061:10062:10063:10064:10065:10066:10067:10068:10069:10070:10071:10072:10073:10074:10075:10076:10077:10078:10079:10080:10081:10082:10083:10084:10085:10086:10087:10088:10089:10090:10091:10092:10093:10094:10095:10096:10097:10098:10099:10100:10101:10102:10103:10104:10105:10106:10107:10108:10109:10110:10111:10112:10113:10114:10115:10116:10117:10118:10119:10120:10121:10122:10123:10124	-1
35	4001	3	0	5	10007	1	10008	痛苦女王神选者已经出现了，击败他！
35	4001	4	0	5	10008	1	10009	你们击败了痛苦女王神选者！！痛苦女王的化身已经降临到了这个空间，让他后悔来到这个世界吧！
36	4001	1	0	1	0	1	10125	苦难之王亵渎者已经出现了，击败他！
36	4001	2	0	1	0	1	10018:10019:10020:10021:10022:10023:10024:10025:10026:10027:10028:10029:10030:10031:10032:10033:10034:10035:10036:10037:10038:10039:10040:10041:10042:10043:10044:10045:10046:10047:10048:10049:10050:10051:10052:10053:10054:10019:10055:10056:10057:10058:10059:10060:10061:10062:10063:10064:10065:10066:10067:10068:10069:10070:10071:10072:10073:10074:10075:10076:10077:10078:10079:10080:10081:10082:10083:10084:10085:10086:10087:10088:10089:10090:10091:10092:10093:10094:10095:10096:10097:10098:10099:10100:10101:10102:10103:10104:10105:10106:10107:10108:10109:10110:10111:10112:10113:10114:10115:10116:10117:10118:10119:10120:10121:10122:10123:10124	-1
36	4001	3	0	5	10125	1	10126	苦难之王神选者已经出现了，击败他！
36	4001	4	0	5	10126	1	10127	你们击败了苦难之王神选者！！苦难之王化身已经降临到了这个空间，让他后悔来到这个世界吧！
37	4001	1	0	1	0	1	10128	谎言之王亵渎者已经出现了，击败他！
37	4001	2	0	1	0	1	10018:10019:10020:10021:10022:10023:10024:10025:10026:10027:10028:10029:10030:10031:10032:10033:10034:10035:10036:10037:10038:10039:10040:10041:10042:10043:10044:10045:10046:10047:10048:10049:10050:10051:10052:10053:10054:10019:10055:10056:10057:10058:10059:10060:10061:10062:10063:10064:10065:10066:10067:10068:10069:10070:10071:10072:10073:10074:10075:10076:10077:10078:10079:10080:10081:10082:10083:10084:10085:10086:10087:10088:10089:10090:10091:10092:10093:10094:10095:10096:10097:10098:10099:10100:10101:10102:10103:10104:10105:10106:10107:10108:10109:10110:10111:10112:10113:10114:10115:10116:10117:10118:10119:10120:10121:10122:10123:10124	-1
37	4001	3	0	5	10128	1	10129	谎言之王神选者已经出现了，击败他！
37	4001	4	0	5	10129	1	10130	你们击败了谎言之王神选者！！谎言之王化身已经降临到了这个空间，让他后悔来到这个世界吧！
38	4001	1	0	1	0	1	10131	罪恶之王亵渎者已经出现了，击败他！
38	4001	2	0	1	0	1	10018:10019:10020:10021:10022:10023:10024:10025:10026:10027:10028:10029:10030:10031:10032:10033:10034:10035:10036:10037:10038:10039:10040:10041:10042:10043:10044:10045:10046:10047:10048:10049:10050:10051:10052:10053:10054:10019:10055:10056:10057:10058:10059:10060:10061:10062:10063:10064:10065:10066:10067:10068:10069:10070:10071:10072:10073:10074:10075:10076:10077:10078:10079:10080:10081:10082:10083:10084:10085:10086:10087:10088:10089:10090:10091:10092:10093:10094:10095:10096:10097:10098:10099:10100:10101:10102:10103:10104:10105:10106:10107:10108:10109:10110:10111:10112:10113:10114:10115:10116:10117:10118:10119:10120:10121:10122:10123:10124	-1
