INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT
id	wave	mid	x	y	count	side	road	delay	times	Buff	Coordinate	DieTime
10001	1	2114	88	51	1	0	-1	0	1	-1	-1	0
10002	1	2114	110	64	1	0	-1	0	1	-1	-1	0
10003	1	2114	91	76	1	0	-1	0	1	-1	-1	0
10004	1	2114	65	64	1	0	-1	0	1	-1	-1	0
10005	1	2114	66	48	1	0	-1	0	1	-1	-1	0
10006	1	2114	110	33	1	0	-1	0	1	-1	-1	0
10007	1	2114	138	54	1	0	-1	0	1	-1	-1	0
10008	1	2114	111	49	1	0	-1	0	1	-1	-1	0
10009	1	2114	137	78	1	0	-1	0	1	-1	-1	0
10010	1	2114	112	98	1	0	-1	0	1	-1	-1	0
10011	1	2114	112	81	1	0	-1	0	1	-1	-1	0
10012	1	2114	72	99	1	0	-1	0	1	-1	-1	0
10013	1	2114	42	80	1	0	-1	0	1	-1	-1	0
10014	1	2114	66	80	1	0	-1	0	1	-1	-1	0
10015	1	2114	41	53	1	0	-1	0	1	-1	-1	0
10016	1	2114	72	27	1	0	-1	0	1	-1	-1	0
10017	1	2114	61	39	1	0	-1	0	1	-1	-1	0
10018	1	2114	56	89	1	0	-1	0	1	-1	-1	0
10019	1	2114	123	87	1	0	-1	0	1	-1	-1	0
10020	1	2114	118	39	1	0	-1	0	1	-1	-1	0
10021	1	2115	88	51	1	0	-1	0	1	-1	-1	0
10022	1	2115	110	64	1	0	-1	0	1	-1	-1	0
10023	1	2115	91	76	1	0	-1	0	1	-1	-1	0
10024	1	2115	65	64	1	0	-1	0	1	-1	-1	0
10025	1	2115	66	48	1	0	-1	0	1	-1	-1	0
10026	1	2115	110	33	1	0	-1	0	1	-1	-1	0
10027	1	2115	138	54	1	0	-1	0	1	-1	-1	0
10028	1	2115	111	49	1	0	-1	0	1	-1	-1	0
10029	1	2115	137	78	1	0	-1	0	1	-1	-1	0
10030	1	2115	112	98	1	0	-1	0	1	-1	-1	0
10031	1	2115	112	81	1	0	-1	0	1	-1	-1	0
10032	1	2115	72	99	1	0	-1	0	1	-1	-1	0
10033	1	2115	42	80	1	0	-1	0	1	-1	-1	0
10034	1	2115	66	80	1	0	-1	0	1	-1	-1	0
10035	1	2115	41	53	1	0	-1	0	1	-1	-1	0
10036	1	2115	72	27	1	0	-1	0	1	-1	-1	0
10037	1	2115	61	39	1	0	-1	0	1	-1	-1	0
10038	1	2115	56	89	1	0	-1	0	1	-1	-1	0
10039	1	2115	123	87	1	0	-1	0	1	-1	-1	0
10040	1	2115	118	39	1	0	-1	0	1	-1	-1	0
10041	1	2116	88	51	1	0	-1	0	1	-1	-1	0
10042	1	2116	110	64	1	0	-1	0	1	-1	-1	0
10043	1	2116	91	76	1	0	-1	0	1	-1	-1	0
10044	1	2116	65	64	1	0	-1	0	1	-1	-1	0
10045	1	2116	66	48	1	0	-1	0	1	-1	-1	0
10046	1	2116	110	33	1	0	-1	0	1	-1	-1	0
10047	1	2116	138	54	1	0	-1	0	1	-1	-1	0
10048	1	2116	111	49	1	0	-1	0	1	-1	-1	0
10049	1	2116	137	78	1	0	-1	0	1	-1	-1	0
10050	1	2116	112	98	1	0	-1	0	1	-1	-1	0
10051	1	2116	112	81	1	0	-1	0	1	-1	-1	0
10052	1	2116	72	99	1	0	-1	0	1	-1	-1	0
10053	1	2116	42	80	1	0	-1	0	1	-1	-1	0
10054	1	2116	66	80	1	0	-1	0	1	-1	-1	0
10055	1	2116	41	53	1	0	-1	0	1	-1	-1	0
10056	1	2116	72	27	1	0	-1	0	1	-1	-1	0
10057	1	2116	61	39	1	0	-1	0	1	-1	-1	0
10058	1	2116	56	89	1	0	-1	0	1	-1	-1	0
10059	1	2116	123	87	1	0	-1	0	1	-1	-1	0
10060	1	2116	118	39	1	0	-1	0	1	-1	-1	0
10061	1	2117	88	51	1	0	-1	0	1	-1	-1	0
10062	1	2117	110	64	1	0	-1	0	1	-1	-1	0
10063	1	2117	91	76	1	0	-1	0	1	-1	-1	0
10064	1	2117	65	64	1	0	-1	0	1	-1	-1	0
10065	1	2117	66	48	1	0	-1	0	1	-1	-1	0
10066	1	2117	110	33	1	0	-1	0	1	-1	-1	0
10067	1	2117	138	54	1	0	-1	0	1	-1	-1	0
10068	1	2117	111	49	1	0	-1	0	1	-1	-1	0
10069	1	2117	137	78	1	0	-1	0	1	-1	-1	0
10070	1	2117	112	98	1	0	-1	0	1	-1	-1	0
10071	1	2117	112	81	1	0	-1	0	1	-1	-1	0
10072	1	2117	72	99	1	0	-1	0	1	-1	-1	0
10073	1	2117	42	80	1	0	-1	0	1	-1	-1	0
10074	1	2117	66	80	1	0	-1	0	1	-1	-1	0
10075	1	2117	41	53	1	0	-1	0	1	-1	-1	0
10076	1	2117	72	27	1	0	-1	0	1	-1	-1	0
10077	1	2117	61	39	1	0	-1	0	1	-1	-1	0
10078	1	2117	56	89	1	0	-1	0	1	-1	-1	0
10079	1	2117	123	87	1	0	-1	0	1	-1	-1	0
10080	1	2117	118	39	1	0	-1	0	1	-1	-1	0
10081	1	2118	88	51	1	0	-1	0	1	-1	-1	0
10082	1	2118	110	64	1	0	-1	0	1	-1	-1	0
10083	1	2118	91	76	1	0	-1	0	1	-1	-1	0
10084	1	2118	65	64	1	0	-1	0	1	-1	-1	0
10085	1	2118	66	48	1	0	-1	0	1	-1	-1	0
10086	1	2118	110	33	1	0	-1	0	1	-1	-1	0
10087	1	2118	138	54	1	0	-1	0	1	-1	-1	0
10088	1	2118	111	49	1	0	-1	0	1	-1	-1	0
10089	1	2118	137	78	1	0	-1	0	1	-1	-1	0
10090	1	2118	112	98	1	0	-1	0	1	-1	-1	0
10091	1	2118	112	81	1	0	-1	0	1	-1	-1	0
10092	1	2118	72	99	1	0	-1	0	1	-1	-1	0
10093	1	2118	42	80	1	0	-1	0	1	-1	-1	0
10094	1	2118	66	80	1	0	-1	0	1	-1	-1	0
10095	1	2118	41	53	1	0	-1	0	1	-1	-1	0
10096	1	2118	72	27	1	0	-1	0	1	-1	-1	0
10097	1	2118	61	39	1	0	-1	0	1	-1	-1	0
10098	1	2118	56	89	1	0	-1	0	1	-1	-1	0
10099	1	2118	123	87	1	0	-1	0	1	-1	-1	0
