INT	INT	INT	INT	INT	INT	INT	STRING	INT
id	activity_id	plant_id	count	wave	region_id	whoplant	coordinate	Time
1	5	17	1	1	-1	-1	51:82	-1
2	5	18	1	1	-1	-1	15:45	-1
3	5	19	1	1	-1	-1	88:45	-1
4	5	20	1	1	-1	-1	51:8	-1
5	6	21	10	1	-1	-1	25:11|37:18|26:20|14:25|22:35|29:45|28:55|39:55|53:60|49:45|60:46|57:35|68:38|62:68|76:69|84:62|97:63|86:52	-1
6	6	21	10	1	-1	-1	25:11|37:18|26:20|14:25|22:35|29:45|28:55|39:55|53:60|49:45|60:46|57:35|68:38|62:68|76:69|84:62|97:63|86:52	-1
7	14	40	15	1	-1	-1	186:232|147:231|175:223|183:264|179:289|139:229|74:284|34:232|53:221|44:264|24:283|80:230|107:225|68:216|124:183|142:150|74:152|124:104|145:99|187:147|192:125|184:93|222:65|113:103|129:83|155:71|141:52|123:60|108:83|87:91|82:86|57:85|66:132|64:141|40:141	-1
8	15	45	1	1	-1	-1	71:31	-1
9	15	46	1	1	-1	-1	33:32	-1
