INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT
id	groupid	attack_type	Level	name	desc	beneficial	special	duration	interval	attr	icon	display	Color	ShowTime	attack_modify_base	IsControl	Hp	HpPercentage	shieldValue	shieldRatio	trigType	trigTimes	Disperse	Source	Body	AddBuffEffect	RemoveBuffEffect	specialEffect	Fighting
4	1	0	1	眩晕	|进入|#00FF00|2||秒眩晕状态，不可使用任何技能。	0	2	1500	0	0	17	1	0	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
11	999	0	1	冰冻	|进入|#00FF00|1.5||秒冰冻状态，不可做任何操作。	0	9	1500	0	0	16	1	2	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
12	998	0	1	冰冻	|进入|#00FF00|3||秒冰冻状态，冰冻期间不能移动和攻击。	0	9	10000	0	0	17	1	2	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
89	2	0	1	黄金至尊披萨	打怪经验提高200%，可以其他多倍经验药水效果叠加。	1	0	3600000	3600000	102:0:200	6	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
90	3	0	1	至尊披萨	打怪经验提高100%，可以其他多倍经验药水效果叠加。	1	0	3600000	3600000	102:0:100	7	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
91	4	0	1	1.5经验药水	|打怪经验提高50%	1	0	3600000	3600000	102:0:50	8	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
92	5	0	1	2倍经验药水	|打怪经验提高100%	1	0	3600000	3600000	102:0:100	9	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
93	6	0	1	3倍经验药水	|打怪经验提高200%	1	0	3600000	3600000	102:0:200	10	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
94	7	0	1	5倍经验药水	|打怪经验提高400%	1	0	3600000	3600000	102:0:400	11	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
95	8	0	1	10倍经验药水	|打怪经验提高900%	1	0	3600000	3600000	102:0:900	12	1	0	1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
601	9	0	1	冰冻	|冰封|#00FF00|3||秒，冰封期间不能移动。	0	5	3000	0	0	16	1	0	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0
