INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
Index	ItemId	ItemClass	IsBind	LimitCount	Price	MinLevel	MaxLevel	Sort	CostType	QiQingLv
1	932	1	1	-1	200000	1	999	1	0	0
2	933	1	1	-1	300	1	999	2	1	0
3	937	1	1	-1	100	1	999	3	1	0
4	947	1	1	-1	10	1	999	4	1	0
5	7134	1	1	30	500	1	999	5	1	0
6	7135	1	1	30	1000	1	999	6	1	1
7	7136	1	1	30	1500	1	999	7	1	2
8	7137	1	1	30	2000	1	999	8	1	3
9	7138	1	1	30	3000	1	999	9	1	4
10	7139	1	1	30	4000	1	999	10	1	5
11	7140	1	1	30	5000	1	999	11	1	6
12	51	1	1	-1	10	999	999	12	0	0
