INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	STRING	INT	INT	STRING	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT
id	name	desc	count_des	mapid	x	y	type	sequence	group_id	duration	Job	level	max_level	Vip	player_num	advice_player_num	weekday	start_hour	end_hour	daily_count	hint	last_id	next_Id	player_buff	samll_count	big_count	star	double	fb_time	images_id	consumption	lifetime	first	monster_id	ZhanDouLi	CostMoney	CostMoShi	ShowLevel	ShowType	BuyTimes	BuyCost	Money	MonsterReward	SpecialCondition	CallMoShi	CallBOSS	CallShow	GuaJi	RandomTime	Enter	DropItems	Tips	FbTask	FbJinDu	BossXunLu	NoMove	Grade	FullStar	PingFenReward	Cut	PrivilegeID	mapid1	x	y	GodEnter	TrapId	AddBuff
2001	魅影之战	真正经历过绝望的人，生已是一种施舍，死令他无所畏惧。只有真正经历过绝望，才知道生活的艰辛，才知道怎样走出绝境。	1	60001	28	23	1	-1	3001	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	60	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【剧情】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	0	0	13021
2002	九幽野望	灰暗的地底世界让人迷失了自己，一无所有的自己找不到前进的方向，孤身一人，每一个选择都有可能改变你的一生，所以我恐惧选择。	1	60002	99	37	1	-1	3002	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	60	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【剧情】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	0	0	13021
2003	深藏地底的秘密	黑白颠倒的日子，让我分不清的时间，那混乱的自己，早已熟悉生活的颜色，明天的日子让人无奈，现在的夜晚无比黑暗。	1	60003	97	93	1	-1	3003	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	60	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【剧情】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	0	0	13021
2004	初级强盗之家	繁华事散逐香尘，流水无情草自春。日暮东风怨啼鸟，落花犹似坠楼人。纵有满山宝藏又如何，烟花易冷！	1	60008	77	34	31	-1	3005	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	300	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【藏宝图】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	1	-1	0	0	0	1	0	-1
2005	藏书馆1层	帝国藏书馆	1	60007	27	36	32	-1	3005	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	300	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【藏宝图】</font>	0	0	-1	-1	-1	0	0	-1	0	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	1	-1	0	0	0	1	0	-1
2006	圣域争霸	曾经的强者们，守护着他们的城池和荣耀。毕生的努力到底是守护家园的奢望还是对自己的救赎？	1	60006	62	45	1	-1	3004	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	8	-1	0	60	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【剧情】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	0	0	-1
2007	铂金特权副本	上穷碧落下黄泉，两处茫茫皆不见。忽闻海上有仙山，山在虚无缥渺间。	1	60006	93	100	1	-1	3006	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	3	-1	0	60	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【剧情】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	1	-1	-1	-1	1	1	0	0	0	1	0	-1
2008	钻石特权副本	上穷碧落下黄泉，两处茫茫皆不见。忽闻海上有仙山，山在虚无缥渺间。	1	60006	93	100	1	-1	3006	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	3	-1	0	60	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【剧情】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	1	-1	-1	-1	1	2	0	0	0	1	0	-1
2009	星耀特权副本	上穷碧落下黄泉，两处茫茫皆不见。忽闻海上有仙山，山在虚无缥渺间。	1	60006	93	100	1	-1	3006	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	3	-1	0	60	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【剧情】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	1	-1	-1	-1	1	3	0	0	0	1	0	-1
2010	高级强盗之家	繁华事散逐香尘，流水无情草自春。日暮东风怨啼鸟，落花犹似坠楼人。纵有满山宝藏又如何，烟花易冷！	1	60009	77	34	31	-1	3005	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	300	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【藏宝图】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	1	-1	0	0	0	1	0	-1
2011	江山如画强盗之家	繁华事散逐香尘，流水无情草自春。日暮东风怨啼鸟，落花犹似坠楼人。纵有满山宝藏又如何，烟花易冷！	1	60010	77	34	31	-1	3005	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	300	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【藏宝图】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	1	-1	0	0	0	1	0	-1
2012	藏书馆2层	帝国藏书馆	1	60014	27	36	32	-1	3005	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	300	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【藏宝图】</font>	0	0	-1	-1	-1	0	0	-1	0	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	1	-1	0	0	0	1	0	-1
2013	藏书馆3层	帝国藏书馆	1	60015	27	36	32	-1	3005	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	300	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【藏宝图】</font>	0	0	-1	-1	-1	0	0	-1	0	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	1	-1	0	0	0	1	0	-1
2014	异界时空	上穷碧落下黄泉，两处茫茫皆不见。忽闻海上有仙山，山在虚无缥渺间。	1	60016	16	45	34	-1	3007	300	0	300	9999	0	1	1	1234567	0	23	5	-1	0	0	0	0	1	-1	0	300	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【异界时空】</font>	10	100	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	1	-1	0	0	0	0	0	-1
2015	魔宫试炼	#f7ab00| 1.完成副本可获得大量|#e60012|等级碎片|n|#f7ab00| 2.玩家可以召唤|#e60012|战神守卫|#f7ab00|一起击杀不断出现的魔化怪物|n 3.击杀怪物越多，副本结算时获得的等级碎片越多|n 4.副本有时间限制，时间到后自动结算副本	1	60017	31	27	23	-1	3046	600	0	210	9999	0	1	1	1234567	0	23	3	-1	0	0	0	20	0	-1	500	300	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【魔宫试炼】</font>	0	0	-1	-1	0	0	0	-1	2	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	0	0	-1
2016	藏书馆·灵羽	帝国藏书馆	1	60019	27	36	32	-1	3005	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	300	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【藏宝图】</font>	0	0	-1	-1	-1	0	0	-1	0	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	1	-1	0	0	0	1	0	-1
2017	强盗之家·灵羽	繁华事散逐香尘，流水无情草自春。日暮东风怨啼鸟，落花犹似坠楼人。纵有满山宝藏又如何，烟花易冷！	1	60020	77	34	31	-1	3005	1800	0	1	9999	0	1	1	1234567	0	23	99	-1	0	0	0	0	1	-1	0	300	12	-1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【藏宝图】</font>	0	0	-1	-1	-1	0	0	-1	2	-1	0	-1	-1	0	0	-1	0	-1	-1	-1	1	-1	0	0	0	1	0	-1
2018	深渊魔窟（普通）	#f7ab00|1.公会|#00ff00|3级|#f7ab00|后，每天|#00ff00|00:00至22:00|#f7ab00|可开启该副本|n2.|#00ff00|会长、副会长|#f7ab00|每周可开启|#00ff00|两次|#f7ab00|，每天最多|#00ff00|一次|#f7ab00||n3.副本难度可选择，不同难度进入|#00ff00|战力要求|#f7ab00|不同|n4.副本开启后持续半小时，公会成员可随意进出|n5.副本内击杀怪物，|#00ff00|怪物附近|#f7ab00|的成员均会获得|#00ff00|贡献|#f7ab00|奖励|n6.击败最终Boss后开启传说中的|#00ff00|深渊宝库|n|#f7ab00|7.难度越高，|#00ff00|击杀怪物获得的贡献越多|n|#f7ab00|8.难度越高，宝库内|#00ff00|免费随机次数越多	10	50175	6	110	25	-1	3047	1800	0	300	9999	0	1	10	1234567	0	22	1	-1	0	0	0	0	1	-1	0	1800	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【深渊魔窟】</font>	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	#f7ab00|n|◆怪物被击杀后，怪物视野内的玩家均可获得|#00ff00|公会贡献|n|#f7ab00|◆精英小怪和巡逻巨士击杀后只会获得贡献|n◆越强大的怪物给与的公会贡献值越高|n◆当地图内所有怪物被击杀后，开启进入|#00ff00|深渊宝库|#f7ab00|入口	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	1	0	-1
2019	深渊魔窟（一般）	#f7ab00|1.公会|#00ff00|3级|#f7ab00|后，每天|#00ff00|00:00至22:00|#f7ab00|可开启该副本|n2.|#00ff00|会长、副会长|#f7ab00|每周可开启|#00ff00|两次|#f7ab00|，每天最多|#00ff00|一次|#f7ab00||n3.副本难度可选择，不同难度进入|#00ff00|战力要求|#f7ab00|不同|n4.副本开启后持续半小时，公会成员可随意进出|n5.副本内击杀怪物，|#00ff00|怪物附近|#f7ab00|的成员均会获得|#00ff00|贡献|#f7ab00|奖励|n6.击败最终Boss后开启传说中的|#00ff00|深渊宝库|n|#f7ab00|7.难度越高，|#00ff00|击杀怪物获得的贡献越多|n|#f7ab00|8.难度越高，宝库内|#00ff00|免费随机次数越多	10	50175	6	110	25	-1	3047	1800	0	300	9999	0	1	10	1234567	0	22	1	-1	0	0	0	0	1	-1	0	1800	12	1	-1	-1	-1	-1	0	0	1	<font color="#a54bfa">【深渊魔窟】</font>	0	0	-1	-1	0	0	0	-1	0	-1	0	-1	#f7ab00|n|◆怪物被击杀后，怪物视野内的玩家均可获得|#00ff00|公会贡献|n|#f7ab00|◆精英小怪和巡逻巨士击杀后只会获得贡献|n◆越强大的怪物给与的公会贡献值越高|n◆当地图内所有怪物被击杀后，开启进入|#00ff00|深渊宝库|#f7ab00|入口	0	0	-1	0	-1	-1	-1	0	-1	50001	91	118	1	0	-1
