INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING
dungeon_id	trigger_id	type	trigger_type	trigger_param	event_type	effect	repeat	dialog	dialogType	EventDesc
2001	1	0	1	1	3	1	1		1	-1
2001	2	0	2	1	1	60	1		1	-1
2001	3	0	1	1800	2	0	1		1	-1
2001	4	0	3	1	4	10001	1		1	-1
2002	1	0	1	1	3	2	1		1	-1
2002	2	0	2	1	1	60	1		1	-1
2002	3	0	1	1800	2	0	1		1	-1
2002	4	0	3	2	4	10002	1		1	-1
2003	1	0	1	1	3	3	1		1	-1
2003	2	0	2	1	1	60	1		1	-1
2003	3	0	1	1800	2	0	1		1	-1
2003	4	0	3	3	4	10003	1		1	-1
2004	1	0	1	1	3	7:8	1	误入了强盗老家，小心应对！！！	1	-1
2004	2	0	2	1	1	30	1	战斗胜利！	1	-1
2004	3	0	1	1800	2	0	1	时间到达，副本失败	1	-1
2005	1	0	1	1	5	12:13:14:15:16:17:18:19:20:21:22:23	1	传说中的帝国藏书馆	1	-1
2005	2	0	1	1	4	10005	1		1	-1
2005	3	0	2	1	1	30	1	战斗胜利！	1	-1
2006	1	0	1	1	3	13:14:15:16:17:18:19:20	1		1	-1
2006	2	0	2	1	1	60	1		1	-1
2006	3	0	1	1800	2	0	1		1	-1
2006	4	0	2	1	4	10004	1		1	-1
2010	1	0	1	1	3	9:10	1	误入了强盗老家，小心应对！！！	1	-1
2010	2	0	2	1	1	30	1	战斗胜利！	1	-1
2010	3	0	1	1800	2	0	1	时间到达，副本失败	1	-1
2011	1	0	1	1	3	11:12	1	误入了强盗老家，小心应对！！！	1	-1
2011	2	0	2	1	1	30	1	战斗胜利！	1	-1
2011	3	0	1	1800	2	0	1	时间到达，副本失败	1	-1
2012	1	0	1	1	5	12:13:14:15:16:17:18:19:20:21:22:23	1	传说中的帝国藏书馆	1	-1
2012	2	0	1	1	4	10006	1		1	-1
2012	3	0	2	1	1	30	1	战斗胜利！	1	-1
2013	1	0	1	1	5	12:13:14:15:16:17:18:19:20:21:22:23	1	传说中的帝国藏书馆	1	-1
2013	2	0	1	1	4	10007	1		1	-1
2013	3	0	2	1	1	30	1	战斗胜利！	1	-1
2014	1	0	1	1	23	1:101|399:102|499:103|599:104|699:105|999:106	1		1	-1
2014	2	0	2	1	21	101:2500	1		1	-1
2014	3	0	2	1	1	30	1	挑战成功	1	-1
2014	4	0	9	1	2	0	1	副本失败	1	-1
2014	5	0	1	300	2	0	1	时间到达，副本失败	1	-1
2015	1	0	1	1	6	0	1		3	-1
2015	2	0	1	5	3	124	1	试炼开始！怪物即将出现！	1	-1
2015	3	0	2	1	3	125	1	Boss出现了！击杀他获得大量碎片！	1	-1
2015	4	0	2	2	3	126	1	怪物出现了！	1	-1
2015	5	0	2	3	3	127	1	Boss出现了！击杀他获得大量碎片！	1	-1
2015	6	0	2	4	3	128	1	怪物出现了！	1	-1
2015	7	0	2	5	3	129	1	Boss出现了！击杀他获得大量碎片！	1	-1
2015	8	0	2	6	3	130	1	怪物出现了！	1	-1
2015	9	0	2	7	3	131	1	Boss出现了！击杀他获得大量碎片！	1	-1
2015	10	0	2	8	3	132	1	怪物出现了！	1	-1
2015	11	0	2	9	3	133	1	Boss出现了！击杀他获得大量碎片！	1	-1
2015	12	0	2	10	3	134	1	怪物出现了！	1	-1
2015	13	0	2	11	3	135	1	Boss出现了！击杀他获得大量碎片！	1	-1
2015	14	0	2	12	3	136	1	怪物出现了！	1	-1
2015	15	0	2	13	3	137	1	Boss出现了！击杀他获得大量碎片！	1	-1
2015	16	0	2	14	3	138	1	怪物出现了！	1	-1
2015	17	0	2	15	3	139	1	Boss出现了！击杀他获得大量碎片！	1	-1
2015	18	0	2	16	3	140	1	怪物出现了！	1	-1
2015	19	0	2	17	3	141	1	Boss出现了！击杀他获得大量碎片！	1	-1
2015	20	0	2	18	3	142	1	最后一波怪物出现了！	1	-1
2015	21	0	2	19	3	143	1	最后一只Boss出现了！击杀他获得大量碎片！	1	-1
2015	22	0	2	20	1	30	1	挑战成功！	1	-1
2015	23	0	1	600	1	0	1	副本时间结束！	1	-1
2016	1	0	1	1	5	12:13:14:15:16:17:18:19:20:21:22:23	1	传说中的帝国藏书馆	1	-1
2016	2	0	1	1	4	10008	1		1	-1
2016	3	0	2	1	1	30	1	战斗胜利！	1	-1
2017	1	0	1	1	3	21:22	1	误入了虚无之地洞府，小心应对！！！	1	-1
2017	2	0	2	1	1	30	1	战斗胜利！	1	-1
2017	3	0	1	1800	2	0	1	时间到达，副本失败	1	-1
2018	1	0	1	1	3	1001:1002:1003:1004:1005:1006:1007:1008:1009	1	-1	1	-1
2018	2	0	2	1	3	1010:1011	1	宝库守护者出现了！	1	-1
2018	3	0	2	2	21	102:10000	1	挑战成功，宝库传送门开启！	1	-1
2018	4	0	2	2	24	0	1		1	-1
2018	5	0	1	1800	2		1		1	-1
2019	1	0	1	1	3	2001:2002:2003:2004:2005:2006:2007:2008:2009	1	-1	1	-1
