INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT
id	wave	mid	x	y	count	side	road	delay	times	money	DieTime	coordinate	RefreshTime
1	1	13:10000	23	22	1	0	-1	-1	-1	0	-1	-1	-1
2	1	20:10000	103	26	1	0	-1	-1	-1	0	-1	-1	-1
3	1	21:10000	105	101	1	0	-1	-1	-1	0	-1	-1	-1
4	1	9005:10000	87	86	1	0	-1	-1	-1	0	-1	-1	-1
5	1	9006:10000	74	79	1	0	-1	-1	-1	0	-1	-1	-1
6	1	9007:10000	64	72	1	0	-1	-1	-1	0	-1	-1	-1
7	1	2021:10000	83	30	1	0	-1	-1	-1	0	-1	-1	-1
8	1	2022:10000	92	22	1	0	-1	-1	-1	0	-1	-1	-1
9	1	2023:10000	83	30	1	0	-1	-1	-1	0	-1	-1	-1
10	1	2024:10000	92	22	1	0	-1	-1	-1	0	-1	-1	-1
11	1	2025:10000	83	30	1	0	-1	-1	-1	0	-1	-1	-1
12	1	2026:10000	92	22	1	0	-1	-1	-1	0	-1	-1	-1
13	1	9020:10000	32	10	1	0	-1	-1	-1	0	-1	-1	-1
14	1	9021:10000	40	14	1	0	-1	-1	-1	0	-1	-1	-1
15	1	9022:10000	35	19	1	0	-1	-1	-1	0	-1	-1	-1
16	1	9023:10000	44	27	1	0	-1	-1	-1	0	-1	-1	-1
17	1	9024:10000	41	23	1	0	-1	-1	-1	0	-1	-1	-1
18	1	9025:10000	51	30	1	0	-1	-1	-1	0	-1	-1	-1
19	1	9026:10000	49	37	1	0	-1	-1	-1	0	-1	-1	-1
20	1	9027:10000	56	38	1	0	-1	-1	-1	0	-1	-1	-1
21	1	2031:10000	83	30	1	0	-1	-1	-1	0	-1	-1	-1
22	1	2032:10000	92	22	1	0	-1	-1	-1	0	-1	-1	-1
101	1	20001:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
102	1	20001:804|20002:841|20003:969|20004:951|20005:914|20006:877|20007:841|20008:804|20009:768|20010:731|20011:658|20012:622|20022:110|20023:110	27	35	1	0	-1	-1	-1	0	-1	-1	-1
103	1	20006:1136|20007:1193|20008:1250|20009:1193|20010:1136|20011:1023|20012:966|20013:909|20014:852|20022:171|20023:171	27	35	1	0	-1	-1	-1	0	-1	-1	-1
104	1	20008:979|20009:1046|20010:1111|20011:1176|20012:1111|20013:1046|20014:980|20015:850|20016:719|20017:588|20022:197|20023:197	27	35	1	0	-1	-1	-1	0	-1	-1	-1
105	1	20009:592|20010:724|20011:855|20012:1118|20013:1052|20014:987|20015:855|20016:724|20017:592|20018:526|20019:526|20020:526|20021:527|20022:198|20023:198	27	35	1	0	-1	-1	-1	0	-1	-1	-1
106	1	20015:1414|20016:1362|20017:1311|20018:1285|20019:1285|20020:1285|20021:1286|20022:386|20023:386	27	35	1	0	-1	-1	-1	0	-1	-1	-1
107	1	20007:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
108	1	20008:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
109	1	20009:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
110	1	20010:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
111	1	20011:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
112	1	20012:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
113	1	20013:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
114	1	20014:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
115	1	20015:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
116	1	20016:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
117	1	20017:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
118	1	20018:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
119	1	20019:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
120	1	20020:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
121	1	20021:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
122	1	20022:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
123	1	20023:10000	27	35	1	0	-1	-1	-1	0	-1	-1	-1
124	1	40001:10000	31	19	10	0	-1	-1	-1	0	-1	31:19|38:21|42:25|42:30|39:35|31:37|26:35|19:30|19:25|22:21	-1
125	2	40002:10000	31	23	1	0	-1	-1	-1	0	-1	-1	3
126	3	40003:10000	31	19	10	0	-1	-1	-1	0	-1	31:19|38:21|42:25|42:30|39:35|31:37|26:35|19:30|19:25|22:21	3
127	4	40004:10000	31	23	1	0	-1	-1	-1	0	-1	-1	3
128	5	40005:10000	31	19	10	0	-1	-1	-1	0	-1	31:19|38:21|42:25|42:30|39:35|31:37|26:35|19:30|19:25|22:21	3
129	6	40006:10000	31	23	1	0	-1	-1	-1	0	-1	-1	3
130	7	40007:10000	31	19	10	0	-1	-1	-1	0	-1	31:19|38:21|42:25|42:30|39:35|31:37|26:35|19:30|19:25|22:21	3
131	8	40008:10000	31	23	1	0	-1	-1	-1	0	-1	-1	3
132	9	40009:10000	31	19	10	0	-1	-1	-1	0	-1	31:19|38:21|42:25|42:30|39:35|31:37|26:35|19:30|19:25|22:21	3
133	10	40010:10000	31	23	1	0	-1	-1	-1	0	-1	-1	3
134	11	40011:10000	31	19	10	0	-1	-1	-1	0	-1	31:19|38:21|42:25|42:30|39:35|31:37|26:35|19:30|19:25|22:21	3
135	12	40012:10000	31	23	1	0	-1	-1	-1	0	-1	-1	3
136	13	40013:10000	31	19	10	0	-1	-1	-1	0	-1	31:19|38:21|42:25|42:30|39:35|31:37|26:35|19:30|19:25|22:21	3
137	14	40014:10000	31	23	1	0	-1	-1	-1	0	-1	-1	3
