INT	INT	INT	INT	STRING	STRING	INT
id	exp	money	gold	Icon	Icon1	ZhanDouLi
1200	0	0	0	1:7493:1|1:232:1|1:233:1|1:234:1	-1	-1
1201	0	0	0	1:7494:1|1:233:1|1:234:1|1:235:1	-1	-1
1202	0	0	0	1:7495:1|1:234:1|1:235:1|1:236:1	-1	-1
1203	0	0	0	1:7496:1|1:235:1|1:236:1|1:237:1	-1	-1
1204	0	0	0	1:7497:1|1:236:1|1:237:1|1:238:1	-1	-1
1205	0	0	0	1:7498:1|1:237:1|1:238:1|1:239:1	-1	-1
1206	0	0	0	1:7499:1|1:237:1|1:238:1|1:239:1	-1	-1
1207	0	0	0	1:7500:1|1:237:1|1:238:1|1:239:1	-1	-1
1208	0	0	0	1:7501:1|1:237:1|1:238:1|1:239:1	-1	-1
1209	0	0	0	1:7502:1|1:237:1|1:238:1|1:239:1	-1	-1
1210	0	0	0	1:7123:1|1:92:1|1:84:1|1:72:1|1:71:1|1:70:1|1:108:1	-1	-1
1211	0	0	0	1:7124:1|1:93:1|1:85:1|1:73:1|1:72:1|1:71:1|1:109:1	-1	-1
1212	0	0	0	1:7125:1|1:94:1|1:86:1|1:76:1|1:75:1|1:74:1|1:70:1	-1	-1
1213	0	0	0	1:7502:1|1:95:1|1:87:1|1:77:1|1:76:1|1:75:1|1:71:1	-1	-1
1214	0	0	0	1:7503:1|1:96:1|1:88:1|1:78:1|1:77:1|1:76:1|1:72:1	-1	-1
1215	0	0	0	1:7504:1|1:97:1|1:89:1|1:81:1|1:80:1|1:79:1|1:75:1	-1	-1
1216	0	0	0	1:7505:1|1:98:1|1:90:1|1:82:1|1:81:1|1:80:1|1:76:1	-1	-1
1217	0	0	0	1:99:1|1:91:1|1:83:1|1:82:1|1:81:1|1:77:1	-1	-1
2014	0	0	0	601:1:1|601:1:1|601:1:1|601:1:1|601:1:1	-1	-1
