INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	item_id	item_type	ItemBind	LimitType	is_limit	LimitStartTime	LimitEndTime	OriginalCost	cost_value	ShopType	ShopIndex	Label	cost_type	Limit	LimitJob	GongGao	OpenServerDay
1009	567	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	200	100	1	1	0	1	0	0	-1	0	
1010	568	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	600	300	1	2	0	1	0	0	-1	0	
1011	570	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	2000	1000	1	3	0	1	0	0	-1	0	
1012	10	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	10000	8888	1	6	0	1	0	0	-1	0	
1013	575	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	50	20	1	5	0	1	0	0	-1	0	
1014	580	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	500	500	1	9	0	1	0	0	-1	0	
1015	581	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	300	100	1	12	0	1	0	0	-1	0	
1016	15	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	500	200	1	11	0	1	0	0	-1	0	
1023	572	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	100	50	1	8	0	1	0	0	-1	0	
1024	9	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	200	100	1	13	0	1	0	0	-1	0	
1025	8	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	200	98	1	10	0	1	0	0	-1	0	
1026	700	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	200	100	1	15	0	1	0	0	-1	0	
1027	701	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	400	200	1	16	0	1	0	0	-1	0	
1028	702	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	800	400	1	17	0	1	0	0	-1	0	
1029	703	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	400	100	1	23	0	1	0	0	-1	0	
1030	710	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000	500	1	14	0	1	0	0	-1	0	
1031	718	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	200	100	1	19	0	1	0	0	-1	0	
1032	719	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	400	200	1	21	0	1	0	0	-1	0	
1033	720	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000	500	1	22	0	1	0	0	-1	0	
1034	721	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	200	100	1	20	0	1	0	0	-1	0	
1035	751	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	5000	5000	1	25	0	1	0	0	-1	99999	
1036	759	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	300	200	1	26	0	1	0	0	-1	0	
1037	768	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1600	800	1	18	0	1	0	0	-1	0	
1038	778	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	20000	18888	1	7	0	1	0	0	-1	0	
1039	792	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	200	100	1	24	0	1	0	0	-1	99999	
1040	933	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	500	300	1	4	0	1	0	0	-1	99999	
1044	1006	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	20	10	1	29	0	1	0	0	-1	0	
1045	1007	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000	500	1	30	0	1	0	0	-1	0	
1046	5001	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	31	0	1	0	0	-1	0	
1047	5002	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	32	0	1	0	0	-1	0	
1048	5005	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	35	0	1	0	0	-1	0	
1049	5006	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	36	0	1	0	0	-1	0	
1050	5007	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	37	0	1	0	0	-1	0	
1051	5008	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	38	0	1	0	0	-1	0	
1052	5009	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	39	0	1	0	0	-1	0	
1053	5010	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	40	0	1	0	0	-1	0	
1054	5011	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	41	0	1	0	0	-1	0	
1055	5012	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	42	0	1	0	0	-1	0	
1056	5013	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	43	0	1	0	0	-1	0	
1057	5015	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	45	0	1	0	0	-1	0	
1058	5018	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	48	0	1	0	0	-1	0	
1059	5019	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	49	0	1	0	0	-1	0	
1060	5021	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	51	0	1	0	0	-1	0	
1061	5025	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	55	0	1	0	0	-1	0	
1062	5026	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	56	0	1	0	0	-1	0	
1063	5027	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	57	0	1	0	0	-1	0	
1064	5029	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	59	0	1	0	0	-1	0	
1065	5030	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	60	0	1	0	0	-1	0	
1066	5031	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	61	0	1	0	0	-1	0	
1067	5032	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	62	0	1	0	0	-1	0	
1068	5033	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	63	0	1	0	0	-1	0
1070	5037	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	67	0	1	0	0	-1	0
1072	5101	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	56	0	1	0	0	-1	0	
1073	5102	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	57	0	1	0	0	-1	0	
1074	5105	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	59	0	1	0	0	-1	0	
1075	5106	1	0	0	0	0000-00-00 00:00:00	0000-00-00 00:00:00	1000000	888888	1	60	0	1	0	0	-1	0	
