INT	STRING	INT	STRING	STRING	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	STRING
id	name	cond_type	cond_parm	type	target_panel	parm_int	parm_str	page	cover	arrowDir	arrowType	arrowX	arrowY	bubbleDir	bubbleX	bubbleY	bubbleStr	frame	no_momery	tip_url	tip_x	tip_y	piaozi	GroupId	desc	autoClickTime	beforeGuideStopAutoTask	afterGuideStartAutoTask	autoClickEventType	autoClickEventTxt
1	欢迎界面	1	0:3	open	welcomePanel	10000	是谁！能够拯救这个即将崩塌世界！我们一直在等待你的到来。	0	0	3	1	231	106	0	0	0	0	88:90:141:40	0	0	0	0	0	0	开始征程	5	0	0	0	0
2	欢迎界面箭头	1	0:3	attach	welcomePanel	10000	okBtn	0	0	3	1	231	106	0	0	0	0	88:90:141:40	0	0	0	0	0	0	开始征程	5	0	0	0	0
3	清理妖兽	8	10000:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
4	圣妖传说	8	10001:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
5	腐化气息	8	10002:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
6	战甲加身	8	10003:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
7	邪恶入侵	8	10004:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
8	人族灾祸	8	10005:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
9	救赎之路	8	10006:4	attach	npcTaskPanel	0	completeBtn	0	0	3	1	255	454	0	0	0	0	0	0	0	0	0	0	0	点击领取任务	10	0	0	0	0
