INT	INT	INT	INT	INT	INT	INT	INT
id	index	item	type	count	isbind	job	XianShi
7001	1	13	1	10	1	0	0
7001	2	510	1	9	1	0	0
7002	1	13	1	6	1	0	0
7002	2	510	1	5	1	0	0
7003	1	13	1	3	1	0	0
7003	2	510	1	3	1	0	0
7004	1	13	1	2	1	0	0
7004	2	510	1	2	1	0	0
7005	1	13	1	1	1	0	0
7005	2	510	1	1	1	0	0
7013	1	597	1	5	1	0	0
7014	1	597	1	5	1	0	0
7015	1	597	1	10	1	0	0
7016	1	597	1	15	1	0	0
7017	1	597	1	25	1	0	0
7018	1	151	1	5	1	0	0
7018	2	416	1	1	1	0	0
7018	3	504	1	10	1	0	0
7019	1	151	1	10	1	0	0
7019	2	416	1	2	1	0	0
7019	3	504	1	20	1	0	0
7020	1	151	1	2	1	0	0
7020	2	416	1	1	1	0	0
7020	3	504	1	5	1	0	0
7021	1	151	1	30	1	0	0
7021	2	416	1	5	1	0	0
7021	3	565	1	3	1	0	0
7021	4	504	1	60	1	0	0
7022	1	100	1	200	1	0	0
7022	2	507	1	10	1	0	0
7022	3	597	1	100	1	0	0
7022	4	10005	1	1	1	0	0
7023	1	100	1	100	1	0	0
7023	2	507	1	8	1	0	0
7023	3	597	1	80	1	0	0
7024	1	100	1	80	1	0	0
7024	2	507	1	6	1	0	0
7024	3	597	1	60	1	0	0
7025	1	100	1	60	1	0	0
7025	2	507	1	4	1	0	0
7025	3	597	1	40	1	0	0
7026	1	100	1	160	1	0	0
7026	2	507	1	8	1	0	0
7026	3	597	1	80	1	0	0
7027	1	100	1	80	1	0	0
7027	2	507	1	6	1	0	0
7027	3	597	1	60	1	0	0
7028	1	100	1	64	1	0	0
7028	2	507	1	4	1	0	0
7028	3	597	1	40	1	0	0
7029	1	100	1	48	1	0	0
7029	2	507	1	3	1	0	0
7029	3	597	1	30	1	0	0
7030	1	100	1	120	1	0	0
7030	2	507	1	6	1	0	0
7030	3	597	1	60	1	0	0
7031	1	100	1	60	1	0	0
7031	2	507	1	4	1	0	0
7031	3	597	1	40	1	0	0
7032	1	100	1	48	1	0	0
7032	2	507	1	3	1	0	0
7032	3	597	1	30	1	0	0
7033	1	100	1	36	1	0	0
7033	2	507	1	2	1	0	0
7033	3	597	1	20	1	0	0
7034	1	100	1	90	1	0	0
7034	2	507	1	5	1	0	0
7034	3	597	1	50	1	0	0
7035	1	100	1	45	1	0	0
7035	2	507	1	3	1	0	0
7035	3	597	1	30	1	0	0
7036	1	100	1	36	1	0	0
7036	2	507	1	2	1	0	0
7036	3	597	1	20	1	0	0
7037	1	100	1	27	1	0	0
7037	2	507	1	1	1	0	0
7037	3	597	1	10	1	0	0
7038	1	100	1	20	1	0	0
7038	2	507	1	1	1	0	0
7038	3	597	1	10	1	0	0
7039	1	301	1	1	1	0	0
