INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	item	type	count	isbind	static_probability	sum_probability	Job	minlevel	maxlevel
416	411	1	1	1	0	200	0	0	9999
416	412	1	1	1	0	200	0	0	9999
416	413	1	1	1	0	100	0	0	9999
416	414	1	1	1	0	200	0	0	9999
416	415	1	1	1	0	100	0	0	9999
416	417	1	1	1	0	200	0	0	9999
584	10352	2	1	0	0	125	0	0	9999
584	10353	2	1	0	0	125	0	0	9999
584	10354	2	1	0	0	125	0	0	9999
584	10355	2	1	0	0	125	0	0	9999
584	10357	2	1	0	0	125	0	0	9999
584	10358	2	1	0	0	125	0	0	9999
584	10359	2	1	0	0	125	0	0	9999
584	10360	2	1	0	0	125	0	0	9999
7006	575	1	1	1	0	500	0	0	9999
7006	567	1	1	1	0	500	0	0	9999
7007	575	1	1	1	0	200	0	0	9999
7007	567	1	1	1	0	500	0	0	9999
7007	564	1	1	1	0	300	0	0	9999
7008	575	1	1	1	0	200	0	0	9999
7008	567	1	1	1	0	400	0	0	9999
7008	564	1	2	1	0	300	0	0	9999
7008	568	1	1	1	0	100	0	0	9999
7009	575	1	1	1	0	100	0	0	9999
7009	567	1	1	1	0	350	0	0	9999
7009	564	1	2	1	0	350	0	0	9999
7009	568	1	1	1	0	150	0	0	9999
7009	410	1	1	1	0	50	0	0	9999
7010	575	1	1	1	0	100	0	0	9999
7010	567	1	1	1	0	300	0	0	9999
7010	564	1	3	1	0	330	0	0	9999
7010	568	1	1	1	0	200	0	0	9999
7010	410	1	1	1	0	70	0	0	9999
7040	20002	2	1	1	0	1	0	0	9999
7040	20003	2	1	1	0	1	0	0	9999
7040	20004	2	1	1	0	1	0	0	9999
7040	20006	2	1	1	0	1	0	0	9999
7040	20007	2	1	1	0	1	0	0	9999
7040	20008	2	1	1	0	1	0	0	9999
7040	565	1	2	1	0	194	0	0	9999
7040	565	1	1	1	0	800	0	0	9999
646	619	1	1	1	0	333	0	0	399
646	620	1	1	1	0	333	0	0	399
646	621	1	1	1	0	334	0	0	399
646	619	1	1	1	0	238	0	400	499
646	620	1	1	1	0	238	0	400	499
646	621	1	1	1	0	238	0	400	499
646	623	1	1	1	0	95	0	400	499
646	624	1	1	1	0	95	0	400	499
646	625	1	1	1	0	96	0	400	499
646	619	1	1	1	0	128	0	500	9999
646	620	1	1	1	0	128	0	500	9999
646	621	1	1	1	0	128	0	500	9999
646	623	1	1	1	0	154	0	500	9999
646	624	1	1	1	0	154	0	500	9999
646	625	1	1	1	0	154	0	500	9999
646	627	1	1	1	0	51	0	500	9999
646	628	1	1	1	0	51	0	500	9999
646	629	1	1	1	0	52	0	500	9999
7042	109	1	1	1	0	400	0	0	9999
7042	504	1	1	1	0	200	0	0	9999
7042	501	1	10	1	0	300	0	0	9999
7042	647	1	1	1	0	100	0	0	9999
7043	111	1	1	1	0	300	0	0	9999
7043	151	1	1	1	0	100	0	0	9999
7043	504	1	5	1	0	200	0	0	9999
7043	501	1	50	1	0	200	0	0	9999
7043	647	1	3	1	0	100	0	0	9999
7043	567	1	1	1	0	100	0	0	9999
7044	111	1	4	1	0	250	0	0	9999
7044	151	1	4	1	0	150	0	0	9999
7044	504	1	20	1	0	200	0	0	9999
7044	501	1	200	1	0	200	0	0	9999
7044	647	1	10	1	0	100	0	0	9999
7044	568	1	1	1	0	100	0	0	9999
715	10322	2	1	0	0	62	0	0	9999
715	10323	2	1	0	0	70	0	0	9999
715	10324	2	1	0	0	62	0	0	9999
715	10325	2	1	0	0	62	0	0	9999
715	10327	2	1	0	0	62	0	0	9999
715	10328	2	1	0	0	62	0	0	9999
715	10329	2	1	0	0	62	0	0	9999
715	10330	2	1	0	0	62	0	0	9999
715	10332	2	1	0	0	62	0	0	9999
715	10333	2	1	0	0	62	0	0	9999
715	10334	2	1	0	0	62	0	0	9999
715	10335	2	1	0	0	62	0	0	9999
715	10337	2	1	0	0	62	0	0	9999
715	10338	2	1	0	0	62	0	0	9999
715	10339	2	1	0	0	62	0	0	9999
715	10340	2	1	0	0	62	0	0	9999
716	10342	2	1	0	0	62	0	0	9999
716	10343	2	1	0	0	70	0	0	9999
716	10344	2	1	0	0	62	0	0	9999
716	10345	2	1	0	0	62	0	0	9999
716	10347	2	1	0	0	62	0	0	9999
716	10348	2	1	0	0	62	0	0	9999
716	10349	2	1	0	0	62	0	0	9999
716	10350	2	1	0	0	62	0	0	9999
716	10352	2	1	0	0	62	0	0	9999
716	10353	2	1	0	0	62	0	0	9999
716	10354	2	1	0	0	62	0	0	9999
716	10355	2	1	0	0	62	0	0	9999
716	10357	2	1	0	0	62	0	0	9999
716	10358	2	1	0	0	62	0	0	9999
716	10359	2	1	0	0	62	0	0	9999
716	10360	2	1	0	0	62	0	0	9999
717	10362	2	1	0	0	62	0	0	9999
717	10363	2	1	0	0	70	0	0	9999
717	10364	2	1	0	0	62	0	0	9999
717	10365	2	1	0	0	62	0	0	9999
717	10367	2	1	0	0	62	0	0	9999
717	10368	2	1	0	0	62	0	0	9999
717	10369	2	1	0	0	62	0	0	9999
717	10370	2	1	0	0	62	0	0	9999
717	10372	2	1	0	0	62	0	0	9999
717	10373	2	1	0	0	62	0	0	9999
717	10374	2	1	0	0	62	0	0	9999
717	10375	2	1	0	0	62	0	0	9999
717	10377	2	1	0	0	62	0	0	9999
717	10378	2	1	0	0	62	0	0	9999
717	10379	2	1	0	0	62	0	0	9999
717	10380	2	1	0	0	62	0	0	9999
7048	601	1	10	1	0	500	0	0	9999
7048	635	1	2	1	0	500	0	0	9999
7049	510	1	5	1	0	400	0	0	9999
7049	638	1	3	1	0	300	0	0	9999
7049	564	1	10	1	0	300	0	0	9999
7050	570	1	2	1	0	250	0	0	9999
7050	564	1	50	1	0	250	0	0	9999
7050	710	1	4	1	0	250	0	0	9999
7050	637	1	2	1	0	250	0	0	9999
7052	25	8	1	1	0	85	0	0	9999
7052	30	8	1	1	0	85	0	0	9999
7052	35	8	1	1	0	85	0	0	9999
7052	36	8	1	1	0	260	0	0	9999
7052	45	8	1	1	0	50	0	0	9999
7052	50	8	1	1	0	50	0	0	9999
7052	55	8	1	1	0	50	0	0	9999
7052	56	8	1	1	0	180	0	0	9999
7052	65	8	1	1	0	25	0	0	9999
7052	70	8	1	1	0	25	0	0	9999
