INT	INT	STRING	STRING
level	job	num_addon	attr_point
1	1	1:500|4:20|5:50|6:12|7:30|8:1|9:1|12:220|45:1000	0
2	1	1:679|4:22|5:55|6:13|7:33|8:2|9:1|12:220|45:1000	0
3	1	1:736|4:23|5:57|6:13|7:34|8:2|9:2|12:220|45:1000	0
4	1	1:797|4:23|5:59|6:14|7:35|8:3|9:2|12:220|45:1000	0
5	1	1:863|4:24|5:62|6:14|7:37|8:3|9:3|12:220|45:1000	0
6	1	1:933|4:25|5:64|6:15|7:38|8:4|9:3|12:220|45:1000	0
7	1	1:1008|4:26|5:66|6:16|7:40|8:4|9:4|12:220|45:1000	0
8	1	1:1086|4:27|5:69|6:16|7:41|8:5|9:4|12:220|45:1000	0
9	1	1:1167|4:28|5:72|6:17|7:43|8:5|9:5|12:220|45:1000	0
10	1	1:1253|4:30|5:75|6:18|7:45|8:6|9:5|12:220|45:1000	0
11	1	1:1341|4:31|5:77|6:18|7:46|8:6|9:6|12:220|45:1000	0
12	1	1:1433|4:32|5:81|6:19|7:48|8:7|9:6|12:220|45:1000	0
13	1	1:1528|4:33|5:84|6:20|7:50|8:7|9:7|12:220|45:1000	0
14	1	1:1626|4:34|5:87|6:20|7:52|8:8|9:7|12:220|45:1000	0
15	1	1:1727|4:36|5:90|6:21|7:54|8:8|9:8|12:220|45:1000	0
16	1	1:1830|4:37|5:94|6:22|7:56|8:9|9:8|12:220|45:1000	0
17	1	1:1937|4:39|5:97|6:23|7:58|8:9|9:9|12:220|45:1000	0
18	1	1:2046|4:40|5:101|6:24|7:60|8:10|9:9|12:220|45:1000	0
19	1	1:2158|4:42|5:105|6:25|7:63|8:10|9:10|12:220|45:1000	0
20	1	1:2272|4:43|5:108|6:26|7:65|8:11|9:10|12:220|45:1000	0
21	1	1:2389|4:45|5:112|6:27|7:67|8:11|9:11|12:220|45:1000	0
22	1	1:2508|4:46|5:116|6:28|7:70|8:12|9:11|12:220|45:1000	0
23	1	1:2630|4:48|5:120|6:28|7:72|8:12|9:12|12:220|45:1000	0
24	1	1:2754|4:49|5:124|6:29|7:74|8:13|9:12|12:220|45:1000	0
25	1	1:2880|4:51|5:129|6:30|7:77|8:13|9:13|12:220|45:1000	0
26	1	1:3009|4:53|5:133|6:32|7:80|8:14|9:13|12:220|45:1000	0
27	1	1:3140|4:55|5:137|6:33|7:82|8:14|9:14|12:220|45:1000	0
28	1	1:3273|4:56|5:142|6:34|7:85|8:15|9:14|12:220|45:1000	0
29	1	1:3408|4:58|5:146|6:35|7:87|8:15|9:15|12:220|45:1000	0
30	1	1:3546|4:60|5:151|6:36|7:90|8:16|9:15|12:220|45:1000	0
31	1	1:3685|4:62|5:155|6:37|7:93|8:16|9:16|12:220|45:1000	0
32	1	1:3827|4:64|5:160|6:38|7:96|8:17|9:16|12:220|45:1000	0
33	1	1:3970|4:66|5:165|6:39|7:99|8:17|9:17|12:220|45:1000	0
34	1	1:4116|4:68|5:170|6:40|7:102|8:18|9:17|12:220|45:1000	0
35	1	1:4263|4:70|5:175|6:42|7:105|8:18|9:18|12:220|45:1000	0
36	1	1:4413|4:72|5:180|6:43|7:108|8:19|9:18|12:220|45:1000	0
37	1	1:4564|4:74|5:185|6:44|7:111|8:19|9:19|12:220|45:1000	0
38	1	1:4718|4:76|5:190|6:45|7:114|8:20|9:19|12:220|45:1000	0
39	1	1:4873|4:78|5:195|6:46|7:117|8:20|9:20|12:220|45:1000	0
