INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
id	name	type	param	width	height	revive	pk_mode	anti_protect	mount	fly	viceGeneral	player_level	player_level_max	team_member	hide_mini	showMini	miniFlag	miniWidth	miniHeight	sound	image_folder	image_hint	kingdom	ui_index	map_icon_frame	world_map_icon_x	world_map_icon_y	LoaderSort	tips	Jump	Feixie	ShowGroupIcon	GongGao	MapItem	reiveTime	pvp	GuaJi	KuaFu	Clear	image_rd	Model	MaskX	MaskY	from_x	from_y	Mapname	MapDrop	XingMaiLevel	SuitID	JueWei	VipLevel	AutoFightPet	Random	DropKeJian	PetCanAtk	OfflineLeave	petSwitchAttackType	Rdx	ShowNpcList	RefreshModify	UseRandomBook	limitDay	QiQing	IsRecovery	LinkRand
50001	比奇城	1	0	10176	8092	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50001	50001	3	0	2	0	230	3	-1	1	1	1	0	1:1	-1	0	1	1	1	50001	2	0	0	97	121	1002	10000	0	-1	0	0	0	-1	1	1	0	-1	50001	1	1	1	-1	-1	1	-1
50002	荒古血路	1	0	10464	5100	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50002	50002	3	0	2	0	230	3	-1	1	1	1	0	1:1	-1	0	1	1	1	50002	2	0	0	24	110	1002	10000	0	-1	0	0	0	-1	1	1	0	-1	50002	1	1	1	-1	-1	1	-1
50009	第二大陆	1	0	2400	2074	20001	1	0	0	0	1	300	9999	0	0	1	1	475	333	1002	50009	50009	3	0	2	0	230	3	-1	1	1	1	0	1:1	-1	0	1	1	1	50009	2	0	0	30	31	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50009	1	1	1	-1	-1	1	-1
50017	地下宫殿二层	1	0	6000	4488	20001	1	0	0	0	1	200	9999	0	0	1	1	475	333	1002	50095	50095	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50095	2	0	0	73	67	1002	10000	0	-1	0	0	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13	1	1	0	0	50017	0	1	1	-1	-1	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13
50018	地下宫殿三层	1	0	6000	4488	20001	1	0	0	0	1	300	9999	0	0	1	1	475	333	1002	50095	50095	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50095	2	0	0	73	67	1002	10000	0	-1	0	0	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13	1	1	0	0	50018	0	1	1	-1	-1	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13
50019	地下宫殿四层	1	0	6000	4488	20001	1	0	0	0	1	400	9999	0	0	1	1	475	333	1002	50095	50095	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50095	2	0	0	73	67	1002	10000	0	-1	0	0	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13	1	1	0	0	50019	0	1	1	-1	-1	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13
50020	地下宫殿五层	1	0	6000	4488	20001	1	0	0	0	1	500	9999	0	0	1	1	475	333	1002	50095	50095	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50095	2	0	0	73	67	1002	10000	0	-1	0	0	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13	1	1	0	0	50020	0	1	1	-1	-1	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13
50021	地下宫殿六层	1	0	6000	4488	20001	1	0	0	0	1	600	9999	0	0	1	1	475	333	1002	50095	50095	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50095	2	0	0	73	67	1002	10000	0	-1	0	0	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13	1	1	0	0	50021	0	1	1	-1	-1	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13
50022	地下宫殿七层	1	0	6000	4488	20001	1	0	0	0	1	600	9999	0	0	1	1	475	333	1002	50095	50095	3	0	2	0	230	1	-1	1	1	1	0	1:1	-1	0	1	1	1	50095	2	0	0	73	67	1002	10000	0	-1	0	0	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13	1	1	0	0	50022	0	1	1	-1	-1	1	73:66|106:34|68:122|20:119|15:64|18:11|65:13
50024	星脉5重地图	1	0	6000	4182	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50024	50024	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50024	2	0	0	74	52	1002	10000	5	-1	0	0	1	-1	1	1	0	-1	50024	0	1	1	-1	-1	1	18:91|93:31|114:51|65:16|59:39|89:60
50025	星脉10重地图	1	0	6000	4182	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50024	50024	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50024	2	0	0	74	52	1002	10000	10	-1	0	0	1	-1	1	1	0	-1	50025	0	1	1	-1	-1	1	18:91|93:31|114:51|65:16|59:39|89:60
50026	星脉15重地图	1	0	6000	4182	20001	0	0	0	0	1	300	9999	0	0	1	1	475	333	1002	50024	50024	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50024	2	0	0	74	52	1002	10000	15	-1	0	0	1	-1	1	1	0	-1	50026	0	1	1	-1	-1	1	18:91|93:31|114:51|65:16|59:39|89:60
50027	星脉20重地图	1	0	6000	4182	20001	0	0	0	0	1	300	9999	0	0	1	1	475	333	1002	50024	50024	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50024	2	0	0	74	52	1002	10000	20	-1	0	0	1	-1	1	1	0	-1	50027	0	1	1	-1	-1	1	18:91|93:31|114:51|65:16|59:39|89:60
50028	星脉25重地图	1	0	6000	4182	20001	0	0	0	0	1	400	9999	0	0	1	1	475	333	1002	50024	50024	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50024	2	0	0	74	52	1002	10000	25	-1	0	0	1	-1	1	1	0	-1	50028	0	1	0	-1	-1	1	18:91|93:31|114:51|65:16|59:39|89:60
50029	星脉30重地图	1	0	6000	4182	20001	0	0	0	0	1	400	9999	0	0	1	1	475	333	1002	50024	50024	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50024	2	0	0	74	52	1002	10000	30	-1	0	0	1	-1	1	1	0	-1	50029	0	1	0	-1	-1	1	18:91|93:31|114:51|65:16|59:39|89:60
50030	星脉35重地图	1	0	6000	4182	20001	0	0	0	0	1	500	9999	0	0	1	1	475	333	1002	50024	50024	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50024	2	0	0	74	52	1002	10000	35	-1	0	0	1	-1	1	1	0	-1	50030	0	1	0	-1	-1	1	18:91|93:31|114:51|65:16|59:39|89:60
50031	星脉40重地图	1	0	6000	4182	20001	0	0	0	0	1	500	9999	0	0	1	1	475	333	1002	50024	50024	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50024	2	0	0	74	52	1002	10000	40	-1	0	0	1	-1	1	1	0	-1	50031	0	1	0	-1	-1	1	18:91|93:31|114:51|65:16|59:39|89:60
50032	星脉45重地图	1	0	6000	4182	20001	0	0	0	0	1	500	9999	0	0	1	1	475	333	1002	50024	50024	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50024	2	0	0	74	52	1002	10000	99	-1	0	0	1	-1	1	1	0	-1	50032	0	1	0	-1	-1	1	18:91|93:31|114:51|65:16|59:39|89:60
50033	星脉50重地图	1	0	6000	4182	20001	0	0	0	0	1	500	9999	0	0	1	1	475	333	1002	50024	50024	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50024	2	0	0	74	52	1002	10000	99	-1	0	0	1	-1	1	1	0	-1	50033	0	1	0	-1	-1	1	18:91|93:31|114:51|65:16|59:39|89:60
50034	荒谷血路	1	0	10464	5100	20001	1	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50034	50034	3	0	2	0	230	0	-1	1	1	1	0	1:1	-1	0	1	1	1	50034	2	0	0	26	120	1002	10000	0	-1	0	0	1	-1	1	1	0	-1	50034	0	1	1	-1	-1	1	-1
50035	守护秘境	1	0	5088	3876	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50035	50035	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50035	2	0	0	37	41	1002	10000	0	301	0	0	1	-1	1	1	0	-1	50035	0	1	1	-1	-1	1	84:14|21:21|23:86|82:94|12:55|77:51|49:11|16:111
50036	守护秘境【妖】	1	0	5088	3876	20001	0	0	0	0	1	300	9999	0	0	1	1	475	333	1002	50035	50035	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50035	2	0	0	37	41	1002	10000	0	303	0	0	1	-1	1	1	0	-1	50036	0	1	1	-1	-1	1	84:14|21:21|23:86|82:94|12:55|77:51|49:11|16:111
50037	守护秘境【魔】	1	0	5088	3876	20001	0	0	0	0	1	400	9999	0	0	1	1	475	333	1002	50035	50035	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50035	2	0	0	37	41	1002	10000	0	305	0	0	1	-1	1	1	0	-1	50037	0	1	0	-1	-1	1	84:14|21:21|23:86|82:94|12:55|77:51|49:11|16:111
50038	守护秘境【仙】	1	0	5088	3876	20001	0	0	0	0	1	500	9999	0	0	1	1	475	333	1002	50035	50035	3	0	2	0	230	1	-1	1	1	1	1003	1:1	-1	0	1	1	1	50035	2	0	0	37	41	1002	10000	0	307	0	0	1	-1	1	1	0	-1	50038	0	1	0	-1	-1	1	84:14|21:21|23:86|82:94|12:55|77:51|49:11|16:111
50039	魅影魔窟	1	0	6288	4794	20001	0	0	0	0	1	1	300	0	0	1	1	475	333	1002	50039	50039	3	0	2	0	230	0	-1	1	1	1	0	1:1	-1	0	1	1	1	50039	2	4096	2048	88	87	1002	10000	0	-1	0	0	1	-1	0	1	0	-1	50039	0	1	1	-1	-1	1	-1
50040	九幽领地	1	0	6000	4488	20001	0	0	0	0	1	1	9999	0	0	1	1	475	333	1002	50200	50200	3	0	2	0	230	0	-1	1	1	1	0	1:1	-1	0	1	1	1	50200	2	0	0	70	58	1002	10000	0	-1	0	0	1	-1	0	1	0	-1	50200	0	1	1	-1	-1	1	-1
