INT	INT	INT	INT	INT	INT	INT	INT	INT
id	mapid	monsterid	x	y	Hide	Friendly	BOSS	Reflash
11001	50034	1	41	107	0	0	0	0
11002	50034	1	46	108	0	0	0	0
11003	50034	1	51	109	0	0	0	0
11004	50034	1	54	109	0	0	0	0
11005	50034	1	43	110	0	0	0	0
11006	50034	1	48	111	0	0	0	0
11007	50034	1	40	112	0	0	0	0
11008	50034	1	51	112	0	0	0	0
11009	50034	1	54	112	0	0	0	0
11010	50034	1	45	113	0	0	0	0
11011	50034	1	42	115	0	0	0	0
11012	50034	1	49	116	0	0	0	0
11013	50034	1	53	116	0	0	0	0
11014	50034	1	46	117	0	0	0	0
11015	50034	1	40	118	0	0	0	0
11016	50034	1	43	120	0	0	0	0
11017	50034	1	52	120	0	0	0	0
11018	50034	1	56	120	0	0	0	0
11019	50034	1	48	121	0	0	0	0
11020	50034	1	53	123	0	0	0	0
11021	50034	2	67	81	0	0	0	0
11022	50034	2	64	84	0	0	0	0
11023	50034	2	68	84	0	0	0	0
11024	50034	2	72	85	0	0	0	0
11025	50034	2	66	87	0	0	0	0
11026	50034	2	69	88	0	0	0	0
11027	50034	2	73	88	0	0	0	0
11028	50034	2	63	89	0	0	0	0
11029	50034	2	71	90	0	0	0	0
11030	50034	2	76	90	0	0	0	0
11031	50034	2	68	91	0	0	0	0
11032	50034	2	74	91	0	0	0	0
11033	50034	2	65	92	0	0	0	0
11034	50034	2	70	94	0	0	0	0
11035	50034	2	63	95	0	0	0	0
11036	50034	2	66	95	0	0	0	0
11037	50034	2	74	95	0	0	0	0
11038	50034	2	66	98	0	0	0	0
11039	50034	2	69	99	0	0	0	0
11040	50034	2	72	100	0	0	0	0
11041	50034	3	75	31	0	0	0	0
11042	50034	3	78	33	0	0	0	0
11043	50034	3	73	35	0	0	0	0
11044	50034	3	76	35	0	0	0	0
11045	50034	3	79	36	0	0	0	0
11046	50034	3	75	38	0	0	0	0
11047	50034	3	80	38	0	0	0	0
11048	50034	3	72	39	0	0	0	0
11049	50034	3	77	39	0	0	0	0
11050	50034	3	83	39	0	0	0	0
11051	50034	3	75	41	0	0	0	0
11052	50034	3	78	42	0	0	0	0
