INT	INT	INT	INT	INT
id	mapid	plantid	x	y
1	-1	4	87	121
2	-1	4	81	121
3	-1	4	84	126
4	-1	4	92	124
5	50001	23	45	32
6	50001	23	31	211
7	50001	23	162	217
8	50133	22	66	49
9	50133	22	46	30
10	50133	22	40	75
11	50133	22	91	24
12	50162	24	20	23
13	50162	24	41	23
14	50162	24	43	43
15	50162	24	19	43
16	50163	24	20	23
17	50163	24	41	23
18	50163	24	43	43
19	50163	24	19	43
20	50164	24	20	23
21	50164	24	41	23
22	50164	24	43	43
23	50164	24	19	43
24	50165	24	20	23
25	50165	24	41	23
26	50165	24	43	43
27	50165	24	19	43
28	50166	24	20	23
29	50166	24	41	23
30	50166	24	43	43
31	50166	24	19	43
32	51007	30	31	35
33	51017	31	31	35
34	51027	32	31	35
35	51037	33	31	35
36	51047	34	31	35
37	51057	35	31	35
38	51067	36	31	35
39	51077	37	31	35
40	51087	38	31	35
41	51097	39	31	35
42	80002	41	38	13
43	80002	41	29	11
44	80002	41	50	16
45	80002	41	45	28
46	80002	41	71	30
47	80002	41	62	58
48	80002	41	43	46
49	80002	41	22	58
50	80002	41	30	41
51	80002	41	12	43
52	80002	41	46	15
53	80002	41	54	13
54	80002	41	69	36
55	80002	41	51	43
56	80002	41	45	57
57	80002	41	9	28
58	80001	43	89	104
59	80001	43	92	101
60	80001	43	96	104
61	80001	43	97	108
62	80001	43	93	108
63	80001	43	89	108
64	80001	43	89	112
65	80001	43	92	112
66	80001	43	96	112
67	80001	44	88	52
68	80001	44	88	57
69	80001	44	88	62
70	80001	44	93	52
71	80001	44	93	57
72	80001	44	93	62
73	80001	44	98	52
74	80001	44	98	57
75	80001	44	98	62
101	50182	48	24	95
102	50182	48	56	45
103	50182	48	113	24
104	50182	48	114	99
105	50186	48	24	95
106	50186	48	56	45
107	50186	48	113	24
108	50186	48	114	99
109	50183	48	67	133
110	50183	48	107	62
111	50183	48	50	27
112	50183	48	145	117
113	50187	48	67	133
114	50187	48	107	62
115	50187	48	50	27
116	50187	48	145	117
117	50184	48	14	105
118	50184	48	66	24
119	50184	48	16	33
120	50184	48	95	96
121	50188	48	14	105
122	50188	48	66	24
123	50188	48	16	33
124	50188	48	95	96
125	50185	48	98	100
126	50185	48	103	39
127	50185	48	52	17
128	50185	48	12	61
129	50189	48	98	100
130	50189	48	103	39
131	50189	48	52	17
132	50189	48	12	61
