INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
id	from_map	from_x	from_y	to_map	to_x	to_y	graphy	effect	chuan
170247	50034	192	71	50001	198	215	0	0	-1
170248	50001	200	217	50034	191	75	0	0	-1
170249	50001	11	202	50040	31	104	0	0	-1
170250	50040	33	110	50001	13	200	0	0	-1
170251	50001	197	23	50039	12	111	0	0	-1
170252	50039	9	109	50001	195	25	0	0	-1
170253	50001	19	38	50133	146	115	0	0	-1
170254	50133	151	118	50001	21	40	0	0	-1
170255	50130	38	38	50129	34	13	0	0	-1
170256	50129	25	17	50130	31	42	0	0	-1
170257	50129	37	4	50130	44	29	0	0	-1
170258	50162	56	31	50163	13	28	0	0	-1
170259	50163	5	31	50162	49	28	0	0	-1
170260	50163	56	31	50164	13	28	0	0	-1
170261	50164	5	31	50163	49	28	0	0	-1
170262	50164	56	31	50165	13	28	0	0	-1
170263	50165	5	31	50164	49	28	0	0	-1
170264	50165	56	31	50166	13	28	0	0	-1
170265	50166	5	31	50165	49	28	0	0	-1
170266	50167	8	36	50166	30	17	0	0	-1
170267	50169	127	29	50170	38	192	0	0	-1
170268	50170	36	199	50169	123	29	0	0	-1
170269	50170	112	24	50171	11	117	0	0	-1
170270	50171	5	118	50170	107	25	0	0	-1
