INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
id	name	mapid	min_x	min_y	max_x	max_y	type	graphy	mid
10002	新手村出生点	50034	16	103	26	111	4	0	-1
10003	主城安全区	50001	79	101	116	136	1	0	-1
20001	回城卷	50001	102	115	107	121	0	0	-1
20002	跨服区域	90041	26	30	38	41	1	0	-1
20003	心魔村	50181	52	26	61	33	4	0	-1
30001	极限挑战活动	50041	61	46	117	84	4	0	-1
40001	风云碑	50053	23	28	71	65	4	0	-1
40002	魔界封印	50174	3	24	58	65	4	0	-1
40003	深渊魔窟	50175	0	104	11	116	4	0	-1
49999	天下第一	50054	14	17	34	26	4	0	-1
50000	天下第一	50054	24	43	55	60	4	0	-1
50001	天下第一	50054	73	56	93	69	4	0	-1
50002	攻城战(攻方复活点)	50129	100	97	144	108	4	0	-1
50003	攻城战(守方复活点)	50129	40	65	57	69	4	0	-1
50004	天工熔炉	60100	20	35	27	41	4	0	-1
60001	初级强盗之家	60008	77	34	78	35	4	0	-1
60002	高级强盗之家	60009	77	34	78	35	4	0	-1
60003	江山如画强盗之家	60010	77	34	78	35	4	0	-1
70010	激情泡点（复活安全区）	50153	1	34	21	51	1	0	-1
70011	夜叉降临（复活区）	50161	14	34	47	61	4	0	-1
70012	星脉秘境（复活安全区1）	60018	1	62	39	100	1	0	-1
70013	星脉秘境（复活安全区2）	60018	1	1	246	46	1	0	-1
70014	星脉秘境（复活安全区3）	60018	130	1	246	55	1	0	-1
70015	星脉秘境（复活安全区4）	60018	1	300	91	343	1	0	-1
70016	星脉秘境（复活安全区5）	60018	39	287	114	343	1	0	-1
70017	星脉秘境（复活安全区6）	60018	192	192	246	343	1	0	-1
70018	公会复活点	80001	31	44	48	60	4	0	-1
70019	王权之塔一层	60021	45	49	75	79	4	0	-1
70020	王权之塔二层	60022	45	49	75	79	4	0	-1
70021	王权之塔三层	60023	45	49	75	79	4	0	-1
70022	王权之塔四层	60024	45	49	75	79	4	0	-1
70023	王权之塔五层	60025	5	8	90	85	4	0	-1
70024	王权之塔六层	60026	5	8	90	85	4	0	-1
70025	王权之塔七层	60027	5	8	90	85	4	0	-1
70026	王权之塔八层	60028	5	8	90	85	4	0	-1
70027	王权之塔九层	60029	5	10	57	60	4	0	-1
