INT	STRING
id	content
1	我曾经也是一个英雄，直到我膝盖中了一箭
2	我曾经也是一个英雄，直到我膝盖中了一箭
3	唯有亡者才是主宰！
4	我曾经也是一个英雄，直到我膝盖中了一箭
5	我曾经也是一个英雄，直到我膝盖中了一箭
6	我曾经也是一个英雄，直到我膝盖中了一箭
7	我曾经也是一个英雄，直到我膝盖中了一箭
8	渺小的人类也敢来挑衅我？
9	死吧，死吧！
10	以奇奇大魔王之名审判你，受死吧！
11	吾乃黑鸦，奉奇奇大魔王之命，镇守二重魔界！凡人滚粗！
12	吾乃鬼蝎，奉奇奇大魔王之命，镇守三重魔界！凡人滚粗！
13	吾乃囚牛，奉奇奇大魔王之命，镇守四重魔界！凡人滚粗！
14	BOSS掉落极品装备，可以兑换充值货币！
15	我曾经也是一个英雄，直到我膝盖中了一箭
16	我曾经也是一个英雄，直到我膝盖中了一箭
17	吾乃灵犀，奉奇奇大魔王之命，镇守五重魔界！凡人滚粗！
18	死吧！死吧！死吧！
19	自从人类学会了切割，我们魔族都混不下去了！
20	切割升满可以无限冰冻，我们老大来了也打不过啊！
21	人类用切割来打压我们,装备宝藏都被抢去了！
22	什么？你的切割居然会附带冰冻！
23	你小子的切割竟然到了这种境界,可以将我冰冻住！
