INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT
group_id	item_id	item_class	Count	bind_type	Weight	probability	cost_type	cost_value	LimitTime	DropTimes	BeginDate	EndDate	JiLu	FestivalGroupId
1	250	1	1	0	0	1000	0	0	0	0	0	0	0	0
2	251	1	1	0	0	1000	0	0	0	0	0	0	0	0
3	252	1	1	0	0	1000	0	0	0	0	0	0	0	0
4	253	1	1	0	0	1000	0	0	0	0	0	0	0	0
5	254	1	1	0	0	1000	0	0	0	0	0	0	0	0
6	255	1	1	0	0	1000	0	0	0	0	0	0	0	0
7	256	1	1	0	0	1000	0	0	0	0	0	0	0	0
8	257	1	1	0	0	1000	0	0	0	0	0	0	0	0
9	251	1	1	0	0	800	0	0	0	0	0	0	0	0
9	252	1	1	0	0	150	0	0	0	0	0	0	0	0
9	253	1	1	0	0	50	0	0	0	0	0	0	0	0
10	252	1	1	0	0	800	0	0	0	0	0	0	0	0
10	253	1	1	0	0	150	0	0	0	0	0	0	0	0
10	254	1	1	0	0	50	0	0	0	0	0	0	0	0
11	253	1	1	0	0	800	0	0	0	0	0	0	0	0
11	254	1	1	0	0	150	0	0	0	0	0	0	0	0
11	255	1	1	0	0	50	0	0	0	0	0	0	0	0
12	254	1	1	0	0	800	0	0	0	0	0	0	0	0
12	255	1	1	0	0	150	0	0	0	0	0	0	0	0
12	256	1	1	0	0	50	0	0	0	0	0	0	0	0
13	255	1	1	0	0	1000	0	0	0	0	0	0	0	0
13	256	1	1	0	0	1000	0	0	0	0	0	0	0	0
13	257	1	1	0	0	1000	0	0	0	0	0	0	0	0
14	577	1	1	0	0	1000	0	0	0	0	0	0	0	0
50	260	1	1	0	0	1000	0	0	0	0	0	0	0	0
51	261	1	1	0	0	1000	0	0	0	0	0	0	0	0
52	262	1	1	0	0	1000	0	0	0	0	0	0	0	0
53	263	1	1	0	0	1000	0	0	0	0	0	0	0	0
54	264	1	1	0	0	1000	0	0	0	0	0	0	0	0
55	10008	1	1	0	0	1000	0	0	0	0	0	0	0	0
56	10007	1	1	0	0	1000	0	0	0	0	0	0	0	0
57	10006	1	1	0	0	1000	0	0	0	0	0	0	0	0
58	10003	1	1	0	0	1000	0	0	0	0	0	0	0	0
59	10009	1	1	0	0	1000	0	0	0	0	0	0	0	0
60	260	1	1	0	0	1000	0	0	0	0	0	0	0	0
61	261	1	1	0	0	1000	0	0	0	0	0	0	0	0
62	262	1	1	0	0	1000	0	0	0	0	0	0	0	0
63	263	1	1	0	0	1000	0	0	0	0	0	0	0	0
64	264	1	1	0	0	1000	0	0	0	0	0	0	0	0
65	265	1	1	0	0	1000	0	0	0	0	0	0	0	0
66	266	1	1	0	0	1000	0	0	0	0	0	0	0	0
67	267	1	1	0	0	1000	0	0	0	0	0	0	0	0
70	10017	1	1	0	0	1000	0	0	0	0	0	0	0	0
71	10024	1	1	0	0	1000	0	0	0	0	0	0	0	0
72	10023	1	1	0	0	1000	0	0	0	0	0	0	0	0
101	270	1	1	0	0	1000	0	0	0	0	0	0	0	0
102	271	1	1	0	0	1000	0	0	0	0	0	0	0	0
103	272	1	1	0	0	1000	0	0	0	0	0	0	0	0
104	273	1	1	0	0	1000	0	0	0	0	0	0	0	0
105	274	1	1	0	0	1000	0	0	0	0	0	0	0	0
106	275	1	1	0	0	1000	0	0	0	0	0	0	0	0
201	25	9	1	0	0	1000	0	0	0	0	0	0	0	0
1001	514	1	1	0	0	0	0	0	0	0	0	0	0	0
1001	515	1	1	0	0	0	0	0	0	0	0	0	0	0
1002	516	1	1	0	0	0	0	0	0	0	0	0	0	0
1002	517	1	1	0	0	0	0	0	0	0	0	0	0	0
1003	518	1	1	0	0	0	0	0	0	0	0	0	0	0
1003	519	1	1	0	0	0	0	0	0	0	0	0	0	0
1004	520	1	1	0	0	0	0	0	0	0	0	0	0	0
1005	301	1	1	0	0	1000	0	0	0	0	0	0	0	0
1006	302	1	1	0	0	300	0	0	0	0	0	0	0	0
1007	303	1	1	0	0	300	0	0	0	0	0	0	1	0
1008	304	1	1	0	0	300	0	0	0	0	0	0	2	0
1009	501	1	1	1	0	1000	0	0	0	0	0	0	0	0
1010	504	1	1	1	0	1000	0	0	0	0	0	0	0	0
1011	575	1	1	0	0	1000	0	0	0	0	0	0	0	0
1012	300	1	1	0	0	1000	0	0	0	0	0	0	0	0
1013	575	1	1	1	0	1000	0	0	0	0	0	0	0	0
1020	300	1	1	1	0	1000	0	0	0	0	0	0	0	0
1021	501	1	1	1	0	1000	0	0	0	0	0	0	0	0
1022	504	1	1	1	0	1000	0	0	0	0	0	0	0	0
1023	308	1	1	1	0	1000	0	0	0	0	0	0	0	0
1024	502	1	1	1	0	1000	0	0	0	0	0	0	0	0
1025	300	1	1	1	0	1000	0	0	0	0	0	0	0	0
1026	99999	2	1	1	0	1000	0	0	0	0	0	0	0	0
1027	16	1	1	1	0	300	0	0	0	0	0	0	0	0
1028	601	1	1	1	0	1000	0	0	0	0	0	0	0	0
1029	638	1	1	1	0	500	0	0	0	0	0	0	195	0
1029	638	1	1	0	0	500	0	0	0	0	0	0	195	0
1030	619	1	1	0	0	300	0	0	0	0	0	0	196	0
1030	620	1	1	0	0	300	0	0	0	0	0	0	197	0
1030	621	1	1	0	0	300	0	0	0	0	0	0	198	0
1031	640	1	1	0	0	1000	0	0	0	0	0	0	209	0
1032	623	1	1	0	0	300	0	0	0	0	0	0	199	0
1032	624	1	1	0	0	300	0	0	0	0	0	0	200	0
1032	625	1	1	0	0	300	0	0	0	0	0	0	201	0
1033	641	1	1	0	0	1000	0	0	0	0	0	0	210	0
1034	627	1	1	0	0	300	0	0	0	0	0	0	202	0
1034	628	1	1	0	0	300	0	0	0	0	0	0	203	0
1034	629	1	1	0	0	300	0	0	0	0	0	0	204	0
1035	642	1	1	0	0	1000	0	0	0	0	0	0	211	0
1036	631	1	1	0	0	300	0	0	0	0	0	0	205	0
1036	632	1	1	0	0	300	0	0	0	0	0	0	206	0
1036	633	1	1	0	0	300	0	0	0	0	0	0	207	0
1037	643	1	1	0	0	1000	0	0	0	0	0	0	212	0
1038	564	1	1	1	0	1000	0	0	0	0	0	0	0	0
1039	507	1	1	1	0	1000	0	0	0	0	0	0	0	0
1040	510	1	1	1	0	1000	0	0	0	0	0	0	0	0
1041	8000	3	1	1	0	500	0	0	0	0	0	0	0	0
1041	8200	3	1	1	0	500	0	0	0	0	0	0	0	0
1042	8000	3	1	1	0	300	0	0	0	0	0	0	0	0
1042	8100	3	1	1	0	400	0	0	0	0	0	0	0	0
1042	8200	3	1	1	0	300	0	0	0	0	0	0	0	0
1043	8000	3	1	1	0	250	0	0	0	0	0	0	0	0
1043	8100	3	1	1	0	250	0	0	0	0	0	0	0	0
1043	8200	3	1	1	0	250	0	0	0	0	0	0	0	0
1043	8300	3	1	1	0	250	0	0	0	0	0	0	0	0
1044	8001	3	1	1	0	300	0	0	0	0	0	0	0	0
1044	8101	3	1	1	0	400	0	0	0	0	0	0	0	0
1044	8201	3	1	1	0	300	0	0	0	0	0	0	0	0
1045	8001	3	1	1	0	250	0	0	0	0	0	0	0	0
1045	8101	3	1	1	0	250	0	0	0	0	0	0	0	0
1045	8201	3	1	1	0	250	0	0	0	0	0	0	0	0
1045	8301	3	1	1	0	250	0	0	0	0	0	0	0	0
1046	8002	3	1	1	0	250	0	0	0	0	0	0	0	0
1046	8102	3	1	1	0	250	0	0	0	0	0	0	0	0
1046	8202	3	1	1	0	250	0	0	0	0	0	0	0	0
1046	8302	3	1	1	0	250	0	0	0	0	0	0	0	0
1047	8003	3	1	1	0	250	0	0	0	0	0	0	0	0
1047	8103	3	1	1	0	250	0	0	0	0	0	0	0	0
1047	8203	3	1	1	0	250	0	0	0	0	0	0	0	0
1047	8303	3	1	1	0	250	0	0	0	0	0	0	0	0
1048	759	1	1	0	0	1000	0	0	0	0	0	0	0	0
1049	305	1	1	0	0	1000	0	0	0	0	0	0	219	0
1050	511	1	1	1	0	1000	0	0	0	0	0	0	0	0
1051	7093	1	1	1	0	1000	0	0	0	0	0	0	0	0
1052	21	1	1	1	0	1000	0	0	0	0	0	0	0	0
2001	254	1	1	1	0	1000	0	0	0	0	0	0	0	0
2002	411	1	1	1	0	170	0	0	0	0	0	0	0	0
2002	412	1	1	1	0	170	0	0	0	0	0	0	0	0
2002	413	1	1	1	0	170	0	0	0	0	0	0	0	0
2002	414	1	1	1	0	170	0	0	0	0	0	0	0	0
2002	415	1	1	1	0	160	0	0	0	0	0	0	0	0
2002	417	1	1	1	0	160	0	0	0	0	0	0	0	0
2003	569	1	1	1	0	1000	0	0	0	0	0	0	0	0
2004	571	1	1	1	0	1000	0	0	0	0	0	0	0	0
2005	572	1	1	1	0	1000	0	0	0	0	0	0	0	0
2006	409	1	1	1	0	1000	0	0	0	0	0	0	0	0
2007	255	1	1	1	0	1000	0	0	0	0	0	0	0	0
2008	585	1	1	1	0	1000	0	0	0	0	0	0	0	0
2009	586	1	1	1	0	1000	0	0	0	0	0	0	0	0
2010	587	1	1	1	0	1000	0	0	0	0	0	0	0	0
2011	588	1	1	1	0	1000	0	0	0	0	0	0	0	0
2012	589	1	1	1	0	1000	0	0	0	0	0	0	0	0
2013	590	1	1	1	0	1000	0	0	0	0	0	0	0	0
2014	591	1	1	1	0	1000	0	0	0	0	0	0	0	0
2015	592	1	1	1	0	1000	0	0	0	0	0	0	0	0
2016	593	1	1	1	0	1000	0	0	0	0	0	0	0	0
2017	594	1	1	1	0	1000	0	0	0	0	0	0	0	0
2018	595	1	1	1	0	1000	0	0	0	0	0	0	0	0
2019	596	1	1	1	0	1000	0	0	0	0	0	0	0	0
2020	724	1	1	1	0	500	0	0	0	0	0	0	0	0
2021	724	1	1	1	0	1000	0	0	0	0	0	0	0	0
2022	725	1	1	1	0	1000	0	0	0	0	0	0	0	0
2023	726	1	1	1	0	1000	0	0	0	0	0	0	0	0
20001	10002	2	1	0	0	210	0	0	0	0	0	0	0	0
20001	10003	2	1	0	0	210	0	0	0	0	0	0	0	0
20001	10004	2	1	0	0	100	0	0	0	0	0	0	0	0
20001	10005	2	1	0	0	110	0	0	0	0	0	0	0	0
