INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
mid	group_id	probability	begin_time	end_time	repeat	Job	GrowLevel	dropType	bind_type	hard	quality	Chapter	DropLimit
13	30001	1000000	0	1439	2	0	0	0	0	0	0	0	0
13	30002	1000000	0	1439	2	0	0	0	0	0	0	0	0
13	30003	1000000	0	1439	2	0	0	0	0	0	0	0	0
13	30004	1000000	0	1439	2	0	0	0	0	0	0	0	0
13	30006	1000000	0	1439	2	0	0	0	0	0	0	0	0
13	30007	1000000	0	1439	2	0	0	0	0	0	0	0	0
13	30008	1000000	0	1439	2	0	0	0	0	0	0	0	0
13	30009	1000000	0	1439	2	0	0	0	0	0	0	0	0
13	1023	1000000	0	1439	5	0	0	0	0	0	0	0	0
13	1021	0	0	1439	1	0	0	0	0	0	0	0	0
13	1026	0	0	1439	1	0	0	0	0	0	0	0	0
20	30011	1000000	0	1439	2	0	0	0	0	0	0	0	0
20	30012	1000000	0	1439	2	0	0	0	0	0	0	0	0
20	30013	1000000	0	1439	2	0	0	0	0	0	0	0	0
20	30014	1000000	0	1439	2	0	0	0	0	0	0	0	0
20	30016	1000000	0	1439	2	0	0	0	0	0	0	0	0
20	30017	1000000	0	1439	2	0	0	0	0	0	0	0	0
20	30018	1000000	0	1439	2	0	0	0	0	0	0	0	0
20	30019	1000000	0	1439	2	0	0	0	0	0	0	0	0
20	1023	1000000	0	1439	9	0	0	0	0	0	0	0	0
20	1022	0	0	1439	1	0	0	0	0	0	0	0	0
21	30065	1000000	0	1439	1	0	0	0	0	0	0	0	0
21	30061	1000000	0	1439	1	0	0	0	0	0	0	0	0
21	30062	1000000	0	1439	1	0	0	0	0	0	0	0	0
21	30063	1000000	0	1439	1	0	0	0	0	0	0	0	0
21	30034	1000000	0	1439	2	0	0	0	0	0	0	0	0
21	30026	1000000	0	1439	2	0	0	0	0	0	0	0	0
21	30027	1000000	0	1439	2	0	0	0	0	0	0	0	0
21	30028	1000000	0	1439	2	0	0	0	0	0	0	0	0
21	1020	1000000	0	1439	8	0	0	0	0	0	0	0	0
22	1023	1000000	0	1439	30	0	0	0	0	0	0	0	0
23	1023	1000000	0	1439	30	0	0	0	0	0	0	0	0
24	1023	1000000	0	1439	30	0	0	0	0	0	0	0	0
25	1023	1000000	0	1439	30	0	0	0	0	0	0	0	0
26	1025	350000	0	1439	1	0	0	0	0	0	0	0	0
27	1025	350000	0	1439	1	0	0	0	0	0	0	0	0
28	1025	400000	0	1439	1	0	0	0	0	0	0	0	0
29	1025	400000	0	1439	1	0	0	0	0	0	0	0	0
30	1025	350000	0	1439	1	0	0	0	0	0	0	0	0
31	1025	350000	0	1439	1	0	0	0	0	0	0	0	0
32	1025	400000	0	1439	1	0	0	0	0	0	0	0	0
33	1025	400000	0	1439	1	0	0	0	0	0	0	0	0
9996	1012	400000	0	1439	1	0	0	0	0	0	0	0	0
9996	50	500000	0	1439	2	0	0	0	0	0	0	0	0
9996	101	0	0	1439	2	0	0	0	0	0	0	0	0
9996	20001	100000	0	1439	1	0	0	0	0	0	0	0	0
9996	20002	100000	0	1439	1	0	0	0	0	0	0	0	0
9996	20003	200000	0	1439	1	0	0	0	0	0	0	0	0
9996	20004	100000	0	1439	1	0	0	0	0	0	0	0	0
9996	20005	50000	0	1439	1	0	0	0	0	0	0	0	0
9996	20006	300000	0	1439	1	0	0	0	0	0	0	0	0
9996	20007	100000	0	1439	1	0	0	0	0	0	0	0	0
9996	20008	50000	0	1439	1	0	0	0	0	0	0	0	0
9996	20009	50000	0	1439	1	0	0	0	0	0	0	0	0
9996	20010	300000	0	1439	1	0	0	0	0	0	0	0	0
9996	20011	100000	0	1439	1	0	0	0	0	0	0	0	0
9996	20012	32000	0	1439	1	0	0	0	0	0	0	0	0
9996	20013	25600	0	1439	1	0	0	0	0	0	0	0	0
9996	20014	20480	0	1439	1	0	0	0	0	0	0	0	0
