INT	STRING	INT	INT	INT	STRING
id	name	movie_id	time_line	type	data
1	开始	1	10	1	0
2	结束	1	10	2	电影结束！
3	移动测试	3	0	1	1
4	移动测试	3	60	33	20002:0:0:10000
5	移动测试	3	200	2	-1
10	开始	10	0	1	1
11	结束	10	50	3	53000
20	开始	20	0	1	1
21	发黑	20	0	23	0x000000:0
22	发黑	20	20	25	-1
23	发黑	20	1	33	20008:9:281:1500
35	结束	20	30	2	原来是一个梦……
50	主城剧情2	50	0	1	0
51	主城剧情2建立角色1	50	1	11	1:10:10012:128:158:100:100:0
52	主城剧情2角色1朝向	50	2	19	10:01
53	主城剧情2角色1说话	50	10	16	10:2:太天真了少年！
54	主城剧情2角色1说话	50	30	16	10:2:你以为这个游戏里真的有这么多人么？
55	主城剧情2角色1说话	50	60	16	10:2:其实都只是我一个人开的小号而已！
56	主城剧情2角色1说话	50	90	16	10:2:不信？我换号给你看！
58	主城剧情2角色1说话	50	120	16	10:2:等着！
59	主城剧情2角色1说话	50	145	15	10:02
60	主城剧情2建立角色2	50	200	11	1:11:10013:129:156:100:100:0
61	主城剧情2角色1朝向	50	201	19	11:01
62	主城剧情2角色1说话	50	210	16	11:2:太天真了少年！
63	主城剧情2角色1说话	50	230	16	11:2:你以为这个游戏里真的有这么多人么？
64	主城剧情2角色1说话	50	260	16	11:2:其实都只是我一个人开的小号而已！
65	主城剧情2角色1说话	50	290	16	11:2:不信？我换号给你看！
66	主城剧情2角色1说话	50	310	16	10:2:等着！
67	主城剧情2角色1说话	50	333	15	11:02
70	结束	50	400	3	50
101	玩家跳开始	101	0	1	1
102	玩家移动	101	1	32	20008:40:80:0
103	玩家跳	101	92	32	20008:47:64:1
104	玩家移动	101	142	32	20008:49:66:0
105	玩家跳	101	160	32	20008:56:65:1
106	玩家移动	101	210	32	20008:62:55:0
107	结束	101	250	2	-1
111	鬼谷结界开始	111	0	1	1
112	移动镜头	111	2	33	20008:61:152:3000
113	添加法阵	111	1	11	1:1001:4005:61:164:100:100:60
114	怪物朝向	111	2	19	1001:05:00
115	法阵生成	111	77	13	1001
116	法阵朝向	111	90	19	1001:00:00
117	法阵朝向	111	90	18	1001
121	闪1	111	89	23	0xffffff:1
122	闪2	111	91	25	-1
131	法阵攻击	111	110	19	1001:01:00
151	添加弟子	111	1	11	1:1002:50021:58:156:100:100:60
152	弟子转向	111	2	19	1002:01:00
153	添加弟子	111	1	11	1:1003:50021:58:167:100:100:60
154	弟子转向	111	2	19	1003:03:00
155	添加弟子	111	1	11	1:1004:50021:63:159:100:100:60
156	弟子转向	111	2	19	1004:07:00
157	弟子说话	111	30	16	1003:2:守住防线！立即建立结界！
158	弟子说话	111	50	16	1002:2:为了防止世界被破坏！
159	弟子说话	111	60	16	1004:2:为了守护世界的和平！
160	弟子说话	111	70	16	1003:2:出来吧！鬼谷统御结界！
161	弟子说话	111	100	16	1003:2:魑魅魍魉，尽皆退散！
162	弟子说话	111	140	16	1002:2:很好！这样魏军就无法攻击了！
177	移动镜头	111	180	23	0x000000:1
178	移动镜头	111	200	25	-1
179	移动镜头	111	170	33	20008:44:162:3000
180	结束	111	220	2	1008
1000	开始	1000	0	1	0
1001	添加玩家	1000	10	11	1:1:10011:97:313:100:100:100
1002	怪物朝向	1000	20	19	1:01
1003	怪物说话	1000	100	16	1:2:出售国君账号，游戏元宝，各种高阶装备和外挂~
1004	怪物说话	1000	200	16	1:2:详情请加好友私聊，要的速度啦~~~
1005	添加卫兵	1000	10	11	1:2:11001:120:323:100:100:100
1006	卫兵移动	1000	20	12	2:2:120:323:114:307:114:307:-1
1007	卫兵移动	1000	66	12	2:2:114:307:104:330:104:330:-1
1008	卫兵站立	1000	144	18	2
1009	怪物说话	1000	140	16	1:2:出售国君账号，游戏元宝，各种高阶装备和外挂~
1010	怪物说话	1000	160	16	1:2:详情请加好友私聊，要的速度啦~~~
1011	卫兵移动	1000	180	12	2:2:104:330:99:321:99:321:-1
1012	卫兵站立	1000	215	18	2
1013	卫兵说话	1000	220	16	2:2:那谁谁！你在做什么？！
1014	玩家说话	1000	230	16	1:2:啊？啊？没什么啊？
1015	卫兵说话	1000	250	16	2:2:胡说！我都听到了！
1016	卫兵说话	1000	270	16	2:2:铁证如山！删号！
1017	卫兵攻击	1000	275	13	2
1018	玩家死亡	1000	280	16	1:2:不……啊！！
1019	玩家死亡	1000	290	14	1
1020	卫兵转向	1000	310	19	2:00
1021	卫兵说话	1000	320	16	2:2:各位尊敬的玩家！
1022	卫兵说话	1000	340	16	2:2:为了保护您的切身权益，请不要买卖帐号。
1023	卫兵站立	1000	295	18	2
1024	删除卫兵	1000	390	15	2:02
1025	删除玩家	1000	390	15	1:02
1030	循环播放	1000	400	3	1000
1050	吴蜀巡逻开始	1050	0	1	-1
1051	蜀军巡逻建立骑兵	1050	40	11	1:121:6002:114:226:100:100:40
1052	蜀军巡逻骑兵移动1	1050	41	12	121:2:114:226:104:205:104:205:-1
1053	蜀军巡逻骑兵移动2	1050	156	12	121:2:104:205:95:186:95:186:-1
1054	蜀军巡逻骑兵移动3	1050	255	12	121:2:95:186:87:171:87:171:-1
1055	蜀军巡逻骑兵移动4	1050	332	12	121:2:87:171:95:186:95:186:-1
1056	蜀军巡逻骑兵移动5	1050	409	12	121:2:95:186:104:205:104:205:-1
1057	蜀军巡逻骑兵移动6	1050	509	12	121:2:104:205:114:226:114:226:-1
1059	蜀军巡逻移除骑兵	1050	623	15	121:02:00
1060	蜀军巡逻建立骑兵	1050	40	11	1:122:6002:112:229:100:100:40
1061	蜀军巡逻骑兵移动1	1050	41	12	122:2:112:229:102:209:102:209:-1
1062	蜀军巡逻骑兵移动2	1050	152	12	122:2:102:209:93:190:93:190:-1
1063	蜀军巡逻骑兵移动3	1050	251	12	122:2:93:190:85:177:85:177:-1
1064	蜀军巡逻骑兵移动4	1050	321	12	122:2:85:177:93:190:93:190:-1
1065	蜀军巡逻骑兵移动5	1050	391	12	122:2:93:190:102:209:102:209:-1
1066	蜀军巡逻骑兵移动6	1050	491	12	122:2:102:209:112:229:112:229:-1
1068	蜀军巡逻移除骑兵	1050	602	15	122:02:00
1201	吴军巡逻建立骑兵	1050	40	11	1:101:6004:49:102:100:100:40
1202	吴军巡逻骑兵移动1	1050	41	12	101:2:49:102:61:123:61:123:-1
1203	吴军巡逻骑兵移动2	1050	171	12	101:2:61:123:73:144:73:144:-1
1204	吴军巡逻骑兵移动3	1050	301	12	101:2:73:144:86:168:86:168:-1
1205	吴军巡逻骑兵移动4	1050	450	12	101:2:86:168:73:144:73:144:-1
1206	吴军巡逻骑兵移动5	1050	599	12	101:2:73:144:61:123:61:123:-1
1207	吴军巡逻骑兵移动6	1050	729	12	101:2:61:123:49:102:49:102:-1
1209	吴军巡逻移除骑兵	1050	859	15	101:02:00
1210	吴军巡逻建立骑兵	1050	40	11	1:102:6004:48:106:100:100:40
1211	吴军巡逻骑兵移动1	1050	41	12	102:2:48:106:60:126:60:126:-1
1212	吴军巡逻骑兵移动2	1050	168	12	102:2:60:126:71:149:71:149:-1
1213	吴军巡逻骑兵移动3	1050	297	12	102:2:71:149:84:174:84:174:-1
1214	吴军巡逻骑兵移动4	1050	450	12	102:2:84:174:71:149:71:149:-1
1215	吴军巡逻骑兵移动5	1050	602	12	102:2:71:149:60:126:60:126:-1
1216	吴军巡逻骑兵移动6	1050	732	12	102:2:60:126:48:106:48:106:-1
1218	吴军巡逻移除骑兵	1050	858	15	102:02:00
1350	吴军巡逻结束	1050	2000	3	1050
1400	中间骑兵巡逻	1400	0	1	0
1401	中间骑兵 建立骑兵1	1400	40	11	1:141:6004:13:321:100:100:40
1402	中间骑兵 骑兵1移动1	1400	41	12	141:2:13:321:24:295:24:295:-1
1403	中间骑兵 骑兵1移动2	1400	183	12	141:2:24:295:40:261:40:261:-1
1404	中间骑兵 骑兵1移动3	1400	392	12	141:2:40:261:55:233:55:233:-1
1405	中间骑兵 骑兵1移动4	1400	571	12	141:2:55:233:72:202:72:202:-1
1406	中间骑兵 骑兵1移动5	1400	776	12	141:2:72:202:85:169:85:169:-1
1407	中间骑兵 骑兵1移动6	1400	960	12	141:2:85:169:96:142:96:142:-1
1408	中间骑兵 骑兵1移动7	1400	1106	12	141:2:96:142:105:125:105:125:-1
1409	中间骑兵 骑兵1移动8	1400	1218	12	141:2:105:125:92:99:92:99:-1
1410	中间骑兵 骑兵1移动9	1400	1374	12	141:2:92:99:82:80:82:80:-1
1415	中间骑兵 骑兵1消失	1400	1481	15	141:02:00
1416	中间骑兵 建立骑兵2	1400	80	11	1:142:6004:13:321:100:100:40
1417	中间骑兵 骑兵2移动2	1400	81	12	142:2:13:321:24:295:24:295:-1
1418	中间骑兵 骑兵2移动1	1400	223	12	142:2:24:295:40:261:40:261:-1
1419	中间骑兵 骑兵2移动3	1400	432	12	142:2:40:261:55:233:55:233:-1
1420	中间骑兵 骑兵2移动4	1400	611	12	142:2:55:233:72:202:72:202:-1
1421	中间骑兵 骑兵2移动5	1400	816	12	142:2:72:202:85:169:85:169:-1
1422	中间骑兵 骑兵2移动6	1400	1000	12	142:2:85:169:96:142:96:142:-1
1423	中间骑兵 骑兵2移动7	1400	1146	12	142:2:96:142:105:125:105:125:-1
1424	中间骑兵 骑兵2移动8	1400	1258	12	142:2:105:125:92:99:92:99:-1
1425	中间骑兵 骑兵2移动9	1400	1414	12	142:2:92:99:82:80:82:80:-1
1430	中间骑兵 骑兵2消失	1400	1521	15	142:02:00
1431	中间骑兵 建立骑兵3	1400	120	11	1:143:6004:13:321:100:100:40
1432	中间骑兵 骑兵3移动2	1400	121	12	143:2:13:321:24:295:24:295:-1
1433	中间骑兵 骑兵3移动1	1400	263	12	143:2:24:295:40:261:40:261:-1
1434	中间骑兵 骑兵3移动3	1400	472	12	143:2:40:261:55:233:55:233:-1
1435	中间骑兵 骑兵3移动4	1400	651	12	143:2:55:233:72:202:72:202:-1
1436	中间骑兵 骑兵3移动5	1400	856	12	143:2:72:202:85:169:85:169:-1
1437	中间骑兵 骑兵3移动6	1400	1040	12	143:2:85:169:96:142:96:142:-1
1438	中间骑兵 骑兵3移动7	1400	1186	12	143:2:96:142:105:125:105:125:-1
1439	中间骑兵 骑兵3移动8	1400	1298	12	143:2:105:125:92:99:92:99:-1
1440	中间骑兵 骑兵3移动9	1400	1454	12	143:2:92:99:82:80:82:80:-1
1445	中间骑兵 骑兵3消失	1400	1561	15	143:02:00
1491	中间骑兵 骑兵1移动6	1400	250	16	141:2:认真点！快排好队形！
1492	中间骑兵 骑兵1说话	1400	290	16	151:2:昨天晚上打乾坤图，一不小心通宵了……
1493	中间骑兵 骑兵1说话	1400	330	16	152:2:然后？
1494	中间骑兵 骑兵1说话	1400	370	16	151:2:灭了一晚上……
1495	中间骑兵 骑兵1说话	1400	410	16	152:2:废物……
1501	中间骑兵 建立骑兵4	1400	40	11	1:151:6002:16:329:100:100:40
1502	中间骑兵 骑兵4移动1	1400	41	12	151:2:16:329:27:306:27:306:-1
1503	中间骑兵 骑兵4移动2	1400	171	12	151:2:27:306:45:270:45:270:-1
1504	中间骑兵 骑兵4移动3	1400	402	12	151:2:45:270:58:243:58:243:-1
1505	中间骑兵 骑兵4移动4	1400	562	12	151:2:58:243:75:209:75:209:-1
1506	中间骑兵 骑兵4移动5	1400	779	12	151:2:75:209:88:176:88:176:-1
1507	中间骑兵 骑兵4移动6	1400	963	12	151:2:88:176:98:147:98:147:-1
1508	中间骑兵 骑兵4移动7	1400	1111	12	151:2:98:147:108:131:108:131:-1
1509	中间骑兵 骑兵4移动8	1400	1227	12	151:2:108:131:125:164:125:164:-1
1510	中间骑兵 骑兵4移动9	1400	1440	12	151:2:125:164:138:192:138:192:-1
1515	中间骑兵 骑兵4消失	1400	1604	15	151:02:00
1516	中间骑兵 建立骑兵5	1400	80	11	1:152:6002:16:329:100:100:40
1517	中间骑兵 骑兵5移动1	1400	81	12	152:2:16:329:27:306:27:306:-1
1518	中间骑兵 骑兵5移动2	1400	211	12	152:2:27:306:45:270:45:270:-1
1519	中间骑兵 骑兵5移动3	1400	442	12	152:2:45:270:58:243:58:243:-1
1520	中间骑兵 骑兵5移动4	1400	602	12	152:2:58:243:75:209:75:209:-1
1521	中间骑兵 骑兵5移动5	1400	819	12	152:2:75:209:88:176:88:176:-1
1522	中间骑兵 骑兵5移动6	1400	1003	12	152:2:88:176:98:147:98:147:-1
1523	中间骑兵 骑兵5移动7	1400	1151	12	152:2:98:147:108:131:108:131:-1
1524	中间骑兵 骑兵5移动8	1400	1267	12	152:2:108:131:125:164:125:164:-1
1525	中间骑兵 骑兵5移动9	1400	1480	12	152:2:125:164:138:192:138:192:-1
1530	中间骑兵 骑兵5消失	1400	1644	15	152:02:00
1531	中间骑兵 建立骑兵6	1400	120	11	1:153:6002:16:329:100:100:40
1532	中间骑兵 骑兵6移动1	1400	121	12	153:2:16:329:27:306:27:306:-1
1533	中间骑兵 骑兵6移动2	1400	251	12	153:2:27:306:45:270:45:270:-1
1534	中间骑兵 骑兵6移动3	1400	482	12	153:2:45:270:58:243:58:243:-1
1535	中间骑兵 骑兵6移动4	1400	642	12	153:2:58:243:75:209:75:209:-1
1536	中间骑兵 骑兵6移动5	1400	859	12	153:2:75:209:88:176:88:176:-1
1537	中间骑兵 骑兵6移动6	1400	1043	12	153:2:88:176:98:147:98:147:-1
1538	中间骑兵 骑兵6移动7	1400	1191	12	153:2:98:147:108:131:108:131:-1
1539	中间骑兵 骑兵6移动8	1400	1307	12	153:2:108:131:125:164:125:164:-1
1540	中间骑兵 骑兵6移动9	1400	1520	12	153:2:125:164:138:192:138:192:-1
1545	中间骑兵 骑兵6消失	1400	1684	15	153:02:00
1591	中间骑兵 骑兵4说话	1400	900	16	151:2:哟！这不是头脑简单的蜀兵么？！
1592	中间骑兵 骑兵4说话	1400	940	16	141:2:嘿！你好啊！弱不禁风的吴兵！
1593	中间骑兵 骑兵4说话	1400	980	16	151:2:如果这里不是中立区，哥就把你打到删号……
1594	中间骑兵 骑兵4说话	1400	1020	16	141:2:你就吹吧……
1599	中间骑兵 结束	1400	3600	3	1400
2000	开始	2000	0	1	0
2001	刷出魏兵	2000	1	11	1:1:50010:18:287:100:100:10
2002	刷出弟子	2000	1	11	1:2:50009:17:282:100:100:10
2003	魏兵转向	2000	2	19	1:05
2004	弟子转向	2000	2	19	2:01
2005	弟子攻击	2000	4	17	3004:2:2:0:37:48:1:1:2:5:0:0:0
2007	魏军攻击	2000	10	17	3001:1:2:0:37:48:1:2:2:5:0:0:0
2008	弟子攻击	2000	3	13	2
2010	魏军攻击	2000	3	13	1
2020	循环	2000	15	3	2000
2100	开始	2100	0	1	0
2101	添加魏军	2100	1	11	1:10:50012:67:227:100:100:120
2102	魏军移动	2100	1	12	10:2:67:227:62:215:62:215:-1
2103	魏军说话	2100	10	16	10:2:找到了！诸葛亮就在这里！
2104	魏军受击	2100	35	17	3007:10:2:0:37:48:1:10:2:999:0:0:0
2105	魏军死亡	2100	40	14	10
2106	魏军消失	2100	55	15	10:02
2107	结束	2100	120	3	2100
3000	开始	3000	0	1	0
3001	添加弟子	3000	1	11	1:3:50009:34:249:100:100:120
3002	弟子奔跑	3000	2	12	3:2:34:241:34:260:34:260:-1
3003	弟子奔跑	3000	28	12	3:2:34:260:25:281:25:281:-1
3004	弟子奔跑	3000	81	12	3:2:25:281:34:260:34:260:-1
3005	弟子站立	3000	134	12	3:2:34:260:34:241:34:241:-1
3010	添加魏兵	3000	10	11	1:31:50020:8:131:100:100:120
3011	魏兵移动	3000	11	12	31:2:8:131:10:118:10:118:-1
3012	魏兵移动	3000	28	12	31:2:10:118:9:87:9:87:-1
3013	魏兵被劈	3000	70	17	3007:31:2:0:0:0:1:31:2:10:0:0:0
3014	魏兵死亡	3000	75	14	31
3016	移除魏兵	3000	92	15	31:02:00
3099	循环	3000	161	3	3000
3200	巡游	3200	0	1	1
3201	开幕	3200	20	23	0x000000:1
3202	镜头移动	3200	31	33	20002:37:80:2000
3205	字幕	3200	30	24	新的胜利者在国君继位的血战后脱颖而出。:2:0xffffff
3206	落幕	3200	80	25	-1
3208	建立卫兵1	3200	1	11	1:1401:4001:31:91:100:100:60
3209	建立卫兵2	3200	1	11	1:1402:4001:30:94:100:100:60
3210	建立卫兵3	3200	1	11	1:1403:4001:28:97:100:100:60
3211	建立卫兵4	3200	1	11	1:1404:4001:27:100:100:100:60
3212	建立卫兵5	3200	1	11	1:1405:4001:39:75:100:100:60
3213	建立卫兵6	3200	1	11	1:1406:4001:41:72:100:100:60
3214	建立卫兵7	3200	1	11	1:1407:4001:42:69:100:100:60
3215	建立卫兵8	3200	1	11	1:1408:4001:44:66:100:100:60
3216	朝向卫兵1	3200	1	19	1401:01:00
3217	朝向卫兵2	3200	1	19	1402:01:00
3218	朝向卫兵3	3200	1	19	1403:01:00
3219	朝向卫兵4	3200	1	19	1404:01:00
3220	朝向卫兵5	3200	1	19	1405:01:00
3221	朝向卫兵6	3200	1	19	1406:01:00
