INT	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	STRING	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING	INT
id	name	title	title_icon	level	quality	mapid	x	y	func	func_extra	show_mini	full_mouse_on	default_dialog	bubble_dialog	body	half_body	head	Order	tips	name1	param	LoadType	Combined	titleHeight	Platform	event_dialog	Cost	XiuXian	MapOrNpc	Desc	body_rate
100	传送祭坛	-1	NpcTitle_47	99	0	50001	97	118	1	1055	1	0	你好，勇士，在这危急的时刻能看到你真是太好了	-1	11	npc106	gwdx01	1	传送祭坛	传送	-1	3	0	20	0	-1	-1	0	1	-1	4
101	医师	-1	NpcTitle_2	99	0	50001	80	119	1	1082	1	0	伟大的勇士，你又受伤了。|n来我这里治疗一发，保证你生龙又活虎！|n|n游戏中的BOSS会爆一切装备。|n只要你努力，一切皆有可能。	-1	316	npc106	gwdx01	1	回血医师	回血	-1	3	0	45	0	-1	-1	0	0	-1	4
102	林长生	-1	NpcTitle_63	99	0	50001	90	61	1	1111	1	0	程序猿在开山凿石，加班加点建设领地…… 敬请期待	-1	132	npc106	gwdx01	1	公会领地	传送	-1	3	0	20	0	-1	-1	0	0	-1	4
1001	晓竹	-1	-1	99	0	50001	125	171	1	0	0	0	一杯敬朝阳，一杯敬月光。唤醒我的向往，温柔了寒窗。	-1	334	npc106	gwdx01	1	预言家	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1002	帅帅	-1	-1	99	0	50001	121	128	1	0	0	0	别理我，我想静静，也别问我静静是谁。	-1	330	npc106	gwdx01	2	西方玫瑰	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1003	三金剑	村长	-1	99	0	50034	29	102	1	0	0	0	年轻时我也是能够仗剑走江湖，直到我膝盖中了一支箭	-1	315	npc106	gwdx01	1	村长	-1	11	3	0	-8	0	-1	-1	0	-1	-1	4
1004	超群	-1	-1	99	0	50034	54	102	1	0	0	0	少年可不要小看这扫地的事情，一屋不扫，何以扫天下。	-1	325	npc106	gwdx01	2	-1	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1005	永庆	-1	-1	99	0	50034	80	95	1	0	0	0	刚好打点材火回来，又累了一天。不知道家里的的材火今晚是否够了，家里的娘子和孩子是否安好。	-1	331	npc106	gwdx01	3	-1	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1006	舟可	-1	-1	99	0	50034	65	71	1	0	0	0	新鲜的水果咯，走过路过不要错过	-1	317	npc106	gwdx01	4	-1	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1007	朱开	-1	-1	99	0	50034	99	27	1	0	0	0	秀才遇上兵，有理说不清。我本来是想读书的，然后赴京赶考，然后高中状元，然后迎娶白富美，然后封王拜侯。可是有时候进了贼窝，身不由己！	-1	324	npc106	gwdx01	5	-1	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1008	周倩倩	-1	-1	99	0	50034	117	29	1	0	0	0	刀呢，我的开山大砍刀呢。等下又可以做一票了！	-1	341	npc106	gwdx01	6	-1	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1009	吴条	-1	-1	99	0	50034	133	61	1	0	0	0	思君思国思社稷，赏花赏月赏秋香。我已熬成了白头。	-1	338	npc106	gwdx01	7	-1	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1010	伟杰	-1	-1	99	0	50034	181	80	1	0	0	0	今朝有酒今朝醉，明日愁来明日愁。相信日子会越来越好的！	-1	339	npc106	gwdx01	8	-1	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1012	农丰裕	难民	-1	99	0	50001	192	203	1	0	0	0	天灾人祸，祸不单行。但是我依旧想活下去。好死不如赖活着，你说是吧。	-1	301	npc106	gwdx01	3	商人	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1013	伟龙	守卫	-1	99	0	50001	159	178	1	0	0	0	真正的勇士无所畏惧，敢于直面一切敌人。我即是我，不一样的烟火。	-1	312	npc106	gwdx01	4	流浪汉	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1014	清峰	-1	-1	99	0	50001	106	158	1	0	0	0	只与清风，明月为伴。我是一个快乐少年郎，不理世间凡俗事。	-1	323	npc106	gwdx01	5	流浪汉	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1015	小娴	-1	-1	99	0	50001	79	162	1	0	0	0	没有了货物，没有了马车，这日子还怎么过啊	-1	314	npc106	gwdx01	6	玻璃商人	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1016	问寒	-1	-1	99	0	50039	32	113	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	303	npc106	gwdx01	1	本	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1017	卢嵩	-1	-1	99	0	50039	88	120	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	304	npc106	gwdx01	2	乔布	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
1018	红叶	-1	-1	99	0	50039	107	100	1	0	0	0	我是个玻璃商人，一个满身痢疾的普通流浪汉	-1	343	npc106	gwdx01	3	托兰	-1	-1	3	0	-8	0	-1	-1	0	-1	-1	4
