INT	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING
id	name	collect	type	level	item	item_cost	start_hour	end_hour	gather_time	revive_time	head	body	navi_position	remove_effect	remove_effect_last	death_action	Class	JiFen	Bossid	BUFFID	DeadBody	TaskId	PickPanelItem
2	被封印的艾克佐迪亚	解除封印中开启中…	2	90	0	1500	0	23	3000	7200000	npc016	1004	-1	baoxiangEffect	0	0	0	-1	23	0	-1	0	-1
3	金猪宝箱	开启中…	0	1	59:2000|60:2000|61:2000|62:2000|63:2000	0	0	23	3000	7200000	npc016	1007	-1	baoxiangEffect	1	3000	0	-1	-1	0	-1	0	-1
4	宝箱	开启中…	0	1	0	0	0	23	3000	3000	npc016	1003	-1	baoxiangEffect	1	3000	0	-1	-1	0	-1	0	-1
5	圣水	洗礼中…	0	1	0	0	0	23	3000	0	npc016	6	-1	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
6	药箱	采集中…	0	1	0	0	0	23	3000	0	npc016	5	1001:115:167	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
7	熔浆池	汲取中…	0	1	0	0	0	23	3000	0	npc016	1003	1003:40:213	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
8	尸体	收集线索…	0	1	0	0	0	23	3000	0	npc016	8	1001:18:99	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
9	圣水洗礼	洗礼中…	0	1	0	0	0	23	3000	0	npc016	6	1007:44:20	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
10	日记	查看中…	0	1	0	0	0	23	3000	0	npc016	7	1008:75:334	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
11	战车	启动中…	0	1	11:10000	0	0	23	3000	0	npc016	3	2014:24:88	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
12	沙漠生存手册	查看中…	0	1	0	0	0	23	3000	0	npc016	7	1015:62:435	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
13	城主印	获取中…	0	1	0	0	0	23	3000	7200000	npc016	1003	-1	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
14	神选宝藏	开启中…	0	1	75:500|76:3000|77:4483|78:1000|79:700|80:200|81:1|82:1|83:1|84:1|85:1|86:1|87:1|88:1|89:1|90:1|91:1|92:1|93:1|94:1|95:1|96:1|97:1|98:100	0	0	23	10000	300000	npc016	1003	-1	baoxiangEffect	1	3000	0	-1	-1	0	-1	0	-1
15	攻城战车	启动中…	0	1	12:10000	0	0	23	3000	7200000	npc016	3	-1	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
16	神秘书籍	破解中…	0	1	12:10000	0	0	23	3000	7200000	npc016	9	-1	baoxiangEffect	0	0	0	-1	-1	0	-1	0	-1
17	狼图腾	获取中…	0	1	0	0	0	23	10000	1000	npc016	1011	-1	0	0	0	0	10	-1	232	-1	0	-1
18	狮图腾	获取中…	0	1	0	0	0	23	10000	1000	npc016	1010	-1	0	0	0	0	10	-1	233	-1	0	-1
19	虎图腾	获取中…	0	1	0	0	0	23	10000	1000	npc016	1008	-1	0	0	0	0	10	-1	234	-1	0	-1
20	风云碑	获取中…	0	1	0	0	0	23	10000	1000	npc016	1009	-1	0	0	0	0	20	-1	235	-1	0	-1
21	实验箱	开启中…	0	1	50:10000	0	0	23	3000	9000000	npc016	1001	-1	0	0	3000	0	-1	-1	0	-1	0	-1
22	城主雕像	膜拜中…	0	1	0	0	0	23	20000	300000	npc016	1012	50133:66:49|50133:46:30|50133:40:75|50133:91:24	0	0	0	0	-1	-1	0	1014	28003	-1
23	物资箱	采集中…	0	1	0	0	0	23	20000	300000	npc016	1013	50001:31:210|50001:45:31|50001:162:216	0	0	0	0	-1	-1	0	1015	28005	-1
24	器灵宝箱	撬锁中…	3	1	64:50|65:50|66:0|67:100|68:100|70:100|71:100|73:25|74:25|76:25|77:25	0	0	23	3000	600000	npc016	1016	-1	baoxiangEffect	1	3000	0	-1	-1	0	-1	0	-1
25	超级器灵宝箱	撬锁中…	3	1	78:14|79:136|80:136|81:14|82:136|83:136|84:10|85:102|86:102|87:10|88:102|89:102	0	0	23	3000	7200000	npc016	1017	-1	baoxiangEffect	1	3000	0	-1	-1	0	-1	0	-1
30	轮回宝箱	开启中…	4	1	501:4500|502:4500|503:1000	0	0	23	20000	300000	npc016	1019	-1	0	0	0	0	-1	-1	0	1020	0	-1
31	轮回宝箱	开启中…	4	1	504:4500|505:4500|506:1000	0	0	23	20000	300000	npc016	1019	-1	0	0	0	0	-1	-1	0	1020	0	-1
32	轮回宝箱	开启中…	4	1	507:3000|508:3000|509:3000|510:1000	0	0	23	20000	300000	npc016	1019	-1	0	0	0	0	-1	-1	0	1020	0	-1
33	轮回宝箱	开启中…	4	1	511:3000|512:3000|513:3000|514:1000	0	0	23	20000	300000	npc016	1019	-1	0	0	0	0	-1	-1	0	1020	0	-1
34	轮回宝箱	开启中…	4	1	515:2000|516:3000|517:2000|518:1000|519:2000	0	0	23	20000	300000	npc016	1019	-1	0	0	0	0	-1	-1	0	1020	0	-1
35	轮回宝箱	开启中…	4	1	520:2000|521:2000|522:2000|523:1000|524:1000|525:2000	0	0	23	20000	300000	npc016	1019	-1	0	0	0	0	-1	-1	0	1020	0	-1
36	轮回宝箱	开启中…	4	1	526:2000|527:2000|528:2000|529:1000|530:1000|531:2000	0	0	23	20000	300000	npc016	1019	-1	0	0	0	0	-1	-1	0	1020	0	-1
37	轮回宝箱	开启中…	4	1	532:2000|533:2000|534:2000|535:1000|536:1000|537:2000	0	0	23	20000	300000	npc016	1019	-1	0	0	0	0	-1	-1	0	1020	0	-1
38	轮回宝箱	开启中…	4	1	538:2000|539:2000|540:2000|541:1000|542:1000|543:2000	0	0	23	20000	300000	npc016	1019	-1	0	0	0	0	-1	-1	0	1020	0	-1
39	轮回宝箱	开启中…	4	1	544:2000|545:2000|546:2000|547:1000|548:1000|549:2000	0	0	23	20000	300000	npc016	1019	-1	0	0	0	0	-1	-1	0	1020	0	-1
40	秘境宝箱	开启中…	5	1	600:3000|601:2000|602:2000|603:2000|604:1000	0	0	23	30000	3000000	npc016	1018	-1	0	1	3000	0	-1	-1	0	-1	0	-1
41	镔铁矿	挖矿中…	6	1	605:10000	0	0	23	10000	0	npc016	109	-1	0	1	3000	0	-1	-1	0	-1	0	-1
42	振金矿	挖矿中…	6	1	606:10000	0	0	23	10000	0	npc016	110	-1	0	1	3000	0	-1	-1	0	-1	0	-1
43	小猪饲料	收集中…	7	1	0	0	0	23	30000	0	npc016	108	-1	0	1	0	0	-1	-1	0	-1	0	921:3000|922:3000|923:2000|924:2000
44	小猪饲料	收集中…	7	1	0	0	0	23	30000	0	npc016	107	-1	0	1	0	0	-1	-1	0	-1	0	921:3000|922:3000|923:2000|924:2000
45	斗士宝箱	开启中…	8	1	607:5000|608:2300|609:2300|610:400	0	0	23	10000	300000	npc016	1016	-1	0	0	0	0	-1	-1	0	-1	0	-1
46	王者宝箱	开启中…	8	1	607:5000|608:2300|609:2300|610:400	0	0	23	10000	300000	npc016	1021	-1	0	0	0	0	-1	-1	0	-1	0	-1
47	树苗	采集中…	0	1	616:10000	0	0	23	20000	999999999	npc016	1022	-1	0	0	0	0	-1	-1	0	-1	0	-1
48	水晶	采集中…	0	1	0	0	0	23	20000	300000	npc016	1005	-1	0	0	0	0	-1	-1	0	1023	0	-1
49	墓碑	祭拜中…	9	1	618:10000	0	0	23	30000	600000	npc016	1024	50133:76:60|50133:93:102|50133:32:109|50133:36:16|50133:119:13	0	0	0	0	-1	-1	0	1025	0	-1
50	稀有牡丹	采集中…	10	1	619:10000	0	0	23	20000	999999999	npc016	1026	-1	0	0	0	0	-1	-1	0	-1	0	-1
51	极品牡丹	采集中…	10	1	620:10000	0	0	23	40000	999999999	npc016	1027	-1	0	0	0	0	-1	-1	0	-1	0	-1
52	花王牡丹	采集中…	10	1	621:10000	0	0	23	80000	999999999	npc016	1028	-1	0	0	0	0	-1	-1	0	-1	0	-1
