INT	STRING	INT	INT	INT	INT	INT
Index	EffectName	MapId	StartX	StartY	EffectWidth	EffectHigh
1	SafeArea	50001	4685	3474	100	100
2	SafeArea	50001	4579	3546	100	100
3	SafeArea	50001	4473	3618	100	100
4	SafeArea	50001	4367	3690	100	100
5	SafeArea	50001	4261	3762	100	100
6	SafeArea	50001	4155	3834	100	100
7	SafeArea	50001	4049	3906	100	100
8	SafeArea	50001	3943	3978	100	100
9	SafeArea	50001	3845	4044	100	100
10	SafeArea	50001	4701	4604	100	100
11	SafeArea	50001	4594	4534	100	100
12	SafeArea	50001	4487	4464	100	100
13	SafeArea	50001	4380	4394	100	100
14	SafeArea	50001	4273	4324	100	100
15	SafeArea	50001	4166	4254	100	100
16	SafeArea	50001	4059	4184	100	100
17	SafeArea	50001	3952	4114	100	100
18	SafeArea	50001	3845	4044	100	100
19	SafeArea	50001	4701	4604	100	100
20	SafeArea	50001	4786	4548	100	100
21	SafeArea	50001	4881	4484	100	100
22	SafeArea	50001	4976	4420	100	100
23	SafeArea	50001	5071	4356	100	100
24	SafeArea	50001	5166	4292	100	100
25	SafeArea	50001	5261	4228	100	100
26	SafeArea	50001	5356	4164	100	100
27	SafeArea	50001	5451	4100	100	100
28	SafeArea	50001	5544	4033	100	100
29	SafeArea	50001	5434	3960	100	100
30	SafeArea	50001	5339	3898	100	100
31	SafeArea	50001	5244	3836	100	100
32	SafeArea	50001	5149	3774	100	100
33	SafeArea	50001	5054	3712	100	100
34	SafeArea	50001	4959	3650	100	100
35	SafeArea	50001	4864	3588	100	100
36	SafeArea	50001	4769	3526	100	100
37	point_orange	50153	1512	1003	100	100
38	point_purple	50153	1512	867	100	100
39	point_purple	50153	1224	1003	100	100
40	point_purple	50153	1512	1139	100	100
41	point_purple	50153	1800	1003	100	100
42	point_blue	50153	1224	833	100	100
43	point_blue	50153	1512	731	100	100
44	point_blue	50153	1752	833	100	100
45	point_blue	50153	2088	1003	100	100
46	point_blue	50153	1800	1139	100	100
47	point_blue	50153	1512	1275	100	100
48	point_blue	50153	1224	1139	100	100
49	point_blue	50153	936	1003	100	100
50	SafeArea	50153	1000	1460	100	100
51	SafeArea	50153	900	1400	100	100
52	SafeArea	50153	800	1360	100	100
53	SafeArea	60018	8520	1716	100	100
54	SafeArea	60018	8614	1749	100	100
55	SafeArea	60018	8710	1784	100	100
56	SafeArea	60018	8854	1818	100	100
57	SafeArea	60018	8999	1852	100	100
58	SafeArea	60018	9136	1853	100	100
59	SafeArea	60018	309	2939	100	100
60	SafeArea	60018	407	3008	100	100
61	SafeArea	60018	502	3076	100	100
62	SafeArea	60018	595	3143	100	100
63	SafeArea	60018	695	3214	100	100
64	SafeArea	60018	791	3278	100	100
65	SafeArea	60018	887	3348	100	100
66	SafeArea	60018	979	3418	100	100
67	SafeArea	60018	1078	3347	100	100
68	SafeArea	60018	1174	3280	100	100
69	SafeArea	60018	1269	3212	100	100
70	SafeArea	60018	1367	3144	100	100
71	SafeArea	60018	1460	3074	100	100
72	SafeArea	60018	1555	3006	100	100
73	SafeArea	60018	1657	2941	100	100
74	SafeArea	60018	1558	10452	100	100
75	SafeArea	60018	1654	10421	100	100
76	SafeArea	60018	1800	10351	100	100
77	SafeArea	60018	1896	10319	100	100
78	SafeArea	60018	4677	10282	100	100
79	SafeArea	60018	4773	10352	100	100
80	SafeArea	60018	4917	10420	100	100
81	SafeArea	60018	5015	10489	100	100
82	SafeArea	60018	5112	10521	100	100
83	SafeArea	60018	5209	10589	100	100
84	SafeArea	60018	5303	10624	100	100
85	SafeArea	60018	5392	10691	100	100
86	SafeArea	60018	5349	10795	100	100
87	SafeArea	60018	5252	10864	100	100
88	SafeArea	60018	5110	10930	100	100
89	SafeArea	60018	4967	10999	100	100
90	SafeArea	60018	4869	11067	100	100
91	SafeArea	60018	4779	11101	100	100
92	SafeArea	60018	4678	11168	100	100
93	SafeArea	60018	4583	11200	100	100
94	SafeArea	60018	4486	11270	100	100
95	SafeArea	60018	4392	11304	100	100
96	SafeArea	60018	4298	11373	100	100
97	SafeArea	60018	9383	8789	100	100
98	SafeArea	60018	9489	8611	100	100
99	SafeArea	60018	9525	8552	100	100
100	SafeArea	60018	9576	8483	100	100
101	SafeArea	60018	9618	8380	100	100
102	SafeArea	60018	9434	8712	100	100
103	SafeArea	60018	5035	10966	100	100
104	SafeArea	60018	1738	10385	100	100
105	SafeArea	60018	4199	1348	100	100
106	SafeArea	60018	4101	1332	100	100
107	SafeArea	60018	4004	1321	100	100
108	SafeArea	60018	3910	1310	100	100
109	SafeArea	60018	3816	1298	100	100
110	SafeArea	60018	3721	1287	100	100
111	SafeArea	60018	3624	1273	100	100
112	SafeArea	60018	3526	1259	100	100
113	ronglian_fire	60100	1258	712	100	100
114	ronglian_fire	60100	765	1003	100	100
115	ronglian_fire	60100	742	1451	100	100
116	ronglian_fire	60100	1200	1786	100	100
117	ronglian_fire	60100	1997	1781	100	100
118	ronglian_fire	60100	2456	1469	100	100
119	ronglian_fire	60100	2464	1035	100	100
120	ronglian_fire	60100	1921	706	100	100
