INT	STRING	INT	STRING	INT	INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
id	name	Type	TypeParams	EffectType	LoadCompleteFreshPlay	Trigger	StopFly	Scale	RangType	Rang	RangUp	RangRightUP	RangRight	RangRightDown	RangDown	ContainerEffect	Loop	Time	EventTrigger	TriggerEventType	EventTriggerParam	AttackCount	AttackSkillId	AttackInterval	AttackDelay	TriggerSpeed	BroadcastSpeed	IsUp
5002	5002	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5003	5004	0	0:0	2	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5004	baoleishu	0	0:0	3	0	4	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	15	2	0	0	0	0	0	0	0	0
5005	binlankuangwu	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5006	fengzhuHit	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5007	xingmojianHit	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5008	fengzhu	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	0	1	5009	0	0	0	0	0	0	0
5009	fengzhuRay	0	0:0	2	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5010	batianliedi	0	0:0	2	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5011	zhanshipugong	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
5012	iceLeg	0	0:0	3	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	-1	0	0	0	0	0	0	0	0	0
5013	Phoenix	0	0:0	2	0	7	0	10:10	0	-1	-1	-1	-1	-1	-1	0	1	5000	7	2	0	0	0	0	0	0	0	0
5014	fashi_bingci_b	0	0:0	3	0	7	0	10:10	0	305:-25:30|120:-105:60|-125:-105:90|-305:-10:120|250:110:150|76:178:180|-190:150:210	-1	-1	-1	-1	-1	0	1	5000	7	0	0	0	0	0	0	0	0	0
5015	anhei_huoqiushu	1	40:20:800	4	0	6	0	10:10	0	-1	-1	-1	-1	-1	-1	0	0	5000	-1	0	0	0	0	0	0	0	0	0
5016	fireballHit	0	0:0	1	0	0	0	10:10	0	-1	-1	-1	-1	-1	-1	1	1	5000	-1	0	0	0	0	0	0	0	0	0
