INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
id	name	TalentId	GroupId	job	kind	distance	range	rangedistance	self	target_num	beneficial	Aoe	NextSkillId	Time	IntervalTime	DelayTime	AttTimes	cd	cdSpeed	mp_cost_base	power_cost	special	attack_type	attack_modify_base	Carrier_Add	buff_rate_base	buff	StiffCd	GuideTime	PetId	SummonTime	BlessSummon	MaxQuantity	ShakingParams	DisplacementType	target_type	effect_prepare	effect_action	effect_hit	effect_hit_serial	set_default	default_index	sound_id	Bloodtype	ClientDistance	ClientDistanceYRate	action_type	BeDefault	IsSpeed	StiffCdSpeed	AdditionalDamage	FixedDamage	ShuLianDu	AttackBefore	AttackAfter
1	重斩Lv1	1	1	1	0	3	4	3	2	4	0	0	-1	1000	-1	-1	1	350	300	-3	0	0	1	8000	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	0	6203	0	1	1	PuGong	1	3	2	5:6044	1	1	300	0	0	0	0	0
2	重斩Lv2	1	1	1	0	3	4	3	2	4	0	0	-1	1000	-1	-1	1	350	300	-3	0	0	1	8500	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	0	6203	0	1	1	PuGong	1	3	2	5:6044	1	1	300	0	0	0	0	0
3	重斩Lv3	1	1	1	0	3	4	3	2	4	0	0	-1	1000	-1	-1	1	350	300	-3	0	0	1	9000	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	0	6203	0	1	1	PuGong	1	3	2	5:6044	1	1	300	0	0	0	0	0
4	重斩Lv4	1	1	1	0	3	4	3	2	4	0	0	-1	1000	-1	-1	1	350	300	-3	0	0	1	9500	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	0	6203	0	1	1	PuGong	1	3	2	5:6044	1	1	300	0	0	0	0	0
5	重斩Lv5	1	1	1	0	3	4	3	2	4	0	0	-1	1000	-1	-1	1	350	300	-3	0	0	1	10000	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	0	6203	0	1	1	PuGong	1	3	2	5:6044	1	1	300	0	0	0	0	0
6	重斩Lv6	1	1	1	0	3	4	3	2	4	0	0	-1	1000	-1	-1	1	350	300	-3	0	0	1	34680	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	0	6203	0	1	1	PuGong	1	3	2	5:6044	1	1	300	0	0	0	0	0
7	重斩Lv7	1	1	1	0	3	4	3	2	4	0	0	-1	1000	-1	-1	1	350	300	-3	0	0	1	38060	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	0	6203	0	1	1	PuGong	1	3	2	5:6044	1	1	300	0	0	0	0	0
8	重斩Lv8	1	1	1	0	3	4	3	2	4	0	0	-1	1000	-1	-1	1	350	300	-3	0	0	1	41440	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	0	6203	0	1	1	PuGong	1	3	2	5:6044	1	1	300	0	0	0	0	0
9	重斩Lv9	1	1	1	0	3	4	3	2	4	0	0	-1	1000	-1	-1	1	350	300	-3	0	0	1	44830	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	0	6203	0	1	1	PuGong	1	3	2	5:6044	1	1	300	0	0	0	0	0
10	重斩Lv10	1	1	1	0	3	4	3	2	4	0	0	-1	1000	-1	-1	1	350	300	-3	0	0	1	51590	0	0	0	350	0	-1	-1	-1	-1	-1	0	2	0	0	6203	0	1	1	PuGong	1	3	2	5:6044	1	1	300	0	0	0	0	0
