INT	STRING	STRING	STRING	STRING
id	sender_name	title	content	item
1	系统邮件	遗失的奖励	您似乎把一些东西遗落在了别处，现在还给你啦，请到附件中领取。	-1
6	系统邮件	装备赎回馈赠	|您击败|#00FF00|{0}||获得的战利品装备已经被赎回 您得到的100%的赎回金额作为奖励。	-1
1001	系统	快速升级攻略	#f5e8bf|亲爱的玩家：|n欢迎您来到本游戏，感谢您对本游戏的支持和热爱。|n本游戏的升级方式非常特殊|n1.本游戏|#00ff00|没有|#f5e8bf|经验值，升级只能靠|#00ff00|等级丹|#f5e8bf|道具升级|n2.击杀野外BOSS可以爆出等级丹|n3.|#00ff00|等级炼制|#f5e8bf|可以在前期快速提升等级|n|n满地图都是BOSS，|#00ff00|切割|#f5e8bf|满冰冻可以单挑任何BOSS|n所有BOSS|#00ff00|可爆终极|f5e9bf|，只要努力一切且皆有可能	300:1:1:1
1002	系统	【诅咒】攻略	#f5e8bf|亲爱的玩家：|n欢迎您来到本游戏，感谢您对本游戏的支持和热爱。|n诅咒震撼开启，它的特点如下：|n1.诅咒可以对BOSS造成|#00ff00|百分比伤害|n|#f5e8bf|2.诅咒升级只需要花费|#00ff00|元宝|n|#f5e8bf|3.诅咒升到满级可以几率秒杀怪物|#00ff00|10%最大血量|n|n|#f5e8bf|满地图都是BOSS|n所有BOSS|#00ff00|可爆终极|f5e10bf|，只要努力一切且皆有可能	13:1:1:1
1003	系统	【爵位】攻略	#f5e8bf|亲爱的玩家：|n欢迎您来到本游戏，感谢您对本游戏的支持和热爱。|n爵位震撼开启，它的特点如下：|n1.爵位升级可以大幅增加|#00ff00|怪物爆率|n|#f5e8bf|2.爵位升级只需要花费|#00ff00|圣妖币|n|#f5e8bf|3.圣妖币可以用元宝直接兑换获得|n|n满地图都是BOSS，|#00ff00|切割|#f5e8bf|满冰冻可以单挑任何BOSS|n所有BOSS|#00ff00|可爆终极|f5e11bf|，只要努力一切且皆有可能	151:1:5:1
1004	系统	第二大陆攻略	#f5e8bf|亲爱的玩家：|n欢迎您来到本游戏，感谢您对本游戏的支持和热爱。|n恭喜你升级到了300级，可以开始征服星辰大海的梦想了：|n1.300级其实还只是一个开始|n2.前往圣妖城(87,74)寻找NPC|#00ff00|传送使者|n|#f5e8bf|3.进入|#00ff00|第二大陆|#f5e8bf|，你的征途才是真正的开始|n|n满地图都是BOSS，|#00ff00|切割|#f5e8bf|满冰冻可以单挑任何BOSS|n所有BOSS|#00ff00|可爆终极|f5e12bf|，只要努力一切且皆有可能	13:1:2:1
1005	系统	【公会】攻略	#f5e8bf|亲爱的玩家：|n欢迎您来到本游戏，感谢您对本游戏的支持和热爱。|n无兄弟，不游戏！|n加入公会，即可一起嗨！|n找寻一帮可以一起杀杀怪，砍砍人的朋友！|n|n所有BOSS|#00ff00|可爆终极|#f5e8bf|，只要努力一切且皆有可能	7041:1:1:1
1006	系统	圣体盾	#f5e8bf|亲爱的玩家：|n欢迎您来到本游戏，感谢您对本游戏的支持和热爱。|n现在赠送您一个|#00ff00|圣体盾|#f5e8bf|打折宝箱，祝您早日圣光无敌。	6010:1:1:1
1007	系统	武魂宝箱	#f5e8bf|亲爱的玩家：|n欢迎您来到本游戏，感谢您对本游戏的支持和热爱。|n现在赠送您一个|#00ff00|武魂宝箱|#f5e8bf|，最后可以获得|#00ff00|极品武魂|#f5e8bf|哟！	6006:1:1:1
