INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	STRING	STRING
id	name	type	group	can_giveup	pretask	latetask	main_order	job	level	max_level	kingdom	start_npc	end_npc	dungeon	items_receive	award_exp	award_money	gold	ChuanQiBi	wuhuen	jungong	xingmai	award_item	award_optional	desc	pre_hint	post_hint	start_dialog	end_dialog	receive_alert	complete_alert	submit_alert	receive_btn	submit_btn	condition	request	auto_find	transport	vip_find	submit_effect	map_x_y	BudgetResoure1	BudgetResoure2	Recommend	Sort	Tuijian	Tuijian2	Tips1	Tips2	GongXian	JunTuanZiJin	ShuangBei	achievement	TaskAward	FinishPrice	ShowLevel	ChapterId	Speed	AutoSubmitTask	Stop	Quality	TaskRate	NexpReward	QualityDesc	JifenReward	progress	SkillPoints	EquipDrops	DoubleReward	BuffId	Tuijian3	BoosPanelPageAndIndex
10000	清理妖兽	1	0	0	0	10001	1	0	1	9999	0	0	1003	0	-1	0	1000	0	0	0	0	0	308:1:9:1	-1	我们还能苟延残喘几天呢，所有圣妖大陆残存的人类都汇聚在了此地，然而魔物却无穷无尽。你这种没有见识过魔物的年轻人，我可见得多了，去清理附近魔化的妖兽吧。	任务回复：<l><n>1003</n></l>	任务回复：<l><n>1003</n></l>	无对话	我们还能苟延残喘几天呢，所有圣妖大陆残存的人类都汇聚在了此地，然而魔物却无穷无尽。你这种没有见识过魔物的年轻人，我可见得多了，去清理附近魔化的妖兽吧。	-1	-1	最强单职业，所有BOSS都可爆终极装备	0	0	1	-1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10001	圣妖传说	1	0	0	10000	10002	2	0	1	9999	0	1003	1004	0	-1	0	1000	0	0	0	0	0	10001:2:1:1	-1	年轻人身手还不错，我这里还有一些逃难时带着的物资，都送给你吧。我们离圣人之城只有一步之遥，全靠你为我们开路了。	消灭：<l><g>1</g></l> <c/>	任务回复：<l><n>1004</n></l>	无对话	年轻人身手还不错，我这里还有一些逃难时带着的物资，都送给你吧。我们离圣人之城只有一步之遥，全靠你为我们开路了。	-1	-1	-1	0	0	4	1:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10002	腐化气息	1	0	0	10001	10003	3	0	1	9999	0	1004	1005	0	-1	0	1000	0	0	0	0	0	308:1:1:1	-1	魔化的气息已经腐蚀到了这里，我们必须加快撤离的脚步！无名的勇者啊，请看在我们都是同类的份上，带领我们杀出去吧。	消灭：<l><g>2</g></l> <c/>	任务回复：<l><n>1005</n></l>	无对话	魔化的气息已经腐蚀到了这里，我们必须加快撤离的脚步！无名的勇者啊，请看在我们都是同类的份上，带领我们杀出去吧。	-1	-1	-1	0	0	4	2:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10003	战甲加身	1	0	0	10002	10004	4	0	1	9999	0	1005	1006	0	-1	0	1000	0	0	0	0	0	10006:2:1:1	-1	凡人，魔物的邪恶力量正在腐化一切，多加小心，请收下这件战甲。	任务回复：<l><n>1006</n></l>	任务回复：<l><n>1006</n></l>	无对话	凡人，魔物的邪恶力量正在腐化一切，多加小心，请收下这件战甲。	-1	-1	-1	0	0	1	-1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10004	邪恶入侵	1	0	0	10003	10005	5	0	1	9999	0	1006	1007	0	-1	0	1000	0	0	0	0	0	-1	-1	啊啊啊~~腐化堕落邪恶的气息已经开始影响人类了！求求你快带我离开这儿，或者。。。给我一个痛快！	消灭：<l><g>3</g></l> <c/>	任务回复：<l><n>1007</n></l>	无对话	啊啊啊~~腐化堕落邪恶的气息已经开始影响人类了！求求你快带我离开这儿，或者。。。给我一个痛快！	-1	-1	-1	0	0	4	3:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10005	人族灾祸	1	0	0	10004	10006	6	0	1	9999	0	1007	1008	0	-1	0	1000	0	0	0	0	0	308:1:1:1	-1	人类才是这片大陆的唯一主宰，我们一定要让这些邪恶堕落的生物付出代价，消灭它们！吼~~~~消灭~你~~	消灭：<l><g>4</g></l> <c/>	任务回复：<l><n>1008</n></l>	无对话	人类才是这片大陆的唯一主宰，我们一定要让这些邪恶堕落的生物付出代价，消灭它们！吼~~~~消灭~你~~	-1	-1	-1	0	0	4	4:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10006	救赎之路	1	0	0	10005	10007	7	0	1	9999	0	1008	1009	0	-1	0	1000	0	0	0	0	0	-1	-1	这里魔物军团的斥候，我们已经被它们发现了。你是唯一的希望了勇士，冲出去，我们将在圣城得到救赎。	消灭：<l><g>5</g></l> <c/>	任务回复：<l><n>1009</n></l>	无对话	这里魔物军团的斥候，我们已经被它们发现了。你是唯一的希望了勇士，冲出去，我们将在圣城得到救赎。	-1	-1	-1	0	0	4	5:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10007	发现密道	1	0	0	10006	10008	8	0	1	9999	0	1009	1010	0	-1	0	1000	0	0	0	0	0	-1	10002:2:1:1:1|10003:2:1:1:1|10004:2:1:1:1|10005:2:1:1:1|10007:2:1:1:1|10010:2:1:1:1	勇士，带上我的装备吧，斥候已经发现了这里，我来引开它们。你从这条密道出去，一定要到达圣城，这是我们的救赎！	消灭：<l><g>6</g></l> <c/>	任务回复：<l><n>1010</n></l>	无对话	勇士，带上我的装备吧，斥候已经发现了这里，我来引开它们。你从这条密道出去，一定要到达圣城，这是我们的救赎！	-1	-1	-1	0	0	4	6:1:100	2	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
10008	到达圣城	1	0	0	10007	10009	9	0	1	9999	0	1010	1012	0	-1	0	1000	0	0	0	0	0	-1	-1	难以置信！你突破了魔物的包围，好好休息吧年轻的勇士。圣城暂时不会被攻克的，毕竟，她是人类最后一座城市了。	任务回复：<l><n>1012</n></l>	任务回复：<l><n>1012</n></l>	无对话	难以置信！你突破了魔物的包围，好好休息吧年轻的勇士。圣城暂时不会被攻克的，毕竟，她是人类最后一座城市了。	-1	-1	-1	0	0	1	-1	1	-1	0	0	-1	-1	-1	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	1	0	0	0	0	0	0	-1	0	0	0	-1	0	0	-1	-1
