INT	INT	INT	INT	INT	INT	INT
id	min_level	max_level	cycle_group	family_group	cycle_group_yueli	cycle_group_xinfa
1	200	999	2001	0	0	0
29	29	30	42001	0	0	0
31	31	32	42011	0	52001	0
33	33	34	42021	0	52011	0
35	35	36	42031	0	52021	0
37	37	38	42041	0	52031	72001
38	39	40	42051	0	52041	72011
41	41	42	42061	0	52051	72021
43	43	44	42071	20002	52061	72031
45	45	46	42081	20002	52071	72041
47	47	48	42091	20002	52081	72051
49	49	50	42101	20002	52091	72061
51	51	52	42111	20002	52101	72071
53	53	54	42121	20002	52111	72081
55	55	56	42131	20002	52121	72091
57	57	58	42141	20002	52131	72101
59	59	60	42151	20002	52141	72111
61	61	62	42161	20003	52151	72121
63	63	64	42171	20003	52161	72131
65	65	66	42181	20003	52171	72141
67	67	68	10019	20003	0	0
69	69	70	10020	20003	0	0
71	71	72	10021	20004	0	0
73	73	74	10022	20004	0	0
75	75	76	10023	20004	0	0
77	77	78	10024	20004	0	0
79	79	80	10025	20004	0	0
81	81	82	10026	20005	0	0
83	83	84	10027	20005	0	0
85	85	86	10028	20005	0	0
87	87	88	10029	20005	0	0
89	89	90	10030	20005	0	0
91	91	92	10015	20006	0	0
93	93	94	10015	20006	0	0
95	95	96	10015	20006	0	0
97	97	98	10015	20006	0	0
99	99	100	10015	20006	0	0
101	101	102	10015	20007	0	0
103	103	104	10015	20007	0	0
105	105	106	10015	20007	0	0
107	107	108	10015	20007	0	0
109	109	110	10015	20007	0	0
111	111	112	10015	20008	0	0
113	113	114	10015	20008	0	0
115	115	116	10015	20008	0	0
117	117	118	10015	20008	0	0
119	119	120	10015	20008	0	0
1000	0	0	0	0	0	0
