INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	STRING	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	STRING	
id	task_id	type	level	name	desc	PrepareLevel	PrepareTask	PrepareDesc	OpenDesc	IsShow	IsFly	IsShow2	iconUrl	MovementType	OpenPanel	openServerDay	StartTime	EndTime	Platform	
1	0	9	200	物品合成	#00ff00|物品合成	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
2	0	51	9999	帝龙	#00ff00|帝龙魂珠	0	0	9999	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
3	10061	26	9999	循环任务	#00ff00|循环任务	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
5	0	61	9999	经验副本	#00ff00|经验副本	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
6	0	54	200	爵位	#00ff00|爵位	181	0	200	爵位可以大幅提升角色属性，可进行段位提升，大幅提高战斗力	1	1	1	0:09	2	0	0	0	1893513599	-1	0
7	0	57	8888	祈福	#00ff00|祈福	0	0	8888	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
8	0	50	130	寻宝	#00ff00|寻宝	0	0	130	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
9	0	55	200	市场	#00ff00|市场	0	0	1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
11	0	58	8888	魂力	#00ff00|魂力	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
12	0	53	100	激战BOSS	#00ff00|激战BOSS	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
13	0	59	160	活动大厅	#00ff00|活动大厅	0	0	-1	0	0	0	0	-1	1	0	0	0	1893513599	-1	0
14	0	60	1	奖励大厅	#00ff00|奖励大厅	0	0	1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
15	0	3	150	公会	#00ff00|公会	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
16	0	62	1	首冲大奖	#00ff00|首冲大奖	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
17	0	63	8888	新服特惠	#00ff00|新服特惠	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
18	0	64	100	天天首冲	#00ff00|天天首冲	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
19	0	65	1	投资理财	#00ff00|投资理财	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
20	0	66	1	开服活动	#00ff00|开服活动	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
21	0	67	9999	官位	#00ff00|官位	0	0	9999	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
22	0	68	1	名人堂	#00ff00|名人堂	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
23	0	2	1	技能	#00ff00|技能	0	0	-1	0	0	0	0	-1	2	0	0	0	1893513599	-1	0
30	0	75	999	XP技能	#00ff00|XP神技	0	0	999	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
31	0	76	9999	官位坐骑	#00ff00|官位坐骑	0	0	9999	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
35	0	80	1	屏蔽按钮	#00ff00|屏蔽按钮	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
41	0	86	1	组队	#00ff00|组队	0	0	1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
42	0	87	1	好友	#00ff00|好友	0	0	1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
43	0	88	1	随身商店	#00ff00|随身商店	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
44	0	89	1	随身仓库	#00ff00|随身仓库	0	0	1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
45	0	90	1	商城	#00ff00|商城	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
46	0	32	1	宠物	#00ff00|宠物	1	0	1	没有宠物耗不死的BOSS，玩家前期打BOSS最佳帮手	1	1	1	0:01	2	-1	-1	0	1893513599	-1	0
48	0	101	1	VIP	#00ff00|VIP祝福	0	0	1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
49	0	102	9999	二级技能	#00ff00|二级技能	0	0	9999	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
50	0	91	9999	成就	#00ff00|成就勋章	0	0	9999	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
51	0	25	170	排行榜	#00ff00|排行榜	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
52	0	103	200	交易	#00ff00|交易	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
53	0	104	9999	诸神之战	#00ff00|诸神之战	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
54	0	106	8888	转生	#00ff00|转生	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
55	0	105	1	称号	#00ff00|称号	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
56	0	107	1	PK模式	#00ff00|PK模式	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
57	0	108	1	签到	#00ff00|签到	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
58	0	109	1	喇叭	#00ff00|喇叭	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
59	0	4	9999	魔龙装升级	#00ff00|魔龙装升级	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
60	0	110	1	重生十字章	#00ff00|重生十字章	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
61	0	112	105	七日登录	#00ff00|七日登录	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
65	0	116	9999	连斩	#00ff00|连斩	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
66	0	117	9999	神装展示	#00ff00|神装展示	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
67	0	118	9999	神装展示	#00ff00|锻造筛选	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
68	0	119	9999	帝龙技能	#00ff00|帝龙技能	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
69	0	120	9999	曙光技能	#00ff00|曙光技能	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
70	0	121	9999	符文技能	#00ff00|符文技能	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
72	0	123	9999	魔·雪域走廊	#00ff00|魔·雪域走廊	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
73	0	124	9999	时装	#00ff00|时装	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
74	0	125	9999	伤害追加	#00ff00|伤害追加	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
75	0	126	9999	星辰目标	#00ff00|星辰目标	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
76	0	127	9999	师徒	#00ff00|师徒	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
78	0	129	9999	情义礼包	#00ff00|情义礼包	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
79	0	130	8888	幻兽佩饰	#00ff00|幻兽佩饰	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
81	0	81	80	天书	#00ff00|天书	71	0	80	天书可以大幅提升角色属性，可进行段位提升，大幅提高生命	1	1	1	0:02	2	openPanel|magicTianShuPanel	0	0	1893513599	-1	0
82	0	82	110	印记	#00ff00|印记	91	0	110	印记可以大幅提升角色属性，可进行段位提升，大幅提高攻击	1	1	1	0:03	2	openPanel|magicYinJiPanel	0	0	1893513599	-1	0
83	0	83	130	符文	#00ff00|符文	121	0	130	符文可以大幅提升角色属性，可进行段位提升，大幅提高战斗力	1	1	1	0:04	2	openPanel|magicFuWenPanel	0	0	1893513599	-1	0
84	0	84	150	魂珠	#00ff00|魂珠	141	0	150	符文可以大幅提升角色属性，可进行段位提升，大幅提高暴击	1	1	1	0:05	2	openPanel|magicHunZhuPanel	0	0	1893513599	-1	0
85	0	216	230	星位解锁	#00ff00|星位解锁	0	0	-1	解锁星位后，可以镶嵌星石	0	0	0	-1	0	0	0	0	1893513599	-1	0
86	0	217	400	守护精炼	#00ff00|守护精炼	0	0	-1	精炼星宫获得属性	0	0	0	-1	0	0	0	0	1893513599	-1	0
100	0	135	9999	第二天赋	#00ff00|第二天赋	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
101	0	136	9999	第三天赋	#00ff00|第三天赋	0	0	-1	0	0	0	0	-1	0	0	0	0	1893513599	-1	0
102	0	137	8888	加点功能	#00ff00|加点功能	0	0	-1	0	0	0	1	-1	2	0	0	0	1893513599	-1	0
103	0	138	9999	铸魂功能	#00ff00|铸魂功能	0	0	-1	0	0	0	1	-1	2	0	0	0	1893513599	-1	0
