INT	INT	INT	INT	INT	STRING	STRING	INT	INT	STRING	INT	INT
MapID	NextMapID	NextX	NextY	MapFloor	Goods	Reward	Mail	MonsterIntegral	Equipment	Npc	TripleCost
50041	50043	77	71	1	585:1:3	564:1:1:1	6374	0	-1	1036	80
50043	50044	77	71	2	586:1:3	564:1:1:1	6375	0	-1	1037	80
50044	50045	77	71	3	587:1:3	564:1:1:1	6376	0	-1	1038	80
50045	50046	77	71	4	588:1:3	564:1:1:1	6377	0	-1	1039	80
50046	50047	77	71	5	589:1:3	564:1:1:1	6378	0	-1	1040	80
50047	50048	77	71	6	590:1:3	564:1:2:1	6379	0	-1	1041	160
50048	50049	77	71	7	591:1:3	564:1:2:1	6380	0	-1	1042	160
50049	50050	77	71	8	592:1:3	564:1:2:1	6381	0	-1	1043	160
50050	50051	77	71	9	593:1:3	564:1:2:1	6382	0	-1	1044	160
50051	50135	77	71	10	594:1:3	564:1:3:1	6383	0	-1	1108	240
50135	50136	77	71	11	595:1:3	564:1:3:1	6384	100	10352:625|10353:625|10354:625|10355:625|10357:625|10358:625|10359:625|10360:625|10362:625|10363:625|10364:625|10365:625|10367:625|10368:625|10369:625|10370:625	1109	240
50136	50137	77	71	12	596:1:3	564:1:3:1	6385	200	10352:625|10353:625|10354:625|10355:625|10357:625|10358:625|10359:625|10360:625|10362:625|10363:625|10364:625|10365:625|10367:625|10368:625|10369:625|10370:626	1110	240
50137	0	0	0	13	-1	-1	0	300	10352:625|10353:625|10354:625|10355:625|10357:625|10358:625|10359:625|10360:625|10362:625|10363:625|10364:625|10365:625|10367:625|10368:625|10369:625|10370:627	0	0
