INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	STRING
jizi_type	minlevel	maxlevel	map_type	mid	item_class	Count	bind_type	time1	time2	probability	Desc
1	300	799	1	656	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	28000	合服集字-【灭】
1	300	799	1	657	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	28000	合服集字-【神】
1	300	799	1	662	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	3110	合服集字-【狂】
1	300	799	1	663	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	3110	合服集字-【欢】
1	800	1199	1	656	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	115500	合服集字-【灭】
1	800	1199	1	657	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	115500	合服集字-【神】
1	800	1199	1	662	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	62600	合服集字-【狂】
1	800	1199	1	663	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	62600	合服集字-【欢】
1	800	1199	1	660	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	20000	合服集字-【合】
1	800	1199	1	661	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	20000	合服集字-【服】
1	1200	1999	1	656	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	386000	合服集字-【灭】
1	1200	1999	1	657	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	386000	合服集字-【神】
1	1200	1999	1	662	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	200000	合服集字-【狂】
1	1200	1999	1	663	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	200000	合服集字-【欢】
1	1200	1999	1	660	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	70000	合服集字-【合】
1	1200	1999	1	661	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	70000	合服集字-【服】
1	1200	1999	1	658	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	5000	合服集字-【传】
1	1200	1999	1	659	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	5000	合服集字-【说】
1	2000	9999	1	656	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	396000	合服集字-【灭】
1	2000	9999	1	657	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	396000	合服集字-【神】
1	2000	9999	1	662	1	1	1	2018-06-04 00:00:00	2019-12-16 23:59:59	215000	合服集字-【狂】
